"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1747130432","-1664.907","-9302.199","-7090.718","-1447.946","-1886.934","-4549.026","-1600.534","-9125.620","-1947.582","-2184.361","-4764.348","-5921.125","-5837.083","-11133.254","-6235.987","-9224.117"
"1747130433","-1560.003","-9179.115","-7146.299","-1409.650","-1875.609","-4549.921","-1581.609","-8944.571","-2119.690","-2195.835","-4718.304","-5946.010","-5990.863","-11236.817","-6078.035","-9249.747"
"1747130434","-1517.087","-8976.609","-7170.141","-1252.592","-1861.751","-4549.176","-1561.940","-8856.803","-2099.127","-2214.164","-4599.988","-5944.222","-6059.259","-11364.520","-6047.934","-9242.147"
"1747130435","-1629.442","-9011.775","-7165.670","-1199.394","-1797.527","-4571.229","-1570.731","-8955.896","-1906.157","-2296.716","-4585.683","-5931.407","-5921.721","-11208.355","-6235.689","-9249.002"
"1747130436","-1681.894","-9135.455","-7171.333","-1172.721","-1741.052","-4534.721","-1574.010","-9105.504","-1864.731","-2356.768","-4688.799","-5935.729","-5846.024","-11143.386","-6114.841","-9216.368"
"1747130437","-1665.950","-9243.935","-7174.611","-1314.878","-1786.053","-4526.079","-1591.593","-9158.403","-1901.239","-2339.035","-4758.984","-5946.606","-5953.014","-11354.089","-6067.008","-9124.577"
"1747130438","-1656.562","-9263.307","-7164.925","-1400.113","-1862.049","-4605.353","-1620.799","-9021.014","-1991.838","-2224.147","-4679.114","-5931.109","-6069.392","-11334.568","-6217.808","-8998.364"
"1747130439","-1653.433","-9274.781","-7177.591","-1438.111","-1887.381","-4708.767","-1665.503","-8885.711","-2100.766","-2164.245","-4524.887","-5947.948","-5950.779","-11101.365","-6059.855","-8942.783"
"1747130440","-1660.734","-9287.745","-7173.419","-1406.074","-1862.794","-4587.173","-1690.090","-8944.571","-1971.275","-2178.997","-4621.893","-5927.086","-5849.600","-11257.827","-6066.263","-8962.750"
"1747130441","-1667.589","-9258.240","-7173.121","-1302.212","-1851.469","-4523.396","-1637.489","-9129.047","-1856.238","-2189.577","-4747.361","-5949.438","-5986.094","-11345.744","-6225.258","-9097.308"
"1747130442","-1655.370","-9093.732","-7193.834","-1189.560","-1844.764","-4549.026","-1598.001","-9166.896","-1859.665","-2230.108","-4714.429","-5923.510","-6074.607","-11253.655","-6080.568","-9172.559"
"1747130443","-1642.704","-9045.303","-7175.952","-1170.188","-1779.795","-4542.023","-1576.990","-9059.310","-2003.312","-2286.881","-4683.733","-5941.242","-6007.403","-11263.639","-5983.710","-9203.255"
"1747130444","-1645.386","-9130.538","-7156.283","-1263.618","-1752.228","-4551.709","-1571.178","-8895.695","-2124.906","-2335.757","-4707.128","-5938.113","-5825.311","-11363.924","-6190.240","-9215.176"
"1747130445","-1640.767","-9241.104","-7165.968","-1393.259","-1824.945","-4509.836","-1566.410","-8936.375","-2029.240","-2316.236","-4670.173","-5931.556","-5886.555","-11317.134","-6124.228","-9172.857"
"1747130446","-1648.515","-9262.711","-7154.644","-1427.531","-1870.841","-4494.339","-1558.363","-9142.160","-1839.995","-2219.379","-4533.976","-5930.066","-6032.288","-11275.113","-6052.703","-9195.805"
