"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1747150197","-2102.554","-12175.441","-9533.167","-2028.048","-2756.417","-6345.659","-2314.895","-12045.205","-2962.351","-3284.067","-5814.135","-8244.514","-7829.964","-15480.220","-8222.312","-13084.859"
"1747150198","-2256.483","-11980.534","-9607.226","-1983.047","-2817.363","-6490.350","-2297.312","-12035.966","-2887.845","-3300.309","-5815.774","-8249.730","-7755.607","-15501.827","-8303.672","-13081.878"
"1747150199","-2297.014","-11922.866","-9598.583","-2012.253","-2809.316","-6480.813","-2276.301","-12030.154","-2740.622","-3295.690","-5801.022","-8258.373","-7913.560","-15503.615","-8078.516","-13088.435"
"1747150200","-2199.858","-11980.534","-9456.277","-2054.423","-2795.160","-6352.365","-2278.835","-12025.833","-2774.447","-3283.769","-5833.209","-8251.667","-7981.509","-15457.571","-8249.879","-13088.882"
"1747150201","-2048.612","-12194.812","-9288.043","-2081.096","-2703.965","-6286.502","-2307.892","-12026.727","-2932.847","-3306.270","-5823.374","-8246.005","-7944.405","-15457.571","-8351.207","-13107.061"
"1747150202","-2047.867","-12264.550","-9307.116","-2098.531","-2659.708","-6330.013","-2331.585","-12022.704","-3011.823","-3373.921","-5781.651","-8247.644","-7899.851","-15530.884","-8162.707","-13109.595"
"1747150203","-2129.078","-12175.888","-9518.713","-2006.143","-2740.920","-6462.783","-2313.703","-12021.661","-2955.943","-3434.420","-5778.074","-8242.577","-7903.427","-15583.932","-8182.824","-13066.530"
"1747150204","-2269.000","-12032.986","-9603.351","-1890.063","-2799.630","-6413.758","-2310.276","-12010.634","-2799.034","-3374.517","-5814.582","-8240.491","-7968.992","-15436.709","-8297.116","-12927.800"
"1747150205","-2338.141","-11935.681","-9606.928","-1823.455","-2814.531","-6289.780","-2269.745","-12018.532","-2739.877","-3299.713","-5836.189","-8256.435","-7946.491","-15547.425","-8123.070","-12862.384"
"1747150206","-2138.764","-11901.557","-9409.785","-1917.779","-2780.110","-6312.281","-2287.924","-12013.912","-2856.702","-3267.974","-5823.970","-8256.286","-7917.434","-15523.583","-8223.653","-12931.824"
"1747150207","-2066.642","-11890.829","-9298.623","-2024.472","-2718.866","-6425.381","-2279.431","-11850.893","-3025.532","-3296.584","-5800.128","-8239.746","-7885.695","-15478.879","-8312.315","-13035.834"
"1747150208","-2063.066","-11949.688","-9263.158","-2079.755","-2671.331","-6499.439","-2287.328","-11762.977","-3034.770","-3315.508","-5719.066","-8236.468","-7923.543","-15535.653","-8132.458","-13068.318"
"1747150209","-2081.543","-12176.037","-9409.189","-2105.236","-2687.573","-6350.130","-2299.398","-11875.480","-2881.438","-3307.015","-5723.983","-8241.534","-7956.326","-15513.897","-8140.951","-13085.753"
"1747150210","-2072.006","-12237.877","-9543.449","-2114.326","-2758.950","-6281.137","-2292.246","-12058.616","-2741.814","-3288.537","-5825.907","-8244.067","-7919.967","-15491.992","-8289.218","-13097.376"
"1747150211","-2135.932","-12070.239","-9595.752","-2126.992","-2828.091","-6346.852","-2301.931","-12060.255","-2760.440","-3309.101","-5843.043","-8246.452","-7802.695","-15496.910","-8206.815","-13100.505"
"1747150212","-2267.212","-11947.751","-9461.641","-2034.754","-2816.468","-6443.560","-2312.064","-11886.805","-2808.571","-3401.041","-5794.764","-8248.389","-7940.680","-15504.956","-8150.339","-13068.318"
"1747150213","-2295.077","-11906.922","-9328.574","-1920.313","-2764.016","-6443.262","-2302.825","-11767.596","-2960.265","-3432.930","-5808.622","-8255.988","-7993.579","-15510.172","-8220.822","-13078.600"
"1747150214","-2111.793","-11885.911","-9271.055","-1828.372","-2659.112","-6306.320","-2265.126","-11912.435","-2983.958","-3348.142","-5852.133","-8247.942","-7856.041","-15518.516","-8236.617","-13102.293"
"1747150215","-2062.619","-11868.775","-9296.089","-1892.298","-2666.712","-6295.294","-2214.164","-11996.925","-2834.499","-3293.157","-5855.262","-8243.322","-7772.446","-15488.863","-8126.497","-13121.367"
"1747150216","-2069.771","-11861.026","-9440.035","-2014.339","-2729.148","-6370.693","-2165.586","-11991.560","-2738.833","-3283.620","-5820.543","-8241.087","-7872.880","-15476.346","-8153.617","-13128.370"
"1747150217","-2076.179","-12067.556","-9583.682","-2096.146","-2817.661","-6474.257","-2212.822","-11918.098","-2727.211","-3301.054","-5804.449","-8240.640","-7975.101","-15496.314","-8328.408","-13123.006"
"1747150218","-2063.811","-12175.590","-9519.756","-2107.024","-2832.711","-6369.352","-2267.808","-11804.551","-2761.185","-3308.505","-5783.886","-8251.965","-7929.802","-15513.301","-8185.655","-13123.453"
"1747150219","-2171.099","-12163.371","-9315.908","-2103.746","-2743.006","-6303.042","-2281.070","-11878.014","-2923.608","-3305.525","-5777.180","-8218.586","-7966.608","-15459.806","-8175.373","-13142.377"
"1747150220","-2287.626","-12016.445","-9264.052","-2007.186","-2668.202","-6365.776","-2317.131","-11973.828","-2985.895","-3299.266","-5828.440","-8230.060","-7997.453","-15285.760","-8189.678","-13147.295"
