"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1747221748","-2807.081","-15203.357","-11593.997","-3190.935","-3834.069","-7359.833","-3136.992","-15629.530","-3767.908","-4697.293","-6577.820","-9148.121","-8723.438","-20071.268","-10407.865","-18096.417"
"1747221749","-2802.610","-15278.459","-11675.954","-3050.566","-3844.053","-7517.934","-3190.339","-15664.846","-3750.473","-4705.042","-6594.658","-9172.857","-8843.541","-19915.849","-10364.503","-18094.480"
"1747221750","-2804.399","-15161.484","-11819.452","-2988.577","-3802.180","-7575.899","-3238.916","-15549.511","-3877.878","-4715.621","-6592.125","-9162.426","-8931.160","-19901.693","-10394.156","-18097.609"
"1747221751","-2812.892","-15029.460","-11887.699","-2966.523","-3743.321","-7553.846","-3273.338","-15427.470","-3899.187","-4730.672","-6602.556","-9171.963","-8813.441","-20093.471","-10391.176","-18088.818"
"1747221752","-2822.280","-14951.974","-11720.657","-2975.315","-3707.558","-7447.898","-3295.243","-15442.818","-3865.510","-4715.323","-6631.017","-9151.995","-8717.030","-20002.574","-10374.784","-18099.248"
"1747221753","-2803.206","-14957.339","-11656.731","-2973.676","-3780.276","-7374.138","-3288.388","-15559.793","-3873.706","-4709.065","-6630.421","-9150.505","-8841.455","-19847.453","-10373.592","-18084.943"
"1747221754","-2810.806","-15169.680","-11647.493","-3004.521","-3862.083","-7484.406","-3301.948","-15612.096","-3885.776","-4707.873","-6661.415","-9163.320","-8934.736","-19898.713","-10373.890","-18077.195"
"1747221755","-2811.998","-15270.859","-11648.983","-3060.848","-3857.613","-7564.127","-3310.591","-15538.782","-3890.544","-4713.237","-6619.692","-9161.383","-8871.406","-20081.848","-10376.573","-18070.340"
"1747221756","-2816.319","-15250.146","-11634.380","-3139.824","-3839.433","-7548.630","-3281.385","-15355.051","-3883.988","-4709.363","-6572.455","-9149.909","-8797.050","-19968.897","-10366.738","-18075.258"
"1747221757","-2820.045","-15052.259","-11626.482","-3143.251","-3767.610","-7365.793","-3195.405","-15333.891","-3892.183","-4703.254","-6575.882","-9159.744","-8724.034","-19829.720","-10361.522","-18086.284"
"1747221758","-2818.257","-14966.726","-11609.495","-3063.679","-3713.220","-7347.465","-3155.619","-15486.032","-3919.154","-4703.701","-6604.940","-9161.532","-8852.631","-20094.961","-10403.395","-18083.602"
"1747221759","-2814.382","-14931.858","-11594.146","-3004.223","-3736.913","-7470.101","-3175.437","-15576.780","-3909.469","-4712.939","-6577.075","-9166.896","-8903.742","-20095.110","-10399.818","-18062.592"
"1747221760","-2809.465","-14903.098","-11599.213","-3000.945","-3837.943","-7589.459","-3245.473","-15562.624","-3906.339","-4703.850","-6561.428","-9160.936","-8886.755","-19880.980","-10365.695","-18041.283"
"1747221761","-2826.154","-14942.139","-11587.441","-2999.455","-3851.354","-7511.973","-3274.381","-15430.599","-3814.995","-4701.018","-6688.684","-9156.764","-8839.816","-19922.256","-10361.224","-18040.538"
"1747221762","-2815.574","-15164.018","-11591.911","-2968.609","-3822.148","-7473.528","-3274.232","-15310.198","-3704.578","-4692.376","-6730.556","-9160.936","-8866.340","-20132.512","-10437.518","-18083.602"
"1747221763","-2820.790","-15246.123","-11577.606","-2964.884","-3756.881","-7505.417","-3279.895","-15386.194","-3824.532","-4688.054","-6584.823","-9151.846","-8767.247","-19948.930","-10356.605","-18075.705"
"1747221764","-2816.170","-15204.102","-11575.371","-2980.232","-3703.535","-7484.853","-3284.514","-15544.146","-3895.313","-4683.435","-6550.699","-9168.088","-8673.370","-19870.400","-10365.099","-18043.518"
"1747221765","-2814.680","-15006.810","-11568.367","-3075.302","-3790.259","-7352.680","-3276.169","-15544.444","-3867.298","-4692.525","-6587.952","-9160.191","-8870.214","-20116.568","-10517.538","-18021.166"
"1747221766","-2819.449","-14933.348","-11568.367","-3093.183","-3842.711","-7380.098","-3287.643","-15443.861","-3863.871","-4694.462","-6589.293","-9166.598","-8989.275","-20120.144","-10373.294","-18007.457"
