"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1747230099","-2901.256","-14908.761","-11264.980","-3196.150","-3643.632","-7076.710","-3245.622","-15576.482","-3969.371","-4998.296","-6469.339","-8731.633","-8255.243","-19088.835","-10281.354","-19971.579"
"1747230100","-2739.131","-14665.723","-11224.449","-3350.526","-3664.643","-6994.307","-3314.614","-15458.465","-3857.315","-5084.574","-6520.003","-8720.607","-8082.241","-19059.032","-10428.131","-20031.780"
"1747230101","-2729.595","-14593.452","-11228.770","-3368.706","-3741.235","-6930.828","-3368.556","-15338.063","-3704.727","-5094.707","-6590.486","-8722.693","-8059.740","-18886.626","-10226.369","-20054.579"
"1747230102","-2754.927","-14757.216","-11385.530","-3378.838","-3793.240","-6923.527","-3330.857","-15397.966","-3684.163","-5001.277","-6515.980","-8723.736","-8263.141","-18987.954","-10297.149","-20032.972"
"1747230103","-2841.651","-14856.160","-11464.506","-3395.528","-3783.405","-7022.023","-3284.663","-15538.037","-3814.101","-4928.112","-6436.408","-8713.901","-8289.516","-19138.455","-10294.914","-20038.188"
"1747230104","-2936.721","-14888.346","-11506.826","-3418.326","-3762.394","-7075.518","-3259.927","-15642.941","-3949.255","-4908.592","-6439.686","-8723.587","-8228.719","-19051.284","-10263.324","-20021.200"
"1747230105","-2944.469","-14899.969","-11337.399","-3425.032","-3672.242","-7024.854","-3253.520","-15555.024","-3981.292","-4915.595","-6464.720","-8733.273","-8116.812","-18889.904","-10240.376","-20031.184"
"1747230106","-2824.813","-14910.549","-11251.271","-3398.806","-3638.864","-6989.539","-3243.089","-15365.034","-3795.922","-4936.010","-6464.869","-8732.826","-8073.747","-18961.579","-10251.999","-20046.234"
"1747230107","-2740.622","-14923.066","-11225.492","-3279.895","-3642.142","-6930.530","-3232.211","-15379.637","-3706.366","-4944.354","-6482.005","-8729.100","-8260.906","-19074.529","-10288.060","-20059.049"
"1747230108","-2740.771","-14942.884","-11297.315","-3151.298","-3750.771","-6903.708","-3294.498","-15501.231","-3740.191","-5023.330","-6590.486","-8735.955","-8296.520","-19015.223","-10419.041","-20062.178"
"1747230109","-2789.348","-14957.041","-11426.359","-3197.193","-3786.385","-6996.393","-3350.079","-15625.060","-3911.108","-5080.402","-6563.812","-8732.527","-8197.278","-18938.184","-10251.403","-20066.202"
"1747230110","-2943.128","-14976.710","-11545.718","-3340.095","-3776.699","-7058.680","-3394.037","-15569.031","-3983.974","-5091.131","-6439.388","-8724.034","-8089.840","-19067.824","-10241.568","-20064.116"
"1747230111","-2954.900","-14993.697","-11504.591","-3391.653","-3755.838","-7039.458","-3373.474","-15446.097","-3922.880","-5025.119","-6395.131","-8734.614","-8041.412","-19176.900","-10363.907","-20069.480"
"1747230112","-2848.506","-14957.786","-11373.460","-3411.770","-3738.105","-6991.178","-3316.402","-15392.005","-3748.387","-4929.900","-6452.948","-8737.296","-8197.129","-19000.471","-10335.892","-20075.291"
"1747230113","-2740.920","-14752.448","-11271.238","-3411.025","-3660.321","-7001.162","-3249.943","-15496.612","-3722.161","-4905.760","-6564.856","-8734.763","-8283.705","-18923.134","-10226.071","-20063.818"
"1747230114","-2750.456","-14655.441","-11262.447","-3387.928","-3683.865","-7050.931","-3243.238","-15666.485","-3844.649","-4927.963","-6586.015","-8751.601","-8220.077","-19161.999","-10377.020","-20054.132"
"1747230115","-2803.802","-14684.051","-11260.659","-3296.733","-3744.215","-7048.994","-3270.507","-15588.403","-3989.041","-4955.381","-6465.167","-8746.982","-8186.698","-19068.867","-10324.717","-20047.128"
"1747230116","-2956.092","-14874.935","-11294.782","-3159.195","-3783.256","-6987.453","-3350.079","-15428.960","-3969.371","-5011.261","-6398.857","-8744.597","-8213.222","-18888.414","-10219.216","-20035.207"
"1747230117","-2977.252","-14929.920","-11439.919","-3206.879","-3765.970","-6968.528","-3388.673","-15312.284","-3821.105","-5071.461","-6437.749","-8748.025","-8245.558","-19029.528","-10268.539","-20013.154"
"1747230118","-2818.108","-14947.653","-11549.592","-3382.266","-3753.603","-7026.047","-3350.675","-15388.131","-3735.572","-5092.174","-6593.615","-8750.260","-8163.750","-19199.550","-10385.066","-20030.439"
"1747230119","-2761.632","-14956.146","-11430.681","-3437.400","-3716.797","-7035.881","-3293.604","-15588.701","-3748.089","-5074.292","-6613.284","-8740.723","-8060.932","-19076.914","-10331.422","-20039.678"
"1747230120","-2761.930","-14968.663","-11325.777","-3438.741","-3676.862","-7020.831","-3247.261","-15599.132","-3821.850","-4968.792","-6468.147","-8754.581","-8204.281","-18979.013","-10240.376","-20046.383"
"1747230121","-2777.576","-14855.564","-11278.987","-3395.826","-3705.025","-7026.196","-3226.399","-15446.246","-3987.551","-4901.290","-6412.268","-8752.942","-8308.142","-19095.391","-10373.592","-20043.701"
"1747230122","-2773.404","-14703.870","-11273.623","-3291.816","-3753.006","-7039.011","-3245.324","-15387.684","-3923.327","-4906.803","-6472.468","-8756.965","-8230.507","-19199.252","-10344.386","-20039.976"
"1747230123","-2786.815","-14608.800","-11259.168","-3202.707","-3785.938","-6972.849","-3314.018","-15421.510","-3792.048","-4924.536","-6591.380","-8755.028","-8203.387","-19188.225","-10235.012","-20037.591"
"1747230124","-2966.076","-14730.394","-11257.380","-3185.868","-3769.994","-6861.091","-3374.815","-15452.355","-3748.834","-4978.031","-6632.358","-8757.263","-8183.122","-19052.178","-10279.268","-20031.929"
"1747230125","-3011.525","-14867.038","-11311.322","-3303.140","-3769.100","-6982.684","-3378.093","-15437.603","-3790.706","-5062.073","-6485.432","-8747.578","-8169.264","-19050.837","-10434.985","-20029.396"
"1747230126","-2841.055","-14935.583","-11503.249","-3440.380","-3719.181","-7171.184","-3307.760","-15430.301","-3793.538","-5100.518","-6394.982","-8761.138","-8222.014","-19260.943","-10289.550","-20024.329"
"1747230127","-2776.831","-14938.265","-11494.309","-3453.195","-3666.729","-7133.335","-3270.358","-15433.133","-3788.322","-5091.876","-6521.940","-8755.475","-8274.466","-19102.246","-10258.257","-20035.207"
"1747230128","-2801.120","-14876.425","-11372.268","-3410.429","-3660.917","-7026.494","-3260.672","-15434.474","-3821.254","-5003.959","-6636.232","-8763.820","-8145.422","-18973.649","-10404.438","-20021.945"
"1747230129","-2813.488","-14671.832","-11302.382","-3284.663","-3751.665","-6910.712","-3268.570","-15434.027","-3928.840","-4933.476","-6619.096","-8758.307","-8058.250","-19058.287","-10337.532","-20026.863"
"1747230130","-2804.101","-14611.483","-11304.915","-3210.306","-3787.577","-6958.544","-3312.677","-15425.384","-3948.361","-4907.250","-6496.459","-8758.307","-8171.201","-19198.209","-10257.214","-20056.665"
"1747230131","-2802.461","-14641.881","-11299.103","-3187.060","-3802.925","-7062.107","-3361.702","-15396.327","-3822.148","-4924.983","-6425.977","-8753.687","-8313.656","-19145.161","-10392.666","-20053.983"
"1747230132","-2795.607","-14830.977","-11304.021","-3322.065","-3784.746","-7075.667","-3395.826","-15375.465","-3791.153","-4957.318","-6489.307","-8757.859","-8234.084","-18963.665","-10402.352","-20059.347"
"1747230133","-2787.262","-14919.639","-11290.014","-3424.138","-3764.629","-7044.822","-3393.441","-15408.099","-3818.274","-5038.828","-6580.651","-8758.754","-8234.680","-19116.998","-10236.502","-20021.498"
"1747230134","-2788.752","-14930.815","-11276.305","-3474.504","-3680.587","-7035.285","-3323.108","-15373.975","-3817.528","-5106.181","-6552.637","-8752.644","-8268.207","-19237.101","-10380.000","-20024.776"
"1747230135","-2787.411","-14788.508","-11270.791","-3383.607","-3663.599","-7018.149","-3281.683","-15208.274","-3812.015","-5104.393","-6428.808","-8762.777","-8239.299","-19036.233","-10397.136","-20058.602"
"1747230136","-2807.081","-14659.911","-11273.026","-3280.789","-3722.012","-6978.810","-3271.997","-15180.111","-3820.360","-5046.129","-6420.910","-8750.856","-8099.079","-18976.331","-10250.509","-20094.216"
"1747230137","-2816.468","-14597.923","-11281.371","-3203.899","-3788.173","-7022.470","-3255.457","-15304.685","-3814.250","-4966.557","-6488.562","-8748.323","-8083.880","-19132.346","-10287.613","-20088.702"
"1747230138","-2816.319","-14581.233","-11270.046","-3187.805","-3785.491","-7072.091","-3242.493","-15459.359","-3802.180","-4925.430","-6620.139","-8765.161","-8262.545","-19195.527","-10385.215","-20057.112"
"1747230139","-2806.336","-14587.492","-11274.815","-3194.362","-3784.299","-7090.122","-3239.661","-15399.158","-3809.780","-4933.625","-6611.645","-8761.734","-8288.175","-18987.805","-10269.433","-20046.681"
"1747230140","-2799.183","-14773.905","-11273.772","-3245.920","-3719.777","-7015.020","-3267.229","-15269.518","-3822.148","-4948.080","-6471.723","-8758.903","-8233.935","-19040.406","-10328.144","-20064.712"
"1747230141","-2793.074","-14880.151","-11274.964","-3319.532","-3662.407","-6917.417","-3313.273","-15276.670","-3827.512","-4976.392","-6429.702","-8759.499","-8078.218","-19226.968","-10390.878","-20072.758"
"1747230142","-2821.535","-14858.395","-11276.752","-3391.206","-3661.811","-6912.202","-3385.246","-15336.871","-3826.171","-5066.246","-6474.853","-8747.727","-8165.538","-19046.515","-10274.351","-20080.805"
"1747230143","-2826.005","-14699.399","-11282.414","-3329.813","-3729.016","-7042.736","-3401.786","-15364.587","-3812.015","-5112.290","-6488.264","-8764.267","-8321.404","-18970.370","-10290.742","-20078.421"
"1747230144","-2818.555","-14606.863","-11276.752","-3258.586","-3798.902","-7108.152","-3349.632","-15308.112","-3754.497","-5110.502","-6537.437","-8742.809","-8322.746","-19061.863","-10380.298","-20081.848"
"1747230145","-2817.512","-14578.849","-11280.179","-3195.703","-3810.227","-7069.558","-3283.173","-15112.758","-3771.186","-5013.645","-6607.324","-8745.342","-8227.080","-19218.326","-10337.681","-20078.421"
"1747230146","-2815.127","-14574.230","-11281.371","-3208.071","-3795.624","-7045.418","-3260.374","-15104.860","-3811.270","-4934.669","-6549.805","-8759.499","-8110.702","-19024.611","-10268.390","-20081.699"
"1747230147","-2809.614","-14558.882","-11273.772","-3295.094","-3740.788","-7028.878","-3261.119","-15302.300","-3816.187","-4938.096","-6438.345","-8748.472","-8118.302","-18963.367","-10330.230","-20068.437"
"1747230148","-2803.504","-14719.814","-11275.858","-3431.290","-3648.549","-6918.460","-3263.205","-15377.700","-3787.726","-4954.189","-6465.614","-8752.197","-8329.004","-19195.080","-10366.738","-20081.103"
"1747230149","-2807.230","-14849.603","-11272.728","-3418.475","-3641.397","-6947.815","-3263.503","-15313.327","-3789.067","-4957.616","-6477.237","-8739.531","-8345.246","-19239.485","-10282.397","-20083.189"
"1747230150","-2804.846","-14844.537","-11280.328","-3259.927","-3723.055","-7091.612","-3267.229","-15251.637","-3800.541","-4952.699","-6474.108","-8737.892","-8239.299","-19002.259","-10315.925","-20095.855"
"1747230151","-2809.316","-14696.717","-11279.285","-3197.342","-3791.302","-7086.247","-3270.507","-15176.237","-3778.785","-4949.570","-6485.134","-8746.833","-8108.616","-18971.115","-10319.799","-20110.607"
"1747230152","-2801.567","-14595.836","-11150.837","-3176.481","-3815.740","-6977.171","-3264.844","-15231.520","-3608.018","-4960.597","-6581.694","-8738.637","-8119.941","-19057.095","-10301.173","-20123.571"
"1747230153","-2803.952","-14556.795","-11009.574","-3189.594","-3774.017","-6906.837","-3256.649","-15312.731","-3640.652","-5053.133","-6626.844","-8741.468","-8307.993","-18947.124","-10279.268","-20078.570"
"1747230154","-2809.316","-14548.302","-11108.220","-3188.401","-3692.806","-7013.828","-3260.374","-15257.448","-3827.512","-5120.635","-6475.300","-8733.571","-8297.861","-19001.365","-10383.576","-19916.296"
"1747230155","-2809.167","-14537.573","-11182.129","-3232.658","-3650.337","-7112.920","-3309.846","-15127.063","-3941.953","-5098.581","-6426.424","-8736.998","-8095.205","-19143.969","-10382.235","-19814.521"
"1747230156","-2803.802","-14723.688","-11206.716","-3374.368","-3678.650","-7061.511","-3411.323","-15146.434","-3855.228","-5014.241","-6479.025","-8740.127","-8040.667","-19120.276","-10273.457","-19795.001"
"1747230157","-2802.312","-14831.722","-11193.454","-3434.420","-3753.603","-6964.058","-3401.786","-15282.482","-3768.504","-4948.378","-6508.529","-8733.273","-8146.167","-18976.331","-10307.580","-19784.123"
"1747230158","-2794.266","-14823.228","-11201.203","-3311.336","-3813.207","-6924.272","-3323.257","-15382.767","-3761.351","-4928.559","-6468.743","-8725.226","-8316.040","-18958.151","-10334.551","-19887.686"
"1747230159","-2795.756","-14681.220","-11211.336","-3214.926","-3791.302","-7015.318","-3292.859","-15245.378","-3807.247","-4952.997","-6461.293","-8743.107","-8267.909","-19038.469","-10302.216","-20026.863"
