"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1747055873","-286.549","-9129.494","-7200.986","-1406.372","-799.447","-4496.872","-1637.489","-7823.408","-1880.527","-1183.748","-4211.515","-5860.776","-5811.900","-11276.156","-5983.412","-9044.856"
"1747055874","-334.382","-8911.788","-7195.175","-1423.061","-799.745","-4474.074","-1554.340","-7821.620","-1931.638","-1246.631","-4205.108","-5852.580","-5901.158","-11156.052","-6183.684","-8961.409"
"1747055875","-441.074","-8900.464","-7193.089","-1353.621","-796.020","-4507.303","-1534.671","-7708.371","-2111.197","-1258.254","-4298.538","-5870.759","-6000.996","-11113.286","-5966.127","-8958.429"
"1747055876","-493.079","-9009.689","-7191.300","-1246.929","-792.593","-4501.492","-1573.116","-7553.995","-2070.218","-1239.479","-4384.220","-5863.905","-5930.662","-11309.087","-6050.169","-9053.946"
"1747055877","-415.146","-9126.812","-7196.814","-1174.510","-801.235","-4611.909","-1650.751","-7672.012","-1873.523","-1232.773","-4256.219","-5858.392","-5792.528","-11129.975","-6143.004","-9191.185"
"1747055878","-301.003","-9140.670","-7197.410","-1190.752","-793.934","-4590.899","-1665.503","-7835.031","-1873.821","-1235.306","-4179.329","-5844.086","-5881.637","-11094.958","-5938.858","-9253.621"
"1747055879","-245.720","-9127.408","-7200.986","-1288.354","-784.397","-4494.488","-1672.655","-7835.925","-1906.455","-1250.207","-4264.116","-5876.124","-5994.141","-11308.491","-6006.956","-9263.158"
"1747055880","-382.662","-9141.713","-7187.724","-1385.510","-780.225","-4474.819","-1675.487","-7757.097","-1894.236","-1221.448","-4383.773","-5861.223","-5994.439","-11281.222","-6107.390","-9236.485"
"1747055881","-480.711","-9023.249","-7185.489","-1409.650","-789.464","-4498.065","-1669.675","-7651.448","-1906.455","-1121.759","-4393.607","-5867.183","-5894.452","-11068.434","-6019.324","-9229.928"
"1747055882","-472.218","-8818.060","-7174.462","-1335.144","-785.738","-4482.865","-1621.395","-7568.896","-2107.918","-1082.122","-4235.059","-5843.490","-5799.830","-11160.672","-5972.832","-9248.704"
"1747055883","-389.069","-8896.291","-7181.615","-1249.462","-822.097","-4475.117","-1634.955","-7714.331","-2108.365","-1175.255","-4190.803","-5858.690","-5895.793","-11286.736","-6140.471","-9247.065"
"1747055884","-289.381","-9032.190","-7179.826","-1218.468","-872.016","-4450.679","-1656.711","-7794.499","-1893.491","-1239.926","-4250.258","-5859.286","-5981.326","-11175.871","-6000.400","-9158.403"
"1747055885","-271.946","-9113.848","-7182.807","-1200.885","-859.648","-4456.937","-1674.443","-7744.879","-1860.559","-1228.750","-4376.322","-5855.411","-5951.673","-11240.840","-5957.782","-9019.077"
"1747055886","-379.682","-9118.319","-7177.144","-1263.767","-804.365","-4438.162","-1682.341","-7693.470","-1899.898","-1214.445","-4393.756","-5864.203","-5904.734","-11285.245","-6140.471","-9001.195"
"1747055887","-468.194","-9119.362","-7163.584","-1336.336","-775.307","-4447.550","-1641.810","-7699.281","-1884.997","-1208.633","-4290.044","-5855.560","-5794.913","-11181.831","-6119.311","-9074.509"
"1747055888","-462.830","-9147.823","-7164.627","-1400.411","-779.033","-4432.052","-1544.803","-7753.968","-1869.500","-1214.147","-4165.620","-5851.835","-5875.975","-11132.210","-5960.613","-9196.401"
"1747055889","-385.046","-9165.853","-7174.015","-1425.445","-790.507","-4411.638","-1569.390","-7768.273","-2006.739","-1226.217","-4234.612","-5861.223","-5997.717","-11290.610","-6062.388","-9236.336"
"1747055890","-237.972","-8987.188","-7169.396","-1290.590","-783.950","-4566.908","-1630.634","-7630.140","-2118.945","-1231.581","-4386.902","-5864.501","-5948.246","-11215.806","-6140.172","-9252.131"
"1747055891","-261.813","-8836.091","-7161.945","-1185.834","-796.318","-4636.794","-1653.433","-7531.494","-1975.596","-1229.942","-4353.821","-5856.901","-5852.878","-11177.659","-5996.674","-9215.176"
"1747055892","-387.132","-8863.807","-7155.836","-1159.310","-803.173","-4517.734","-1653.433","-7639.825","-1851.916","-1220.107","-4251.599","-5861.223","-5852.878","-11289.716","-5946.457","-9220.541"
"1747055893","-468.045","-9062.141","-7140.934","-1251.847","-890.940","-4415.512","-1643.747","-7785.857","-1840.591","-1226.515","-4182.756","-5861.670","-5964.041","-11268.407","-6084.591","-9230.524"
"1747055894","-446.737","-9098.351","-7148.832","-1340.955","-903.904","-4460.812","-1648.068","-7829.964","-1894.981","-1225.322","-4298.538","-5864.203","-5971.789","-11170.357","-6117.374","-9206.533"
"1747055895","-436.902","-9092.093","-7144.958","-1388.788","-829.101","-4515.797","-1655.966","-7738.024","-2045.035","-1231.283","-4388.094","-5876.869","-5806.088","-11277.497","-5958.378","-9126.067"
"1747055896","-359.714","-9120.405","-7133.335","-1413.524","-758.022","-4484.802","-1663.417","-7734.150","-2089.292","-1226.366","-4319.698","-5858.392","-5850.941","-11251.420","-6103.516","-9063.482"
"1747055897","-269.115","-9129.643","-7133.037","-1389.086","-769.794","-4431.754","-1650.453","-7751.882","-1914.054","-1218.468","-4188.418","-5869.120","-5999.655","-11242.777","-6086.677","-9112.656"
"1747055898","-270.903","-9160.489","-7130.802","-1227.409","-789.315","-4465.878","-1643.151","-7750.839","-1821.667","-1213.253","-4222.691","-5875.230","-5955.398","-11274.368","-5935.580","-9196.103"
"1747055899","-386.685","-9150.952","-7130.206","-1143.366","-779.778","-4587.919","-1644.045","-7747.710","-1836.419","-1197.457","-4363.358","-5861.819","-5857.050","-11286.438","-6099.939","-9214.580"
