"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1747053227","-400.990","-3656.596","-2891.123","-108.480","-218.004","-1257.062","-500.232","-3515.184","-450.611","-263.155","-1703.203","-1547.188","-2197.176","-3640.801","-2138.615","-2242.029"
"1747053228","-413.358","-3595.948","-2888.590","-213.534","-240.356","-1289.696","-504.851","-3345.311","-316.799","-279.546","-1837.164","-1560.152","-2136.081","-3450.215","-2294.779","-2332.032"
"1747053229","-486.970","-3441.721","-2886.355","-304.282","-302.792","-1251.847","-493.824","-3030.300","-466.555","-284.016","-1924.187","-1573.414","-2318.323","-3544.092","-2212.971","-2479.851"
"1747053230","-590.980","-3530.979","-2880.394","-327.826","-371.784","-1214.147","-447.482","-3056.526","-587.106","-273.585","-1875.758","-1550.317","-2348.721","-3680.289","-2283.454","-2529.621"
"1747053231","-474.006","-3632.307","-2893.060","-322.759","-314.415","-1228.750","-429.600","-3298.819","-583.678","-292.957","-1750.439","-1538.992","-2290.457","-3602.505","-2273.470","-2560.765"
"1747053232","-406.057","-3672.838","-2906.770","-252.277","-245.720","-1264.066","-452.846","-3512.353","-426.173","-386.238","-1737.773","-1554.340","-2210.736","-3443.807","-2249.777","-2559.274"
"1747053233","-423.640","-3608.465","-2906.471","-93.430","-220.537","-1235.604","-487.715","-3297.031","-319.481","-379.384","-1897.514","-1564.175","-2159.327","-3646.761","-2326.816","-2531.558"
"1747053234","-423.193","-3432.781","-2906.322","-117.570","-240.952","-1223.683","-499.636","-3069.341","-506.788","-293.702","-1877.844","-1576.543","-2309.829","-3596.991","-2215.058","-2553.016"
"1747053235","-410.229","-3459.603","-2885.610","-262.856","-304.729","-1241.565","-489.205","-3190.786","-588.596","-261.664","-1717.806","-1537.800","-2316.982","-3394.186","-2192.855","-2580.583"
"1747053236","-493.526","-3571.361","-2878.755","-312.328","-367.165","-1264.513","-491.291","-3423.244","-485.480","-272.691","-1728.684","-1551.360","-2224.147","-3608.167","-2322.346","-2604.574"
"1747053237","-613.183","-3630.817","-2896.041","-318.289","-343.621","-1230.985","-496.954","-3481.209","-317.693","-284.314","-1860.261","-1573.265","-2170.205","-3678.501","-2240.241","-2553.761"
"1747053238","-523.925","-3649.741","-2903.044","-322.908","-239.015","-1220.852","-492.483","-3323.555","-329.167","-323.951","-1926.869","-1563.728","-2233.535","-3603.548","-2244.562","-2436.340"
"1747053239","-406.802","-3665.537","-2893.209","-258.982","-218.898","-1229.346","-486.970","-3126.860","-542.849","-404.269","-1841.486","-1537.204","-2330.840","-3469.437","-2322.346","-2322.048"
"1747053240","-403.821","-3671.646","-2892.166","-129.640","-246.763","-1261.234","-429.899","-3239.065","-562.519","-406.951","-1711.100","-1548.678","-2210.140","-3558.248","-2225.190","-2265.126"
"1747053241","-427.365","-3401.786","-2878.904","-63.330","-336.766","-1216.084","-386.685","-3461.391","-521.094","-317.991","-1739.413","-1565.665","-2108.067","-3692.657","-2178.699","-2337.247"
"1747053242","-421.405","-3348.142","-2864.301","-176.579","-378.937","-1235.455","-428.706","-3387.630","-521.541","-273.585","-1890.659","-1561.344","-2283.901","-3446.043","-2305.061","-2468.675"
"1747053243","-511.259","-3556.311","-2855.808","-275.671","-284.016","-1298.487","-478.625","-3266.931","-402.927","-276.864","-1916.289","-1562.238","-2357.364","-3423.989","-2197.027","-2534.389"
"1747053244","-622.123","-3613.085","-2857.745","-284.016","-238.717","-1250.952","-488.311","-3263.801","-297.874","-285.357","-1822.412","-1537.502","-2306.104","-3656.149","-2254.993","-2563.596"
"1747053245","-591.874","-3620.684","-2853.721","-290.722","-238.270","-1216.084","-483.096","-3319.234","-422.001","-283.867","-1691.431","-1552.403","-2205.819","-3613.532","-2324.730","-2562.553"
"1747053246","-396.818","-3643.036","-2843.887","-293.851","-277.609","-1243.204","-484.437","-3324.002","-549.555","-287.145","-1770.705","-1564.324","-2152.771","-3413.111","-2157.390","-2556.145"
"1747053247","-392.944","-3651.381","-2827.048","-283.867","-347.495","-1247.525","-494.123","-3296.137","-503.659","-288.934","-1900.792","-1531.690","-2298.504","-3555.864","-2183.020","-2550.781"
"1747053248","-419.319","-3661.215","-2830.476","-280.589","-385.046","-1243.353","-499.189","-3300.458","-496.358","-357.777","-1867.414","-1544.207","-2301.931","-3670.156","-2296.716","-2531.111"
"1747053249","-515.431","-3686.100","-3003.329","-220.835","-301.152","-1232.922","-492.632","-3283.769","-533.015","-431.836","-1733.303","-1561.046","-2299.845","-3427.118","-2188.087","-2413.690"
"1747053250","-604.689","-3686.547","-3158.748","-173.748","-242.591","-1236.647","-492.781","-3297.627","-529.587","-386.834","-1700.819","-1549.423","-2194.643","-3439.784","-2338.886","-2326.369"
"1747053251","-533.909","-3672.689","-3017.634","-198.036","-242.889","-1236.945","-495.613","-3424.883","-522.882","-310.093","-1804.978","-1551.211","-2092.272","-3668.368","-2268.255","-2246.201"
"1747053252","-412.762","-3658.533","-2911.985","-234.544","-253.469","-1244.396","-506.938","-3539.175","-435.114","-272.989","-1917.332","-1560.748","-2267.957","-3585.219","-2149.642","-2297.163"
"1747053253","-372.976","-3654.361","-2893.955","-243.634","-307.709","-1228.154","-512.749","-3373.325","-343.323","-284.314","-1859.367","-1531.988","-2345.741","-3401.041","-2365.112","-2475.679"
"1747053254","-419.319","-3671.497","-2872.497","-228.286","-387.579","-1240.820","-513.196","-3276.467","-466.704","-303.984","-1714.975","-1550.913","-2232.641","-3629.327","-2181.381","-2556.592"
"1747053255","-531.822","-3675.520","-2842.546","-217.259","-328.422","-1226.366","-466.406","-3359.020","-516.176","-288.486","-1717.955","-1561.493","-2149.642","-3586.262","-2215.207","-2591.014"
"1747053256","-603.646","-3681.183","-2878.010","-233.799","-260.025","-1219.362","-402.480","-3478.527","-481.009","-280.142","-1837.015","-1531.243","-2240.539","-3413.558","-2349.019","-2551.079"
"1747053257","-533.462","-3640.503","-3123.283","-233.650","-238.717","-1227.856","-384.003","-3506.839","-470.430","-347.644","-1916.140","-1537.353","-2319.515","-3482.401","-2243.668","-2549.291"
"1747053258","-402.778","-3621.876","-3189.445","-234.991","-266.880","-1226.664","-434.667","-3372.431","-502.318","-435.412","-1828.372","-1552.552","-2301.335","-3677.011","-2207.458","-2559.572"
"1747053259","-375.956","-3648.698","-3010.184","-228.733","-344.664","-1228.005","-492.334","-3337.711","-496.358","-418.574","-1716.316","-1535.416","-2151.877","-3531.128","-2322.197","-2571.642"
"1747053260","-486.672","-3658.086","-2913.624","-238.270","-356.883","-1205.653","-489.056","-3436.506","-468.791","-317.991","-1781.732","-1538.396","-2202.690","-3435.165","-2201.796","-2606.064"
"1747053261","-581.592","-3650.039","-2887.100","-240.654","-289.530","-1211.464","-481.606","-3593.266","-498.593","-286.996","-1913.160","-1562.089","-2341.121","-3654.957","-2232.790","-2528.280"
"1747053262","-578.612","-3638.715","-2934.039","-243.783","-228.286","-1237.094","-489.503","-3512.502","-498.593","-309.497","-1836.568","-1531.094","-2190.322","-3564.805","-2309.084","-2363.622"
"1747053263","-468.045","-3638.268","-3101.528","-246.763","-236.481","-1244.694","-504.404","-3348.589","-478.029","-307.560","-1703.501","-1542.568","-2090.931","-3390.312","-2141.297","-2277.792"
"1747053264","-372.678","-3659.129","-3218.651","-248.849","-296.086","-1233.518","-505.298","-3341.436","-489.950","-296.682","-1701.415","-1551.211","-2218.932","-3495.663","-2205.223","-2249.330"
"1747053265","-433.624","-3636.777","-3052.950","-252.277","-361.502","-1223.981","-500.381","-3466.606","-491.142","-277.609","-1836.568","-1544.058","-2385.080","-3646.314","-2299.547","-2271.533"
"1747053266","-552.982","-3635.138","-2925.992","-253.618","-302.494","-1227.707","-515.282","-3616.214","-488.907","-276.566","-1906.753","-1546.592","-2251.416","-3418.773","-2191.216","-2433.956"
"1747053267","-589.341","-3623.813","-2894.402","-241.995","-233.352","-1229.942","-497.550","-3515.631","-501.424","-284.016","-1749.694","-1533.478","-2106.428","-3489.107","-2305.061","-2531.856"
"1747053268","-543.147","-3649.443","-2925.694","-238.419","-253.022","-1233.220","-426.769","-3366.023","-485.480","-337.958","-1671.612","-1548.827","-2255.440","-3682.077","-2226.979","-2559.572"
"1747053269","-425.577","-3676.116","-3078.431","-239.611","-275.671","-1229.197","-379.831","-3389.269","-483.990","-428.259","-1815.856","-1539.588","-2351.403","-3440.380","-2123.564","-2530.515"
"1747053270","-342.131","-3769.100","-3138.036","-250.041","-332.296","-1195.520","-415.593","-3494.620","-512.898","-439.882","-1917.183","-1536.012","-2212.226","-3400.147","-2268.851","-2545.714"
"1747053271","-431.985","-3736.019","-2980.679","-251.085","-275.522","-1216.531","-458.062","-3625.154","-513.345","-361.055","-1893.938","-1554.042","-2091.974","-3632.605","-2288.967","-2541.840"
"1747053272","-554.919","-3706.664","-2893.060","-239.164","-237.375","-1240.969","-483.543","-3606.081","-478.327","-293.255","-1742.840","-1534.820","-2232.790","-3608.018","-2238.601","-2431.870"
"1747053273","-574.142","-3694.147","-2882.928","-245.273","-248.551","-1225.024","-495.166","-3384.948","-497.997","-288.635","-1719.296","-1549.721","-2383.888","-3359.020","-2287.924","-2315.938"
"1747053274","-504.553","-3692.359","-3032.982","-250.340","-327.379","-1214.147","-486.672","-3382.117","-509.471","-306.368","-1844.764","-1532.733","-2203.435","-3626.645","-2236.813","-2358.556"
"1747053275","-354.797","-3893.822","-3216.118","-246.465","-357.330","-1216.829","-506.788","-3528.297","-502.020","-305.027","-1926.273","-1540.035","-2108.067","-3649.443","-2111.346","-2488.941"
"1747053276","-355.691","-3970.265","-3100.336","-243.783","-282.824","-1226.962","-475.645","-3646.910","-519.156","-291.169","-1819.134","-1539.588","-2250.075","-3368.556","-2313.554","-2556.443"
"1747053277","-481.308","-3862.083","-2955.496","-246.167","-225.902","-1216.233","-404.418","-3591.180","-510.067","-288.785","-1700.521","-1539.439","-2354.532","-3397.912","-2278.686","-2577.752"
"1747053278","-581.145","-3753.304","-2900.064","-249.147","-214.875","-1221.150","-395.179","-3381.371","-517.070","-286.847","-1709.014","-1527.518","-2238.899","-3638.566","-2225.190","-2598.464"
"1747053279","-544.637","-3758.669","-2889.186","-256.300","-217.855","-1226.217","-437.796","-3374.219","-516.027","-284.016","-1807.362","-1541.525","-2111.346","-3506.541","-2314.150","-2498.776"
"1747053280","-429.749","-3753.304","-2957.582","-265.837","-228.882","-1231.134","-468.493","-3506.541","-528.693","-348.240","-1879.334","-1545.995","-2290.308","-3428.459","-2177.954","-2352.893"
"1747053281","-334.531","-3766.567","-3189.147","-271.499","-323.653","-1233.369","-491.291","-3589.988","-542.700","-439.733","-1774.579","-1549.572","-2340.078","-3667.474","-2153.814","-2260.506"
"1747053282","-414.103","-3749.430","-3182.143","-270.754","-348.091","-1223.087","-494.421","-3409.386","-530.928","-376.254","-1689.345","-1540.035","-2127.290","-3533.512","-2327.412","-2280.325"
"1747053283","-563.562","-3740.638","-2967.566","-279.248","-234.842","-1179.129","-500.530","-3328.025","-540.316","-294.745","-1764.894","-1548.231","-2098.978","-3395.677","-2199.411","-2403.855"
"1747053284","-553.727","-3731.996","-2913.624","-281.334","-192.672","-1210.570","-517.070","-3392.845","-546.724","-269.711","-1887.679","-1519.769","-2256.930","-3466.755","-2224.147","-2500.266"
"1747053285","-446.886","-3723.800","-2904.832","-295.043","-201.911","-1224.577","-512.004","-3546.029","-532.866","-288.785","-1865.923","-1545.697","-2336.800","-3639.907","-2299.994","-2557.486"
"1747053286","-319.034","-3729.463","-2881.885","-289.232","-211.149","-1201.779","-528.544","-3606.677","-429.749","-296.533","-1711.249","-1532.435","-2171.844","-3489.852","-2237.260","-2568.811"
"1747053287","-340.790","-3722.310","-2919.883","-297.576","-206.977","-1250.803","-503.808","-3378.838","-413.060","-299.513","-1746.416","-1533.926","-2175.719","-3424.138","-2101.064","-2573.133"
"1747053288","-427.812","-3709.942","-3093.481","-308.156","-212.640","-1238.883","-438.690","-3309.995","-552.237","-284.910","-1903.027","-1544.058","-2336.353","-3596.842","-2302.229","-2533.644"
"1747053289","-561.178","-3722.608","-3147.423","-313.222","-319.928","-1186.132","-362.098","-3408.790","-560.582","-273.883","-1897.812","-1523.793","-2300.739","-3631.413","-2249.181","-2458.692"
"1747053290","-525.266","-3730.357","-3000.796","-304.878","-330.061","-1190.901","-385.791","-3411.174","-531.524","-282.377","-1749.247","-1540.035","-2129.078","-3492.981","-2221.614","-2369.881"
"1747053291","-319.928","-3743.321","-2918.690","-340.641","-217.259","-1243.502","-476.539","-3360.510","-557.303","-274.628","-1693.517","-1532.137","-2149.194","-3374.517","-2305.061","-2272.278"
"1747053292","-309.348","-3746.748","-2924.055","-341.088","-185.519","-1210.570","-503.659","-3352.910","-545.830","-284.463","-1834.929","-1535.118","-2346.784","-3555.715","-2153.069","-2302.825"
