,A0_C05 Ave. (µV),A2_C07 Ave. (µV),A4_C08 Ave. (µV),A6_C11 Ave. (µV),C0_D01 Ave. (µV),C3_D03 Ave. (µV),C6_D04 Ave. (µV),B0_C13 Ave. (µV),B6_C14 Ave. (µV),D0_D07 Ave. (µV),D1_D08 Ave. (µV),D2_D11 Ave. (µV),D3_D12 Ave. (µV),D4_D13 Ave. (µV),D5_D14 Ave. (µV),D6_D16 Ave. (µV)
1746802593.0,-641.3460,-8869.3200,-7137.0600,-1159.4590,-673.2340,-3684.4610,-1265.8540,-6879.5680,-1731.5150,-911.6530,-3649.2940,-5180.8360,-5294.9790,-10645.6880,-5553.6630,-5928.8740
1746802594.0,-631.2130,-8909.8510,-7131.6960,-1115.7990,-666.0820,-3607.8690,-1332.6110,-6788.2240,-1784.2650,-868.4400,-3426.0750,-5185.7530,-5223.7510,-10529.0110,-5667.9550,-5971.6400
1746802595.0,-548.2140,-8870.5120,-7139.1460,-1128.9120,-656.8430,-3484.3390,-1360.4760,-6771.6840,-1763.9990,-868.2910,-3201.8130,-5160.7190,-5272.9250,-10417.1040,-5571.3950,-6088.1670
1746802596.0,-448.5250,-8722.5440,-7161.0510,-1185.5360,-652.8200,-3488.8090,-1364.6480,-6831.7350,-1718.1040,-937.4320,-3408.4920,-5163.4010,-5257.4280,-10503.5310,-5520.4330,-6164.6100
1746802597.0,-430.7930,-8582.6220,-7150.3220,-1332.4620,-670.9990,-3692.9550,-1354.6650,-6944.3880,-1738.3690,-1007.0200,-3654.5100,-5171.1500,-5230.7550,-10389.0900,-5744.5470,-6141.8120
1746802598.0,-549.8530,-8588.5820,-7158.5180,-1365.3930,-669.2110,-3699.8090,-1364.0520,-6953.0310,-1762.0620,-1038.0150,-3454.5360,-5177.8550,-5293.3390,-10479.0930,-5529.2250,-6030.6490
1746802599.0,-649.5420,-8807.3310,-7095.4860,-1226.2170,-641.0480,-3507.7330,-1386.2550,-6818.4730,-1751.7810,-1023.7100,-3205.5380,-5185.9020,-5307.4960,-10654.3300,-5470.8120,-5969.1070
1746802600.0,-636.8760,-8890.3310,-6940.9610,-1142.7700,-604.8380,-3466.0100,-1381.9340,-6747.3950,-1749.8430,-952.9290,-3262.7580,-5173.8320,-5239.5460,-10571.1820,-5660.0570,-5967.7660
1746802601.0,-575.3340,-8893.6090,-6833.6730,-1115.7990,-626.1470,-3576.8750,-1351.5350,-6765.7230,-1818.8360,-853.8370,-3592.5210,-5177.5570,-5224.6450,-10396.3910,-5628.6160,-5974.6210
1746802602.0,-425.2790,-8680.9690,-6982.3860,-1095.6820,-665.9330,-3708.3030,-1268.9830,-6805.3600,-1847.1480,-850.8560,-3575.9810,-5142.9870,-5380.6600,-10472.3870,-5607.1580,-6000.9960
1746802603.0,-414.9970,-8588.4330,-7057.6370,-1111.4780,-667.4230,-3611.7430,-1270.9200,-6787.9260,-1764.1480,-895.1130,-3257.0960,-5172.9380,-5377.9780,-10404.5870,-5684.6440,-6069.9880
1746802604.0,-502.0200,-8571.4460,-7082.5220,-1192.2420,-659.6740,-3472.4180,-1313.3880,-6763.0410,-1740.7540,-993.3110,-3297.0310,-5172.3420,-5202.2930,-10419.1900,-5513.7280,-6178.4680
1746802605.0,-632.7030,-8766.2040,-7071.0480,-1332.9090,-632.5540,-3527.1050,-1364.7970,-6754.1000,-1747.0120,-1030.2660,-3619.7900,-5167.8720,-5240.1420,-10395.3480,-5598.3660,-6128.9970
