Today's Date:	09 May 2025	Date of Test:	08-May-25 1:46:13 PM
Filename:	Arbitrary file name 2025-05-08 13-46-13_746	Tester Channel:	3
Tester ID:	Maccor #4
Procedure:	E72_C_3_test.000	Description:	C/3 CC disch/ CCCV ch E72 Porsche at 25°C
SCap:	0.0 g
C Rate:	72.199997 A
Rec	Cycle P	Cycle C	Step	Test Time	Step Time	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	AUX1 [C]	
1	0	1	1	  0d 00:00:0	  0d 00:00:0	0	0	0	4.086	R	0	08-May-25 1:46:14 PM	28	
2	0	1	1	  0d 00:00:10	  0d 00:00:10	0	0	0	4.085	R	1	08-May-25 1:46:24 PM	28	
3	0	1	1	  0d 00:00:20	  0d 00:00:20	0	0	0	4.085	R	1	08-May-25 1:46:34 PM	28	
4	0	1	1	  0d 00:00:30	  0d 00:00:30	0	0	0	4.085	R	1	08-May-25 1:46:44 PM	28	
5	0	1	1	  0d 00:00:40	  0d 00:00:40	0	0	0	4.083	R	1	08-May-25 1:46:54 PM	28	
6	0	1	1	  0d 00:00:50	  0d 00:00:50	0	0	0	4.087	R	1	08-May-25 1:47:04 PM	28	
7	0	1	1	  0d 00:01:0	  0d 00:01:0	0	0	0	4.087	R	1	08-May-25 1:47:14 PM	28	
8	0	1	1	  0d 00:01:10	  0d 00:01:10	0	0	0	4.085	R	1	08-May-25 1:47:24 PM	28	
9	0	1	1	  0d 00:01:20	  0d 00:01:20	0	0	0	4.086	R	1	08-May-25 1:47:34 PM	28	
10	0	1	1	  0d 00:01:30	  0d 00:01:30	0	0	0	4.082	R	1	08-May-25 1:47:44 PM	28	
11	0	1	1	  0d 00:01:40	  0d 00:01:40	0	0	0	4.088	R	1	08-May-25 1:47:54 PM	28	
12	0	1	1	  0d 00:01:50	  0d 00:01:50	0	0	0	4.085	R	1	08-May-25 1:48:04 PM	28	
13	0	1	1	  0d 00:02:0	  0d 00:02:0	0	0	0	4.083	R	129	08-May-25 1:48:14 PM	28	
14	0	1	2	  0d 00:02:0	  0d 00:00:0	0.000	0.001	23.908	4.128	C	0	08-May-25 1:48:14 PM	28	
15	0	1	2	  0d 00:02:5	  0d 00:00:5	0.033	0.138	23.825	4.142	C	1	08-May-25 1:48:19 PM	28	
16	0	1	2	  0d 00:02:10	  0d 00:00:10	0.066	0.275	23.818	4.139	C	1	08-May-25 1:48:24 PM	28	
17	0	1	2	  0d 00:02:15	  0d 00:00:15	0.1	0.412	23.815	4.144	C	1	08-May-25 1:48:29 PM	28	
18	0	1	2	  0d 00:02:20	  0d 00:00:20	0.133	0.549	23.828	4.146	C	1	08-May-25 1:48:34 PM	28	
19	0	1	2	  0d 00:02:25	  0d 00:00:25	0.166	0.686	23.828	4.148	C	1	08-May-25 1:48:39 PM	28	
20	0	1	2	  0d 00:02:30	  0d 00:00:30	0.199	0.824	23.818	4.149	C	1	08-May-25 1:48:44 PM	28	
21	0	1	2	  0d 00:02:35	  0d 00:00:35	0.232	0.961	23.821	4.152	C	1	08-May-25 1:48:49 PM	28	
22	0	1	2	  0d 00:02:40	  0d 00:00:40	0.265	1.098	23.815	4.151	C	1	08-May-25 1:48:54 PM	28	
23	0	1	2	  0d 00:02:45	  0d 00:00:45	0.298	1.236	23.825	4.153	C	1	08-May-25 1:48:59 PM	28	
24	0	1	2	  0d 00:02:50	  0d 00:00:50	0.331	1.373	23.825	4.154	C	1	08-May-25 1:49:04 PM	28	
25	0	1	2	  0d 00:02:55	  0d 00:00:55	0.364	1.511	23.825	4.156	C	1	08-May-25 1:49:09 PM	28	
26	0	1	2	  0d 00:03:0	  0d 00:01:0	0.397	1.648	23.834	4.156	C	1	08-May-25 1:49:14 PM	28	
27	0	1	2	  0d 00:03:5	  0d 00:01:5	0.43	1.786	23.828	4.16	C	1	08-May-25 1:49:19 PM	28	
28	0	1	2	  0d 00:03:10	  0d 00:01:10	0.464	1.923	23.828	4.154	C	1	08-May-25 1:49:24 PM	28	
29	0	1	2	  0d 00:03:15	  0d 00:01:15	0.497	2.061	23.815	4.159	C	1	08-May-25 1:49:29 PM	28	
30	0	1	2	  0d 00:03:20	  0d 00:01:20	0.53	2.199	23.821	4.159	C	1	08-May-25 1:49:34 PM	28	
31	0	1	2	  0d 00:03:25	  0d 00:01:25	0.563	2.336	23.834	4.16	C	1	08-May-25 1:49:39 PM	28	
32	0	1	2	  0d 00:03:30	  0d 00:01:30	0.596	2.474	23.821	4.161	C	1	08-May-25 1:49:44 PM	28	
33	0	1	2	  0d 00:03:35	  0d 00:01:35	0.629	2.612	23.818	4.161	C	1	08-May-25 1:49:49 PM	28	
34	0	1	2	  0d 00:03:40	  0d 00:01:40	0.662	2.749	23.818	4.165	C	1	08-May-25 1:49:54 PM	28	
35	0	1	2	  0d 00:03:45	  0d 00:01:45	0.695	2.887	23.828	4.163	C	1	08-May-25 1:49:59 PM	28	
36	0	1	2	  0d 00:03:50	  0d 00:01:50	0.728	3.025	23.818	4.165	C	1	08-May-25 1:50:04 PM	28	
37	0	1	2	  0d 00:03:55	  0d 00:01:55	0.761	3.163	23.831	4.167	C	1	08-May-25 1:50:09 PM	28	
38	0	1	2	  0d 00:04:0	  0d 00:02:0	0.794	3.3	23.825	4.164	C	1	08-May-25 1:50:14 PM	28	
39	0	1	2	  0d 00:04:5	  0d 00:02:5	0.828	3.438	23.825	4.164	C	1	08-May-25 1:50:19 PM	28	
40	0	1	2	  0d 00:04:10	  0d 00:02:10	0.861	3.576	23.815	4.165	C	1	08-May-25 1:50:24 PM	28	
41	0	1	2	  0d 00:04:15	  0d 00:02:15	0.894	3.714	23.825	4.166	C	1	08-May-25 1:50:29 PM	28	
42	0	1	2	  0d 00:04:20	  0d 00:02:20	0.927	3.852	23.837	4.167	C	1	08-May-25 1:50:34 PM	28	
43	0	1	2	  0d 00:04:25	  0d 00:02:25	0.96	3.989	23.821	4.171	C	1	08-May-25 1:50:39 PM	28	
44	0	1	2	  0d 00:04:30	  0d 00:02:30	0.993	4.127	23.815	4.167	C	1	08-May-25 1:50:44 PM	28	
45	0	1	2	  0d 00:04:35	  0d 00:02:35	1.026	4.265	23.821	4.168	C	1	08-May-25 1:50:49 PM	28	
46	0	1	2	  0d 00:04:40	  0d 00:02:40	1.059	4.403	23.828	4.168	C	1	08-May-25 1:50:54 PM	28	
47	0	1	2	  0d 00:04:45	  0d 00:02:45	1.092	4.541	23.815	4.169	C	1	08-May-25 1:50:59 PM	28	
48	0	1	2	  0d 00:04:50	  0d 00:02:50	1.125	4.679	23.825	4.17	C	1	08-May-25 1:51:04 PM	28	
49	0	1	2	  0d 00:04:55	  0d 00:02:55	1.158	4.817	23.821	4.171	C	1	08-May-25 1:51:09 PM	28	
50	0	1	2	  0d 00:05:0	  0d 00:03:0	1.191	4.955	23.837	4.171	C	1	08-May-25 1:51:14 PM	28	
51	0	1	2	  0d 00:05:5	  0d 00:03:5	1.225	5.093	23.818	4.174	C	1	08-May-25 1:51:19 PM	28	
52	0	1	2	  0d 00:05:10	  0d 00:03:10	1.258	5.231	23.821	4.168	C	1	08-May-25 1:51:24 PM	28	
53	0	1	2	  0d 00:05:15	  0d 00:03:15	1.291	5.369	23.821	4.173	C	1	08-May-25 1:51:29 PM	28	
54	0	1	2	  0d 00:05:20	  0d 00:03:20	1.324	5.507	23.821	4.173	C	1	08-May-25 1:51:34 PM	28	
55	0	1	2	  0d 00:05:25	  0d 00:03:25	1.357	5.645	23.821	4.173	C	1	08-May-25 1:51:39 PM	28	
56	0	1	2	  0d 00:05:30	  0d 00:03:30	1.39	5.783	23.828	4.174	C	1	08-May-25 1:51:44 PM	28	
57	0	1	2	  0d 00:05:35	  0d 00:03:35	1.423	5.922	23.825	4.174	C	1	08-May-25 1:51:49 PM	28	
58	0	1	2	  0d 00:05:40	  0d 00:03:40	1.456	6.06	23.815	4.174	C	1	08-May-25 1:51:54 PM	28	
59	0	1	2	  0d 00:05:45	  0d 00:03:45	1.489	6.198	23.825	4.175	C	1	08-May-25 1:51:59 PM	28	
60	0	1	2	  0d 00:05:50	  0d 00:03:50	1.522	6.336	23.821	4.177	C	1	08-May-25 1:52:04 PM	28	
61	0	1	2	  0d 00:05:55	  0d 00:03:55	1.555	6.474	23.818	4.172	C	1	08-May-25 1:52:09 PM	28	
