"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1739876831","-6102.92","-5986.99","-5626.83","-5591.96","-5331.64","-3845.69","-7581.86","-6821.16","-5998.91","-5071.91","-4872.98","-2720.95","-4636.94","-5756.02","-3777.15","-3735.72"
"1739876832","-6232.86","-5977.85","-5619.33","-5667.41","-5333.32","-3738.30","-7589.96","-6779.58","-6200.08","-5094.41","-4743.34","-2698.75","-4582.85","-5765.41","-3797.56","-3711.88"
"1739876833","-6239.86","-6046.89","-5516.86","-5638.45","-5347.13","-3807.99","-7597.66","-6794.48","-5984.01","-5104.84","-4641.71","-2822.58","-4608.04","-5767.64","-3762.99","-3729.91"
"1739876834","-6230.57","-6176.33","-5549.99","-5628.37","-5326.97","-3938.97","-7597.31","-6797.02","-5835.44","-5084.13","-4678.22","-2863.26","-4652.59","-5759.30","-3767.91","-3690.12"
"1739876835","-6256.25","-6121.84","-5636.07","-5607.16","-5339.83","-3951.34","-7586.03","-6818.32","-5981.18","-5035.40","-4741.40","-2845.23","-4643.65","-5700.59","-3795.62","-3575.83"
"1739876836","-6173.85","-5964.64","-5631.45","-5572.14","-5361.14","-3890.99","-7563.08","-6809.23","-6138.98","-5035.40","-4830.66","-2806.48","-4642.31","-5690.75","-3816.19","-3595.05"
"1739876837","-6063.78","-5957.88","-5603.13","-5608.30","-5442.40","-3771.38","-7564.72","-6815.20","-6121.99","-5076.53","-4771.05","-2721.55","-4664.96","-5737.69","-3799.05","-3686.85"
"1739876838","-6151.65","-6002.93","-5608.65","-5628.32","-5396.31","-3726.63","-7568.30","-6795.67","-5881.49","-5075.93","-4638.88","-2717.52","-4680.01","-5739.63","-3780.28","-3729.31"
"1739876839","-6257.10","-6147.23","-5614.76","-5633.83","-5332.93","-3858.51","-7565.82","-6783.46","-5852.28","-5046.13","-4643.05","-2824.96","-4614.14","-5711.17","-3765.37","-3709.94"
"1739876840","-6236.28","-6112.16","-5611.48","-5544.42","-5327.17","-3935.10","-7565.17","-6772.13","-6105.01","-5062.22","-4762.26","-2847.02","-4601.93","-5722.79","-3768.95","-3710.24"
"1739876841","-6199.18","-5972.09","-5612.52","-5409.57","-5351.75","-3913.04","-7559.96","-6795.38","-6152.39","-5092.47","-4861.80","-2809.02","-4647.23","-5720.26","-3791.45","-3720.82"
"1739876842","-6076.89","-5988.78","-5604.43","-5496.14","-5365.31","-3891.19","-7554.29","-6798.36","-5942.73","-5080.70","-4715.03","-2835.84","-4634.56","-5707.44","-3802.48","-3610.10"
"1739876843","-6131.83","-6182.94","-5599.56","-5739.78","-5379.77","-3854.48","-7546.69","-6743.37","-5835.89","-5081.30","-4637.24","-2843.74","-4634.86","-5715.79","-3786.98","-3578.66"
"1739876844","-6246.72","-6193.82","-5587.04","-5785.97","-5355.18","-3784.75","-7536.86","-6751.42","-5954.65","-5073.10","-4649.01","-2739.73","-4651.70","-5706.10","-3773.87","-3643.48"
"1739876845","-6358.52","-6011.92","-5576.31","-5593.00","-5321.60","-3716.85","-7526.68","-6766.32","-6139.73","-5082.49","-4668.68","-2650.02","-4634.11","-5731.88","-3811.12","-3738.11"
"1739876846","-6223.32","-5931.56","-5578.10","-5443.54","-5323.89","-3834.96","-7536.56","-6808.34","-6094.43","-5075.93","-4793.26","-2794.71","-4654.68","-5763.17","-3813.95","-3721.86"
"1739876847","-6079.47","-6078.68","-5562.60","-5549.99","-5451.94","-3950.79","-7541.58","-6768.70","-5901.90","-5072.21","-4835.13","-2861.77","-4643.80","-5787.46","-3773.27","-3687.29"
"1739876848","-6201.57","-6206.93","-5592.41","-5751.85","-5535.63","-3957.45","-7532.84","-6745.31","-5880.74","-5062.97","-4679.86","-2829.88","-4594.92","-5722.79","-3774.32","-3705.77"
"1739876849","-6339.40","-6072.67","-5710.42","-5751.70","-5463.06","-3889.05","-7525.98","-6878.97","-6097.26","-5055.67","-4608.33","-2823.77","-4624.43","-5707.74","-3770.89","-3721.71"
"1739876850","-6262.96","-5900.36","-5728.50","-5607.51","-5300.94","-3765.03","-7516.15","-7067.02","-6153.58","-5065.20","-4678.82","-2829.73","-4616.98","-5792.23","-3778.64","-3688.19"
"1739876851","-6101.13","-6022.60","-5602.39","-5576.61","-5252.21","-3797.71","-7523.75","-6958.25","-6079.82","-5082.34","-4840.34","-2859.68","-4613.10","-5976.11","-3831.39","-3636.18"
"1739876852","-6127.36","-6165.80","-5575.87","-5605.37","-5329.10","-3915.58","-7514.66","-6744.41","-5966.72","-5058.05","-4794.30","-2854.17","-4775.67","-5842.45","-3844.05","-3671.50"
"1739876853","-6242.39","-6160.54","-5603.83","-5638.90","-5462.37","-3957.65","-7525.38","-6763.79","-6058.51","-5094.71","-4636.05","-2707.69","-4830.36","-5597.62","-3778.04","-3727.38"
"1739876854","-6292.16","-6088.61","-5600.30","-5582.87","-5490.63","-3867.60","-7529.56","-6807.74","-6190.84","-5087.11","-4631.58","-2664.03","-4663.77","-5627.27","-3769.84","-3719.33"
"1739876855","-6212.99","-5964.34","-5580.29","-5601.55","-5318.13","-3742.87","-7531.15","-6786.14","-6067.31","-5053.88","-4668.09","-2789.94","-4572.57","-5818.16","-3801.44","-3707.26"
"1739876856","-6238.82","-6086.83","-5713.40","-5611.48","-5197.82","-3746.00","-7526.28","-6757.38","-5872.25","-5050.60","-4731.42","-2863.11","-4605.65","-5949.44","-3793.54","-3673.43"
"1739876857","-6245.82","-6239.71","-5781.50","-5595.98","-5275.31","-3877.58","-7520.91","-6809.53","-5953.01","-5080.85","-4835.87","-2844.04","-4630.24","-5833.06","-3778.64","-3672.54"
"1739876858","-6213.78","-6154.38","-5664.83","-5607.41","-5454.92","-3975.53","-7529.06","-7071.05","-6164.91","-5061.18","-4794.60","-2811.10","-4646.48","-5572.29","-3764.48","-3711.13"
