Today's Date:	18 February 2025	Date of Test:	18-Feb-25 11:07:45 AM
Filename:	Arbitrary file name 2025-02-18 11-07-45_071	Tester Channel:	3
Tester ID:	Maccor #4
Procedure:	E66_puls_0.75C_constSoC.000	Description:	pulsing around one SoC with 0.75C for 30s
SCap:	0.0 g
C Rate:	64.599998 A
Rec	Cycle P	Cycle C	Step	Test Time	Step Time	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	AUX1 [C]	
1	0	1	1	  0d 00:00:0	  0d 00:00:0	0	0	0	3.683	R	0	18-Feb-25 11:07:45 AM	26	
2	0	1	1	  0d 00:00:10	  0d 00:00:10	0	0	0	3.686	R	1	18-Feb-25 11:07:55 AM	26	
3	0	1	1	  0d 00:00:20	  0d 00:00:20	0	0	0	3.686	R	1	18-Feb-25 11:08:05 AM	26	
4	0	1	1	  0d 00:00:30	  0d 00:00:30	0	0	0	3.686	R	1	18-Feb-25 11:08:15 AM	26	
5	0	1	1	  0d 00:00:40	  0d 00:00:40	0	0	0	3.686	R	1	18-Feb-25 11:08:25 AM	26	
6	0	1	1	  0d 00:00:50	  0d 00:00:50	0	0	0	3.687	R	1	18-Feb-25 11:08:35 AM	26	
7	0	1	1	  0d 00:01:0	  0d 00:01:0	0	0	0	3.684	R	1	18-Feb-25 11:08:45 AM	26	
8	0	1	1	  0d 00:01:10	  0d 00:01:10	0	0	0	3.685	R	1	18-Feb-25 11:08:55 AM	26	
9	0	1	1	  0d 00:01:20	  0d 00:01:20	0	0	0	3.686	R	1	18-Feb-25 11:09:05 AM	26	
10	0	1	1	  0d 00:01:30	  0d 00:01:30	0	0	0	3.688	R	1	18-Feb-25 11:09:15 AM	26	
11	0	1	1	  0d 00:01:40	  0d 00:01:40	0	0	0	3.686	R	1	18-Feb-25 11:09:25 AM	26	
12	0	1	1	  0d 00:01:50	  0d 00:01:50	0	0	0	3.686	R	1	18-Feb-25 11:09:35 AM	26	
13	0	1	1	  0d 00:02:0	  0d 00:02:0	0	0	0	3.687	R	1	18-Feb-25 11:09:45 AM	26	
14	0	1	1	  0d 00:02:10	  0d 00:02:10	0	0	0	3.686	R	1	18-Feb-25 11:09:55 AM	26	
15	0	1	1	  0d 00:02:20	  0d 00:02:20	0	0	0	3.686	R	1	18-Feb-25 11:10:05 AM	26	
16	0	1	1	  0d 00:02:30	  0d 00:02:30	0	0	0	3.686	R	1	18-Feb-25 11:10:15 AM	26	
17	0	1	1	  0d 00:02:40	  0d 00:02:40	0	0	0	3.686	R	1	18-Feb-25 11:10:25 AM	26	
18	0	1	1	  0d 00:02:50	  0d 00:02:50	0	0	0	3.686	R	1	18-Feb-25 11:10:35 AM	26	
19	0	1	1	  0d 00:03:0	  0d 00:03:0	0	0	0	3.687	R	1	18-Feb-25 11:10:45 AM	26	
20	0	1	1	  0d 00:03:10	  0d 00:03:10	0	0	0	3.686	R	1	18-Feb-25 11:10:55 AM	26	
21	0	1	1	  0d 00:03:20	  0d 00:03:20	0	0	0	3.687	R	1	18-Feb-25 11:11:05 AM	26	
22	0	1	1	  0d 00:03:30	  0d 00:03:30	0	0	0	3.685	R	1	18-Feb-25 11:11:15 AM	26	
23	0	1	1	  0d 00:03:40	  0d 00:03:40	0	0	0	3.686	R	1	18-Feb-25 11:11:25 AM	26	
24	0	1	1	  0d 00:03:50	  0d 00:03:50	0	0	0	3.687	R	1	18-Feb-25 11:11:35 AM	26	
25	0	1	1	  0d 00:04:0	  0d 00:04:0	0	0	0	3.686	R	1	18-Feb-25 11:11:45 AM	26	
26	0	1	1	  0d 00:04:10	  0d 00:04:10	0	0	0	3.687	R	1	18-Feb-25 11:11:55 AM	26	
27	0	1	1	  0d 00:04:20	  0d 00:04:20	0	0	0	3.685	R	1	18-Feb-25 11:12:05 AM	26	
28	0	1	1	  0d 00:04:30	  0d 00:04:30	0	0	0	3.686	R	1	18-Feb-25 11:12:15 AM	26	
29	0	1	1	  0d 00:04:40	  0d 00:04:40	0	0	0	3.686	R	1	18-Feb-25 11:12:25 AM	26	
30	0	1	1	  0d 00:04:50	  0d 00:04:50	0	0	0	3.686	R	1	18-Feb-25 11:12:35 AM	26	
31	0	1	1	  0d 00:05:0	  0d 00:05:0	0	0	0	3.687	R	129	18-Feb-25 11:12:45 AM	26	
32	1	1	4	  0d 00:05:0	  0d 00:00:0	0.000	0.001	48.604	3.603	D	0	18-Feb-25 11:12:45 AM	26	
