time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_C0,Current_temp_C1,Current_temp_C2,Current_temp_C3,Current_temp_C4,Current_temp_C5,Current_temp_C6,Current_temp_C7_Ableiterplus,Target_temp_C0,Target_temp_C1,Target_temp_C2,Target_temp_C3,Target_temp_C4,Target_temp_C5,Target_temp_C6,Target_temp_C7_Ableiterplus,kp_C0,kp_C1,kp_C2,kp_C3,kp_C4,kp_C5,kp_C6,kp_C7_Ableiterplus,ki_C0,ki_C1,ki_C2,ki_C3,ki_C4,ki_C5,ki_C6,ki_C7_Ableiterplus,kd_C0,kd_C1,kd_C2,kd_C3,kd_C4,kd_C5,kd_C6,kd_C7_Ableiterplus,Output_C0,Output_C1,Output_C2,Output_C3,Output_C4,Output_C5,Output_C6,Output_C7_Ableiterplus,BaSyTec Line.Loop_C0,BaSyTec Line.Loop_C1,BaSyTec Line.Loop_C2,BaSyTec Line.Loop_C3,BaSyTec Line.Loop_C4,BaSyTec Line.Loop_C5,BaSyTec Line.Loop_C6,BaSyTec Line.Loop_C7_Ableiterplus
20250128 _164526,45685.6982265162,1738082726.77101,00:00:00,25,25,25.01,25.01,25,25.01,24.78,25.07,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,8.01,10.11,10.33,10.46,10.65,8.01,26.11,6.53,.,.,.,.,.,.,.,.
20250128 _164527,45685.6982381482,1738082727.77612,00:00:00,25.01,25,25,25.01,25,25,24.68,25.1,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.7,12.07,10.51,10.49,10.64,9.76,21.87,-3.48,.,.,.,.,.,.,.,.
20250128 _164528,45685.698249838,1738082728.78639,00:00:00,25.01,24.99,24.99,25,25,25,24.9,24.95,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,11.57,10.45,10.74,10.77,10.63,9.98,3.76,21.16,.,.,.,.,.,.,.,.
20250128 _164529,45685.6982615741,1738082729.80082,00:00:00,25,24.99,24.99,24.99,25,24.99,25.24,24.89,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,11.88,10.51,10.91,11.16,10.61,10.15,-5,17.65,.,.,.,.,.,.,.,.
20250128 _164530,45685.6982733218,1738082730.81509,00:00:00,24.99,25,25,24.99,25,25,25.29,25.03,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,12.28,10.31,10.75,11.26,12.41,10.06,2.84,-3.27,.,.,.,.,.,.,.,.
20250128 _164531,45685.6982848958,1738082731.81554,00:00:00,24.99,25.01,25.01,25,24.99,25,25.01,25.11,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.28,10.07,10.52,10.86,10.96,9.83,19.29,-4.34,.,.,.,.,.,.,.,.
20250128 _164532,45685.6982966435,1738082732.83024,00:00:00,25.01,25,25.01,25.01,24.99,25,24.71,25.01,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.93,10.12,10.47,10.47,10.91,9.8,23.9,14.29,.,.,.,.,.,.,.,.
20250128 _164533,45685.6983083796,1738082733.84426,00:00:00,25.01,25,25,25.01,25,25,24.71,25.04,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.64,10.32,12.31,10.5,10.83,10.01,16.8,11.97,.,.,.,.,.,.,.,.
20250128 _164534,45685.6983202662,1738082734.87112,00:00:00,25.01,24.99,24.99,24.99,25,24.99,25.01,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,9.69,10.47,12.54,10.9,10.71,10.17,0.24,23.72,.,.,.,.,.,.,.,.
20250128 _164535,45685.6983319907,1738082735.88448,00:00:00,24.99,24.99,24.99,24.98,25,25,25.3,24.96,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,36.6,93,8.64,7.74,7.812,8.184,7.998,8.448,10.98,167.4,24,21.5,20.32,21.29,20.81,20.62,30.5,12.92,10.05,10.53,10.84,11.31,10.82,10.23,-5.02,6.89,.,.,.,.,.,.,.,.
