time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-/Heater,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-/Heater,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-/Heater,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-/Heater,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-/Heater,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-/Heater,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-/Heater
20250128 _164526,45685.6982202778,1738082726.23259,00:00:00,25,25,25,25,25.01,24.99,25.01,25.31,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.25,12.59,10.55,11.41,11.41,12.3,10.47,-57.82,.,.,.,.,.,.,.,.
20250128 _164527,45685.698231875,1738082727.23453,00:00:00,25.01,25,24.99,25.01,25.01,25,25.01,24.67,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.03,12.61,10.69,11.18,11.37,10.29,10.31,36.71,.,.,.,.,.,.,.,.
20250128 _164528,45685.6982434838,1738082728.23788,00:00:00,25.01,25,25,25,25,25,25,25.3,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.99,12.64,10.61,11.23,11.59,10.17,10.5,-42.17,.,.,.,.,.,.,.,.
20250128 _164529,45685.6982551968,1738082729.24984,00:00:00,25,25,25.01,24.99,24.99,25.01,24.99,24.74,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.08,12.42,10.37,11.54,11.73,10.02,10.73,11.83,.,.,.,.,.,.,.,.
20250128 _164530,45685.6982669329,1738082730.26304,00:00:00,24.99,25.01,25,24.99,25,25,24.99,25.2,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.32,14.2,12.2,11.59,11.53,10.21,10.78,-18.41,.,.,.,.,.,.,.,.
20250128 _164531,45685.6982786574,1738082731.27659,00:00:00,25,25,25,25,25.01,24.99,25,24.87,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.26,12.32,10.53,11.41,11.39,10.44,10.59,-16.52,.,.,.,.,.,.,.,.
20250128 _164532,45685.6982903819,1738082732.28902,00:00:00,25,25,24.99,25,25.01,25,25.01,25.24,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.17,14.47,10.67,11.29,11.35,10.48,10.46,-56.94,.,.,.,.,.,.,.,.
20250128 _164533,45685.6983019676,1738082733.29058,00:00:00,25.01,25,24.99,25,25,25,25.01,24.69,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.94,12.57,10.72,11.37,11.56,8.33,10.43,50.48,.,.,.,.,.,.,.,.
20250128 _164534,45685.6983136921,1738082734.30395,00:00:00,25.01,25,25,24.99,24.99,25.01,25,25.32,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11,12.6,10.51,11.61,11.83,8.23,10.63,-45.74,.,.,.,.,.,.,.,.
20250128 _164535,45685.6983254282,1738082735.31753,00:00:00,25,24.99,25.01,24.99,25,25,24.99,24.69,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,12.87,12.76,10.36,11.66,11.65,12.08,10.76,39.47,.,.,.,.,.,.,.,.
20250128 _164536,45685.6983371296,1738082736.32854,00:00:00,24.99,25,25,25,25.01,24.99,24.99,25.27,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,13.09,12.56,10.56,11.48,9.39,10.45,10.81,-22.41,.,.,.,.,.,.,.,.
