Today's Date:	28 January 2025	Date of Test:	28-Jan-25 4:55:06 PM
Filename:	Arbitrary file name 2025-01-28 16-55-06_543	Tester Channel:	3
Tester ID:	Maccor #4
Procedure:	E66_puls_1.5C_constSoC.000	Description:	pulsing around one SoC with 1.5C for 30s
SCap:	0.0 g
C Rate:	64.599998 A
Rec	Cycle P	Cycle C	Step	Test Time	Step Time	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	AUX1 [C]	
1	0	1	1	  0d 00:00:0	  0d 00:00:0	0	0	0	3.695	R	0	28-Jan-25 4:55:07 PM	26	
2	0	1	1	  0d 00:00:10	  0d 00:00:10	0	0	0	3.695	R	1	28-Jan-25 4:55:17 PM	26	
3	0	1	1	  0d 00:00:20	  0d 00:00:20	0	0	0	3.695	R	1	28-Jan-25 4:55:27 PM	26	
4	0	1	1	  0d 00:00:30	  0d 00:00:30	0	0	0	3.695	R	1	28-Jan-25 4:55:37 PM	26	
5	0	1	1	  0d 00:00:40	  0d 00:00:40	0	0	0	3.695	R	1	28-Jan-25 4:55:47 PM	26	
6	0	1	1	  0d 00:00:50	  0d 00:00:50	0	0	0	3.695	R	1	28-Jan-25 4:55:57 PM	26	
7	0	1	1	  0d 00:01:0	  0d 00:01:0	0	0	0	3.696	R	1	28-Jan-25 4:56:07 PM	26	
8	0	1	1	  0d 00:01:10	  0d 00:01:10	0	0	0	3.695	R	1	28-Jan-25 4:56:17 PM	26	
9	0	1	1	  0d 00:01:20	  0d 00:01:20	0	0	0	3.695	R	1	28-Jan-25 4:56:27 PM	26	
10	0	1	1	  0d 00:01:30	  0d 00:01:30	0	0	0	3.695	R	1	28-Jan-25 4:56:37 PM	26	
11	0	1	1	  0d 00:01:40	  0d 00:01:40	0	0	0	3.695	R	1	28-Jan-25 4:56:47 PM	26	
12	0	1	1	  0d 00:01:50	  0d 00:01:50	0	0	0	3.696	R	1	28-Jan-25 4:56:57 PM	26	
13	0	1	1	  0d 00:02:0	  0d 00:02:0	0	0	0	3.695	R	1	28-Jan-25 4:57:07 PM	26	
14	0	1	1	  0d 00:02:10	  0d 00:02:10	0	0	0	3.695	R	1	28-Jan-25 4:57:17 PM	26	
15	0	1	1	  0d 00:02:20	  0d 00:02:20	0	0	0	3.695	R	1	28-Jan-25 4:57:27 PM	26	
16	0	1	1	  0d 00:02:30	  0d 00:02:30	0	0	0	3.695	R	1	28-Jan-25 4:57:37 PM	26	
17	0	1	1	  0d 00:02:40	  0d 00:02:40	0	0	0	3.694	R	1	28-Jan-25 4:57:47 PM	26	
18	0	1	1	  0d 00:02:50	  0d 00:02:50	0	0	0	3.695	R	1	28-Jan-25 4:57:57 PM	26	
19	0	1	1	  0d 00:03:0	  0d 00:03:0	0	0	0	3.695	R	1	28-Jan-25 4:58:07 PM	26	
20	0	1	1	  0d 00:03:10	  0d 00:03:10	0	0	0	3.695	R	1	28-Jan-25 4:58:17 PM	26	
21	0	1	1	  0d 00:03:20	  0d 00:03:20	0	0	0	3.696	R	1	28-Jan-25 4:58:27 PM	26	
22	0	1	1	  0d 00:03:30	  0d 00:03:30	0	0	0	3.694	R	1	28-Jan-25 4:58:37 PM	26	
23	0	1	1	  0d 00:03:40	  0d 00:03:40	0	0	0	3.695	R	1	28-Jan-25 4:58:47 PM	26	
24	0	1	1	  0d 00:03:50	  0d 00:03:50	0	0	0	3.695	R	1	28-Jan-25 4:58:57 PM	26	
25	0	1	1	  0d 00:04:0	  0d 00:04:0	0	0	0	3.695	R	1	28-Jan-25 4:59:07 PM	26	
26	0	1	1	  0d 00:04:10	  0d 00:04:10	0	0	0	3.696	R	1	28-Jan-25 4:59:17 PM	26	
27	0	1	1	  0d 00:04:20	  0d 00:04:20	0	0	0	3.695	R	1	28-Jan-25 4:59:27 PM	26	
28	0	1	1	  0d 00:04:30	  0d 00:04:30	0	0	0	3.696	R	1	28-Jan-25 4:59:37 PM	26	
29	0	1	1	  0d 00:04:40	  0d 00:04:40	0	0	0	3.695	R	1	28-Jan-25 4:59:47 PM	26	
30	0	1	1	  0d 00:04:50	  0d 00:04:50	0	0	0	3.694	R	1	28-Jan-25 4:59:57 PM	26	
31	0	1	1	  0d 00:05:0	  0d 00:05:0	0	0	0	3.695	R	129	28-Jan-25 5:00:07 PM	26	
32	1	1	4	  0d 00:05:0	  0d 00:00:0	0.001	0.002	97.065	3.504	D	0	28-Jan-25 5:00:07 PM	26	
33	1	1	4	  0d 00:05:5	  0d 00:00:5	0.135	0.471	96.899	3.475	D	1	28-Jan-25 5:00:12 PM	26	
34	1	1	4	  0d 00:05:10	  0d 00:00:10	0.27	0.938	96.893	3.461	D	1	28-Jan-25 5:00:17 PM	26	
35	1	1	4	  0d 00:05:15	  0d 00:00:15	0.404	1.403	96.89	3.452	D	1	28-Jan-25 5:00:22 PM	27	
36	1	1	4	  0d 00:05:20	  0d 00:00:20	0.539	1.867	96.893	3.445	D	1	28-Jan-25 5:00:27 PM	27	
37	1	1	4	  0d 00:05:25	  0d 00:00:25	0.674	2.33	96.896	3.437	D	1	28-Jan-25 5:00:32 PM	27	
38	1	1	4	  0d 00:05:30	  0d 00:00:30	0.807	2.788	96.89	3.431	D	129	28-Jan-25 5:00:37 PM	27	
39	1	1	5	  0d 00:05:30	  0d 00:00:0	0.001	0.004	96.996	3.826	C	0	28-Jan-25 5:00:37 PM	27	
40	1	1	5	  0d 00:05:35	  0d 00:00:5	0.136	0.522	96.905	3.865	C	1	28-Jan-25 5:00:42 PM	27	
41	1	1	5	  0d 00:05:40	  0d 00:00:10	0.27	1.043	96.89	3.884	C	1	28-Jan-25 5:00:47 PM	28	
42	1	1	5	  0d 00:05:45	  0d 00:00:15	0.405	1.567	96.893	3.897	C	1	28-Jan-25 5:00:52 PM	28	
43	1	1	5	  0d 00:05:50	  0d 00:00:20	0.539	2.092	96.902	3.908	C	1	28-Jan-25 5:00:57 PM	28	
44	1	1	5	  0d 00:05:55	  0d 00:00:25	0.674	2.619	96.89	3.918	C	1	28-Jan-25 5:01:02 PM	29	
45	1	1	5	  0d 00:06:0	  0d 00:00:30	0.807	3.14	96.905	3.927	C	129	28-Jan-25 5:01:07 PM	29	
46	2	2	4	  0d 00:06:0	  0d 00:00:0	0.001	0.003	96.987	3.537	D	0	28-Jan-25 5:01:07 PM	29	
47	2	2	4	  0d 00:06:5	  0d 00:00:5	0.136	0.476	96.887	3.497	D	1	28-Jan-25 5:01:12 PM	29	
48	2	2	4	  0d 00:06:10	  0d 00:00:10	0.27	0.945	96.902	3.481	D	1	28-Jan-25 5:01:17 PM	29	
49	2	2	4	  0d 00:06:15	  0d 00:00:15	0.405	1.413	96.915	3.468	D	1	28-Jan-25 5:01:22 PM	29	
50	2	2	4	  0d 00:06:20	  0d 00:00:20	0.539	1.879	96.905	3.458	D	1	28-Jan-25 5:01:27 PM	28	
51	2	2	4	  0d 00:06:25	  0d 00:00:25	0.674	2.343	96.89	3.449	D	1	28-Jan-25 5:01:32 PM	28	
52	2	2	4	  0d 00:06:30	  0d 00:00:30	0.807	2.801	96.896	3.44	D	129	28-Jan-25 5:01:37 PM	28	
53	2	2	5	  0d 00:06:30	  0d 00:00:0	0.001	0.004	96.996	3.832	C	0	28-Jan-25 5:01:37 PM	28	
54	2	2	5	  0d 00:06:35	  0d 00:00:5	0.136	0.523	96.896	3.872	C	1	28-Jan-25 5:01:42 PM	28	
55	2	2	5	  0d 00:06:40	  0d 00:00:10	0.27	1.045	96.905	3.889	C	1	28-Jan-25 5:01:47 PM	29	
56	2	2	5	  0d 00:06:45	  0d 00:00:15	0.405	1.569	96.912	3.9	C	1	28-Jan-25 5:01:52 PM	29	
57	2	2	5	  0d 00:06:50	  0d 00:00:20	0.539	2.095	96.899	3.911	C	1	28-Jan-25 5:01:57 PM	29	
58	2	2	5	  0d 00:06:55	  0d 00:00:25	0.674	2.622	96.896	3.92	C	1	28-Jan-25 5:02:02 PM	29	
59	2	2	5	  0d 00:07:0	  0d 00:00:30	0.807	3.144	96.918	3.928	C	129	28-Jan-25 5:02:07 PM	29	
60	3	3	4	  0d 00:07:0	  0d 00:00:0	0.001	0.003	96.993	3.54	D	0	28-Jan-25 5:02:07 PM	29	
61	3	3	4	  0d 00:07:5	  0d 00:00:5	0.136	0.476	96.877	3.502	D	1	28-Jan-25 5:02:12 PM	29	
62	3	3	4	  0d 00:07:10	  0d 00:00:10	0.27	0.946	96.905	3.485	D	1	28-Jan-25 5:02:17 PM	29	
63	3	3	4	  0d 00:07:15	  0d 00:00:15	0.405	1.414	96.896	3.471	D	1	28-Jan-25 5:02:22 PM	29	
64	3	3	4	  0d 00:07:20	  0d 00:00:20	0.539	1.881	96.899	3.462	D	1	28-Jan-25 5:02:27 PM	29	
65	3	3	4	  0d 00:07:25	  0d 00:00:25	0.674	2.346	96.893	3.454	D	1	28-Jan-25 5:02:32 PM	29	
66	3	3	4	  0d 00:07:30	  0d 00:00:30	0.807	2.805	96.896	3.448	D	129	28-Jan-25 5:02:37 PM	29	
67	3	3	5	  0d 00:07:30	  0d 00:00:0	0.001	0.004	96.977	3.833	C	0	28-Jan-25 5:02:37 PM	29	
68	3	3	5	  0d 00:07:35	  0d 00:00:5	0.136	0.523	96.896	3.873	C	1	28-Jan-25 5:02:42 PM	29	
69	3	3	5	  0d 00:07:40	  0d 00:00:10	0.27	1.045	96.883	3.887	C	1	28-Jan-25 5:02:47 PM	29	
70	3	3	5	  0d 00:07:45	  0d 00:00:15	0.405	1.57	96.905	3.901	C	1	28-Jan-25 5:02:52 PM	29	
71	3	3	5	  0d 00:07:50	  0d 00:00:20	0.539	2.095	96.905	3.911	C	1	28-Jan-25 5:02:57 PM	29	
72	3	3	5	  0d 00:07:55	  0d 00:00:25	0.674	2.622	96.915	3.922	C	1	28-Jan-25 5:03:02 PM	29	
73	3	3	5	  0d 00:08:0	  0d 00:00:30	0.807	3.144	96.89	3.929	C	129	28-Jan-25 5:03:07 PM	29	
74	4	4	4	  0d 00:08:0	  0d 00:00:0	0.001	0.003	96.996	3.541	D	0	28-Jan-25 5:03:07 PM	29	
75	4	4	4	  0d 00:08:5	  0d 00:00:5	0.136	0.477	96.89	3.503	D	1	28-Jan-25 5:03:12 PM	30	
76	4	4	4	  0d 00:08:10	  0d 00:00:10	0.27	0.947	96.893	3.487	D	1	28-Jan-25 5:03:17 PM	29	
