Today's Date:	18 February 2025	Date of Test:	17-Feb-25 5:28:27 PM
Filename:	Arbitrary file name 2025-02-17 17-28-27_285	Tester Channel:	3
Tester ID:	Maccor #4
Procedure:	E66_puls_2.25C_constSoC.000	Description:	pulsing around one SoC with 2.25C for 30s
SCap:	0.0 g
C Rate:	64.599998 A
Rec	Cycle P	Cycle C	Step	Test Time	Step Time	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	AUX1 [C]	
1	0	1	1	  0d 00:00:0	  0d 00:00:0	0	0	0	3.685	R	0	17-Feb-25 5:28:27 PM	26	
2	0	1	1	  0d 00:00:10	  0d 00:00:10	0	0	0	3.684	R	1	17-Feb-25 5:28:37 PM	26	
3	0	1	1	  0d 00:00:20	  0d 00:00:20	0	0	0	3.684	R	1	17-Feb-25 5:28:47 PM	26	
4	0	1	1	  0d 00:00:30	  0d 00:00:30	0	0	0	3.684	R	1	17-Feb-25 5:28:57 PM	26	
5	0	1	1	  0d 00:00:40	  0d 00:00:40	0	0	0	3.684	R	1	17-Feb-25 5:29:07 PM	26	
6	0	1	1	  0d 00:00:50	  0d 00:00:50	0	0	0	3.685	R	1	17-Feb-25 5:29:17 PM	26	
7	0	1	1	  0d 00:01:0	  0d 00:01:0	0	0	0	3.685	R	1	17-Feb-25 5:29:27 PM	26	
8	0	1	1	  0d 00:01:10	  0d 00:01:10	0	0	0	3.685	R	1	17-Feb-25 5:29:37 PM	26	
9	0	1	1	  0d 00:01:20	  0d 00:01:20	0	0	0	3.685	R	1	17-Feb-25 5:29:47 PM	26	
10	0	1	1	  0d 00:01:30	  0d 00:01:30	0	0	0	3.684	R	1	17-Feb-25 5:29:57 PM	26	
11	0	1	1	  0d 00:01:40	  0d 00:01:40	0	0	0	3.685	R	1	17-Feb-25 5:30:07 PM	26	
12	0	1	1	  0d 00:01:50	  0d 00:01:50	0	0	0	3.684	R	1	17-Feb-25 5:30:17 PM	26	
13	0	1	1	  0d 00:02:0	  0d 00:02:0	0	0	0	3.686	R	1	17-Feb-25 5:30:27 PM	26	
14	0	1	1	  0d 00:02:10	  0d 00:02:10	0	0	0	3.685	R	1	17-Feb-25 5:30:37 PM	26	
15	0	1	1	  0d 00:02:20	  0d 00:02:20	0	0	0	3.684	R	1	17-Feb-25 5:30:47 PM	26	
16	0	1	1	  0d 00:02:30	  0d 00:02:30	0	0	0	3.685	R	1	17-Feb-25 5:30:57 PM	26	
17	0	1	1	  0d 00:02:40	  0d 00:02:40	0	0	0	3.684	R	1	17-Feb-25 5:31:07 PM	26	
18	0	1	1	  0d 00:02:50	  0d 00:02:50	0	0	0	3.684	R	1	17-Feb-25 5:31:17 PM	26	
19	0	1	1	  0d 00:03:0	  0d 00:03:0	0	0	0	3.685	R	1	17-Feb-25 5:31:27 PM	26	
20	0	1	1	  0d 00:03:10	  0d 00:03:10	0	0	0	3.684	R	1	17-Feb-25 5:31:37 PM	26	
21	0	1	1	  0d 00:03:20	  0d 00:03:20	0	0	0	3.684	R	1	17-Feb-25 5:31:47 PM	26	
22	0	1	1	  0d 00:03:30	  0d 00:03:30	0	0	0	3.684	R	1	17-Feb-25 5:31:57 PM	26	
23	0	1	1	  0d 00:03:40	  0d 00:03:40	0	0	0	3.684	R	1	17-Feb-25 5:32:07 PM	26	
24	0	1	1	  0d 00:03:50	  0d 00:03:50	0	0	0	3.685	R	1	17-Feb-25 5:32:17 PM	26	
25	0	1	1	  0d 00:04:0	  0d 00:04:0	0	0	0	3.684	R	1	17-Feb-25 5:32:27 PM	26	
26	0	1	1	  0d 00:04:10	  0d 00:04:10	0	0	0	3.684	R	1	17-Feb-25 5:32:37 PM	26	
27	0	1	1	  0d 00:04:20	  0d 00:04:20	0	0	0	3.685	R	1	17-Feb-25 5:32:47 PM	26	
28	0	1	1	  0d 00:04:30	  0d 00:04:30	0	0	0	3.685	R	1	17-Feb-25 5:32:57 PM	26	
29	0	1	1	  0d 00:04:40	  0d 00:04:40	0	0	0	3.685	R	1	17-Feb-25 5:33:07 PM	26	
30	0	1	1	  0d 00:04:50	  0d 00:04:50	0	0	0	3.684	R	1	17-Feb-25 5:33:17 PM	26	
31	0	1	1	  0d 00:05:0	  0d 00:05:0	0	0	0	3.683	R	129	17-Feb-25 5:33:27 PM	26	
32	1	1	4	  0d 00:05:0	  0d 00:00:0	0.001	0.003	145.56	3.41	D	0	17-Feb-25 5:33:27 PM	26	
33	1	1	4	  0d 00:05:5	  0d 00:00:5	0.203	0.686	145.338	3.371	D	1	17-Feb-25 5:33:32 PM	26	
34	1	1	4	  0d 00:05:10	  0d 00:00:10	0.405	1.365	145.36	3.356	D	1	17-Feb-25 5:33:37 PM	27	
35	1	1	4	  0d 00:05:15	  0d 00:00:15	0.607	2.042	145.357	3.345	D	1	17-Feb-25 5:33:42 PM	28	
36	1	1	4	  0d 00:05:20	  0d 00:00:20	0.809	2.716	145.338	3.334	D	1	17-Feb-25 5:33:47 PM	28	
37	1	1	4	  0d 00:05:25	  0d 00:00:25	1.01	3.388	145.332	3.323	D	1	17-Feb-25 5:33:52 PM	29	
38	1	1	4	  0d 00:05:30	  0d 00:00:30	1.21	4.052	145.347	3.318	D	129	17-Feb-25 5:33:57 PM	29	
39	1	1	5	  0d 00:05:30	  0d 00:00:0	0.001	0.006	145.447	3.859	C	0	17-Feb-25 5:33:57 PM	29	
40	1	1	5	  0d 00:05:35	  0d 00:00:5	0.203	0.792	145.341	3.92	C	1	17-Feb-25 5:34:02 PM	29	
41	1	1	5	  0d 00:05:40	  0d 00:00:10	0.405	1.587	145.347	3.947	C	1	17-Feb-25 5:34:07 PM	30	
42	1	1	5	  0d 00:05:45	  0d 00:00:15	0.607	2.385	145.325	3.968	C	1	17-Feb-25 5:34:12 PM	30	
43	1	1	5	  0d 00:05:50	  0d 00:00:20	0.809	3.188	145.325	3.983	C	1	17-Feb-25 5:34:17 PM	31	
44	1	1	5	  0d 00:05:55	  0d 00:00:25	1.011	3.993	145.335	3.997	C	1	17-Feb-25 5:34:22 PM	31	
45	1	1	5	  0d 00:06:0	  0d 00:00:30	1.21	4.792	145.344	4.009	C	129	17-Feb-25 5:34:27 PM	31	
46	2	2	4	  0d 00:06:0	  0d 00:00:0	0.001	0.005	145.45	3.464	D	0	17-Feb-25 5:34:28 PM	31	
47	2	2	4	  0d 00:06:5	  0d 00:00:5	0.203	0.697	145.341	3.407	D	1	17-Feb-25 5:34:33 PM	32	
48	2	2	4	  0d 00:06:10	  0d 00:00:10	0.405	1.382	145.36	3.385	D	1	17-Feb-25 5:34:38 PM	32	
49	2	2	4	  0d 00:06:15	  0d 00:00:15	0.607	2.064	145.344	3.367	D	1	17-Feb-25 5:34:43 PM	31	
50	2	2	4	  0d 00:06:20	  0d 00:00:20	0.809	2.742	145.344	3.353	D	1	17-Feb-25 5:34:48 PM	31	
