time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_C0,Current_temp_C1,Current_temp_C2,Current_temp_C3,Current_temp_C4,Current_temp_C5,Current_temp_C6,Current_temp_C7_Ableiterplus,Target_temp_C0,Target_temp_C1,Target_temp_C2,Target_temp_C3,Target_temp_C4,Target_temp_C5,Target_temp_C6,Target_temp_C7_Ableiterplus,kp_C0,kp_C1,kp_C2,kp_C3,kp_C4,kp_C5,kp_C6,kp_C7_Ableiterplus,ki_C0,ki_C1,ki_C2,ki_C3,ki_C4,ki_C5,ki_C6,ki_C7_Ableiterplus,kd_C0,kd_C1,kd_C2,kd_C3,kd_C4,kd_C5,kd_C6,kd_C7_Ableiterplus,Output_C0,Output_C1,Output_C2,Output_C3,Output_C4,Output_C5,Output_C6,Output_C7_Ableiterplus,BaSyTec Line.Loop_C0,BaSyTec Line.Loop_C1,BaSyTec Line.Loop_C2,BaSyTec Line.Loop_C3,BaSyTec Line.Loop_C4,BaSyTec Line.Loop_C5,BaSyTec Line.Loop_C6,BaSyTec Line.Loop_C7_Ableiterplus
20250328 _151305,45744.6340963426,1743174785.92468,00:00:00,25,24.99,25,25.01,24.99,25,25,25.09,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.68,11.14,11.23,10.9,11.09,10.97,11.46,-1.7,.,.,.,.,.,.,.,.
20250328 _151306,45744.634108044,1743174786.93554,00:00:00,25,25,25,25.01,25,25,25.01,24.96,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.66,11.08,11.14,10.85,11,10.75,9.97,21.78,.,.,.,.,.,.,.,.
20250328 _151307,45744.6341196991,1743174787.94229,00:00:00,25.01,25,25,25,25,25,25.01,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.5,10.98,11.13,11.05,11.01,10.72,12.67,19.31,.,.,.,.,.,.,.,.
20250328 _151308,45744.6341314699,1743174788.95943,00:00:00,25,25.01,25,24.99,24.99,25,25.01,25.05,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.57,10.72,11.12,11.32,11.13,10.93,11.3,-7.21,.,.,.,.,.,.,.,.
20250328 _151309,45744.6341430903,1743174789.96372,00:00:00,24.99,25,25.01,24.99,24.99,25,25,25.08,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,12.91,10.78,11,11.28,11.18,10.82,11.35,4.39,.,.,.,.,.,.,.,.
20250328 _151310,45744.634154838,1743174790.97855,00:00:00,24.99,25,25.01,25,25,25,25,25.1,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,11,10.87,9.31,11.2,9.28,10.82,11.42,-2,.,.,.,.,.,.,.,.
20250328 _151311,45744.6341665046,1743174791.98641,00:00:00,25,25,25,25,25.01,25,25,24.98,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.94,10.99,11.18,11.08,10.73,12.61,11.43,18.05,.,.,.,.,.,.,.,.
20250328 _151312,45744.6341781944,1743174792.99626,00:00:00,25,25,24.99,25,25,25,25,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.7,10.9,11.33,11.06,12.58,10.93,11.44,19.8,.,.,.,.,.,.,.,.
20250328 _151314,45744.6341898843,1743174794.00649,00:00:00,25,25,25,25,24.99,25,25,25.03,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.68,11.03,11.27,12.77,12.81,10.84,11.38,-4.74,.,.,.,.,.,.,.,.
20250328 _151315,45744.6342015394,1743174795.01387,00:00:00,25,24.99,25,25,24.99,25,25.01,25.1,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.66,11.17,11.28,11.02,11.14,12.64,11.3,-4.75,.,.,.,.,.,.,.,.
20250328 _151316,45744.634213287,1743174796.02875,00:00:00,25,25,25,25.01,25,25,25.01,24.98,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.65,10.98,11.3,10.89,10.93,10.98,11.29,20.37,.,.,.,.,.,.,.,.
20250328 _151317,45744.6342250231,1743174797.04276,00:00:00,25.01,25.01,25,25,25.01,25,25,25,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,10.5,10.74,11.32,11.08,10.8,10.99,11.41,15.3,.,.,.,.,.,.,.,.
20250328 _151318,45744.6342367708,1743174798.05763,00:00:00,25,25,25,24.99,25,25,24.99,24.9,25,25,25,25,25,25,25,25,28.8,25.8,25.2,26.4,25.8,26.4,15,92,8.64,7.74,7.812,8.184,7.998,8.448,3.375,167.4,24,21.5,20.32,21.29,20.81,20.62,16.67,13.1,12.52,10.8,11.23,11.34,10.87,11.02,11.48,20.88,.,.,.,.,.,.,.,.
