Today's Date:	01 April 2025	Date of Test:	28-Mar-25 3:14:29 PM
Filename:	Arbitrary file name 2025-03-28 15-14-29_156	Tester Channel:	3
Tester ID:	Maccor #4
Procedure:	E66_puls_2C_constSoC.000	Description:	pulsing around one SoC with 2C for 30s
SCap:	1.0 g
C Rate:	64.599998 A
Rec	Cycle P	Cycle C	Step	Test Time	Step Time	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	AUX1 [C]	
1	0	1	1	  0d 00:00:0	  0d 00:00:0	0	0	0	3.681	R	0	28-Mar-25 3:14:29 PM	26	
2	0	1	1	  0d 00:00:10	  0d 00:00:10	0	0	0	3.682	R	1	28-Mar-25 3:14:39 PM	26	
3	0	1	1	  0d 00:00:20	  0d 00:00:20	0	0	0	3.682	R	1	28-Mar-25 3:14:49 PM	26	
4	0	1	1	  0d 00:00:30	  0d 00:00:30	0	0	0	3.68	R	1	28-Mar-25 3:14:59 PM	26	
5	0	1	1	  0d 00:00:40	  0d 00:00:40	0	0	0	3.679	R	1	28-Mar-25 3:15:09 PM	26	
6	0	1	1	  0d 00:00:50	  0d 00:00:50	0	0	0	3.681	R	1	28-Mar-25 3:15:19 PM	26	
7	0	1	1	  0d 00:01:0	  0d 00:01:0	0	0	0	3.681	R	1	28-Mar-25 3:15:29 PM	26	
8	0	1	1	  0d 00:01:10	  0d 00:01:10	0	0	0	3.681	R	1	28-Mar-25 3:15:39 PM	26	
9	0	1	1	  0d 00:01:20	  0d 00:01:20	0	0	0	3.681	R	1	28-Mar-25 3:15:49 PM	26	
10	0	1	1	  0d 00:01:30	  0d 00:01:30	0	0	0	3.681	R	1	28-Mar-25 3:15:59 PM	26	
11	0	1	1	  0d 00:01:40	  0d 00:01:40	0	0	0	3.681	R	1	28-Mar-25 3:16:09 PM	26	
12	0	1	1	  0d 00:01:50	  0d 00:01:50	0	0	0	3.682	R	1	28-Mar-25 3:16:19 PM	26	
13	0	1	1	  0d 00:02:0	  0d 00:02:0	0	0	0	3.682	R	1	28-Mar-25 3:16:29 PM	26	
14	0	1	1	  0d 00:02:10	  0d 00:02:10	0	0	0	3.681	R	1	28-Mar-25 3:16:39 PM	26	
15	0	1	1	  0d 00:02:20	  0d 00:02:20	0	0	0	3.68	R	1	28-Mar-25 3:16:49 PM	26	
16	0	1	1	  0d 00:02:30	  0d 00:02:30	0	0	0	3.681	R	1	28-Mar-25 3:16:59 PM	26	
17	0	1	1	  0d 00:02:40	  0d 00:02:40	0	0	0	3.681	R	1	28-Mar-25 3:17:09 PM	26	
18	0	1	1	  0d 00:02:50	  0d 00:02:50	0	0	0	3.682	R	1	28-Mar-25 3:17:19 PM	26	
19	0	1	1	  0d 00:03:0	  0d 00:03:0	0	0	0	3.682	R	1	28-Mar-25 3:17:29 PM	26	
20	0	1	1	  0d 00:03:10	  0d 00:03:10	0	0	0	3.681	R	1	28-Mar-25 3:17:39 PM	26	
21	0	1	1	  0d 00:03:20	  0d 00:03:20	0	0	0	3.68	R	1	28-Mar-25 3:17:49 PM	26	
22	0	1	1	  0d 00:03:30	  0d 00:03:30	0	0	0	3.683	R	1	28-Mar-25 3:17:59 PM	26	
23	0	1	1	  0d 00:03:40	  0d 00:03:40	0	0	0	3.681	R	1	28-Mar-25 3:18:09 PM	26	
24	0	1	1	  0d 00:03:50	  0d 00:03:50	0	0	0	3.679	R	1	28-Mar-25 3:18:19 PM	26	
25	0	1	1	  0d 00:04:0	  0d 00:04:0	0	0	0	3.681	R	1	28-Mar-25 3:18:29 PM	26	
26	0	1	1	  0d 00:04:10	  0d 00:04:10	0	0	0	3.681	R	1	28-Mar-25 3:18:39 PM	26	
27	0	1	1	  0d 00:04:20	  0d 00:04:20	0	0	0	3.682	R	1	28-Mar-25 3:18:49 PM	26	
28	0	1	1	  0d 00:04:30	  0d 00:04:30	0	0	0	3.681	R	1	28-Mar-25 3:18:59 PM	26	
29	0	1	1	  0d 00:04:40	  0d 00:04:40	0	0	0	3.683	R	1	28-Mar-25 3:19:09 PM	26	
30	0	1	1	  0d 00:04:50	  0d 00:04:50	0	0	0	3.681	R	1	28-Mar-25 3:19:19 PM	26	
31	0	1	1	  0d 00:05:0	  0d 00:05:0	0	0	0	3.681	R	129	28-Mar-25 3:19:29 PM	26	
32	1	1	4	  0d 00:05:0	  0d 00:00:0	0.001	0.003	129.359	3.452	D	0	28-Mar-25 3:19:29 PM	26	
33	1	1	4	  0d 00:05:5	  0d 00:00:5	0.18	0.619	129.194	3.42	D	1	28-Mar-25 3:19:34 PM	26	
34	1	1	4	  0d 00:05:10	  0d 00:00:10	0.36	1.231	129.197	3.407	D	1	28-Mar-25 3:19:39 PM	27	
35	1	1	4	  0d 00:05:15	  0d 00:00:15	0.539	1.842	129.178	3.399	D	1	28-Mar-25 3:19:44 PM	27	
36	1	1	4	  0d 00:05:20	  0d 00:00:20	0.719	2.451	129.191	3.39	D	1	28-Mar-25 3:19:49 PM	28	
37	1	1	4	  0d 00:05:25	  0d 00:00:25	0.898	3.059	129.194	3.382	D	1	28-Mar-25 3:19:54 PM	28	
38	1	1	4	  0d 00:05:30	  0d 00:00:30	1.076	3.659	129.187	3.374	D	129	28-Mar-25 3:19:59 PM	28	
39	1	1	5	  0d 00:05:30	  0d 00:00:0	0.001	0.004	129.287	3.832	C	0	28-Mar-25 3:19:59 PM	28	
40	1	1	5	  0d 00:05:35	  0d 00:00:5	0.18	0.696	129.237	3.878	C	1	28-Mar-25 3:20:04 PM	28	
41	1	1	5	  0d 00:05:40	  0d 00:00:10	0.36	1.394	129.206	3.899	C	1	28-Mar-25 3:20:09 PM	29	
42	1	1	5	  0d 00:05:45	  0d 00:00:15	0.539	2.095	129.209	3.914	C	1	28-Mar-25 3:20:14 PM	29	
