time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_A0,Current_temp_A1,Current_temp_A2,Current_temp_A3,Current_temp_A4,Current_temp_A5,Current_temp_A6,Current_temp_A7/A2,Target_temp_A0,Target_temp_A1,Target_temp_A2,Target_temp_A3,Target_temp_A4,Target_temp_A5,Target_temp_A6,Target_temp_A7/A2,kp_A0,kp_A1,kp_A2,kp_A3,kp_A4,kp_A5,kp_A6,kp_A7/A2,ki_A0,ki_A1,ki_A2,ki_A3,ki_A4,ki_A5,ki_A6,ki_A7/A2,kd_A0,kd_A1,kd_A2,kd_A3,kd_A4,kd_A5,kd_A6,kd_A7/A2,Output_A0,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Output_A7/A2,BaSyTec Line.Loop_A0,BaSyTec Line.Loop_A1,BaSyTec Line.Loop_A2,BaSyTec Line.Loop_A3,BaSyTec Line.Loop_A4,BaSyTec Line.Loop_A5,BaSyTec Line.Loop_A6,BaSyTec Line.Loop_A7/A2
20250210 _143918,45698.6106278704,1739198358.24899,00:00:00,25,25.07,25,24.98,24.99,25.01,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.92,0,11.04,10.58,11.82,11.17,10.59,9.86,.,.,.,.,.,.,.,.
20250210 _143919,45698.6106394907,1739198359.25288,00:00:00,24.99,25.08,25,25.01,25,25,25,25.01,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.05,0,11.13,7.44,11.59,11.47,10.42,9.61,.,.,.,.,.,.,.,.
20250210 _143920,45698.6106512037,1739198360.2648,00:00:00,25,25.07,25,25.02,25,24.99,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,9.32,0,11.01,9.32,9.46,11.61,10.52,11.37,.,.,.,.,.,.,.,.
20250210 _143921,45698.6106628935,1739198361.27441,00:00:00,25,25.07,25.01,25,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.86,0,10.87,9.96,11.55,11.55,10.66,9.89,.,.,.,.,.,.,.,.
20250210 _143922,45698.6106745718,1739198362.28391,00:00:00,25,25.07,25,24.98,25,25,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.84,0,11.18,10.67,11.4,11.35,10.69,9.93,.,.,.,.,.,.,.,.
20250210 _143923,45698.6106862963,1739198363.29649,00:00:00,24.99,25.08,24.99,25,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.09,0,11.45,7.74,11.49,11.32,10.42,9.72,.,.,.,.,.,.,.,.
20250210 _143924,45698.6106981829,1739198364.32316,00:00:00,25,25.07,25,25.02,25,25,25.01,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,11.02,0,11.18,9.24,11.62,11.52,10.21,9.81,.,.,.,.,.,.,.,.
20250210 _143925,45698.610709919,1739198365.33713,00:00:00,25.01,25.07,25.01,25,24.99,24.99,25,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,9.13,0,10.93,9.99,11.79,11.67,12.67,9.94,.,.,.,.,.,.,.,.
20250210 _143926,45698.6107216204,1739198366.34856,00:00:00,25.01,25.06,25,24.98,25,24.99,24.99,24.99,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.73,0,11.11,10.69,11.72,11.73,13.03,11.84,.,.,.,.,.,.,.,.
20250210 _143927,45698.6107332407,1739198367.35243,00:00:00,25,25.07,24.99,25,25,25,25,25,25,25,25,25,25,25,25,25,27.6,0,26.4,34.2,29.4,25.2,33,27,9.384,0,7.656,10.94,8.82,7.56,10.56,8.64,20.29,0,22.76,26.85,24.5,22.76,25.78,21.09,10.93,0,11.36,7.76,11.61,11.66,10.71,9.8,.,.,.,.,.,.,.,.
