time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Ch8,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Ch8,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Ch8,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Ch8,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Ch8,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Ch8,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Ch8
20250210 _143915,45698.6105934491,1739198355.27492,00:00:00,25,25,24.99,25,25,25,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.11,6.35,7.93,6.02,8.07,-2.52,8.21,0,.,.,.,.,.,.,.,.
20250210 _143916,45698.6106051505,1739198356.28511,00:00:00,25.01,24.99,25.01,25,25,25.22,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7,6.75,7.72,6.02,8.07,0.63,8.36,0,.,.,.,.,.,.,.,.
20250210 _143917,45698.610616875,1739198357.29801,00:00:00,25.01,24.99,25.01,25,25,24.95,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,6.97,6.65,7.67,5.92,8,17.26,8.07,0,.,.,.,.,.,.,.,.
20250210 _143918,45698.6106285764,1739198358.30987,00:00:00,25,25.02,25,25,25.01,24.77,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,8.37,6.19,7.81,5.91,7.02,16.03,6.17,0,.,.,.,.,.,.,.,.
20250210 _143919,45698.6106402083,1739198359.31453,00:00:00,24.99,25.01,24.99,25,25,25,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,8.61,6.18,6.79,5.98,7.07,-0.27,9.72,0,.,.,.,.,.,.,.,.
20250210 _143920,45698.6106519329,1739198360.32745,00:00:00,24.99,24.99,25,25,25,25.23,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.33,6.72,6.67,5.97,8.02,0.49,10.06,0,.,.,.,.,.,.,.,.
20250210 _143921,45698.6106636111,1739198361.33616,00:00:00,25.01,24.99,25.01,25,25,24.96,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,5.77,5.41,7.69,5.97,8.02,16.53,8.14,0,.,.,.,.,.,.,.,.
20250210 _143922,45698.6106752778,1739198362.34492,00:00:00,25.01,25.02,25,25,25,24.78,25.01,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7,6.16,7.82,5.88,8.01,12.45,7.88,0,.,.,.,.,.,.,.,.
20250210 _143923,45698.6106870139,1739198363.35882,00:00:00,25,25.01,24.99,25,25,24.99,25,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.13,7.48,7.99,5.95,8.08,-0.59,8.05,0,.,.,.,.,.,.,.,.
20250210 _143924,45698.6106987037,1739198364.36863,00:00:00,24.99,24.99,24.99,25,25,25.23,24.99,NaN,25,25,25,25,25,25,25,0,18,21,18,18,15,30,24.6,0,5.22,7.35,5.88,6.3,5.125,9.75,7.503,0,15.52,15,13.78,12.86,10.98,23.08,20.16,0,7.38,6.73,7.97,6.04,7.21,0.52,8.41,0,.,.,.,.,.,.,.,.
