"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1739198366","-6171.76","-5945.17","-5616.35","-5496.94","-5168.62","-3872.41","-7407.67","-6804.17","-5966.28","-4978.92","-4696.10","-2886.95","-4626.96","-5701.93","-3807.84","-3602.21"
"1739198367","-6078.03","-5997.12","-5609.39","-5703.72","-5329.40","-3740.19","-7401.85","-6717.15","-5768.84","-5071.31","-4581.06","-2844.33","-4643.80","-5744.40","-3812.61","-3729.76"
"1739198368","-6123.09","-6137.59","-5565.19","-5631.65","-5297.16","-3726.68","-7435.38","-6736.52","-5865.40","-5188.29","-4571.08","-2808.57","-4658.10","-5801.62","-3787.28","-3734.83"
"1739198369","-6240.61","-6107.69","-5577.65","-5430.43","-5169.96","-3848.08","-7418.25","-6636.23","-6051.96","-5245.66","-4665.40","-2832.41","-4670.47","-5819.80","-3805.46","-3689.97"
"1739198370","-6238.82","-6079.23","-5574.82","-5404.80","-5080.25","-3935.10","-7413.03","-6654.86","-6022.30","-5184.11","-4826.34","-2850.59","-4636.35","-5736.50","-3950.89","-3627.99"
"1739198371","-6103.71","-6106.10","-5559.23","-5535.78","-5134.05","-3889.90","-7425.55","-6642.04","-5773.60","-5019.01","-4747.36","-2837.33","-4638.88","-5695.82","-3963.11","-3665.69"
"1739198372","-6085.78","-6081.76","-5584.21","-5650.37","-5280.82","-3728.27","-7421.08","-6605.98","-5877.17","-4992.34","-4595.67","-2847.91","-4667.49","-5777.18","-3831.09","-3729.46"
"1739198373","-6200.37","-6089.21","-5569.01","-5646.50","-5352.80","-3653.02","-7413.33","-6710.89","-6121.10","-5116.31","-4588.66","-2861.77","-4672.41","-5833.36","-3798.75","-3723.80"
"1739198374","-6279.85","-6076.89","-5543.43","-5488.00","-5245.41","-3750.62","-7406.67","-6718.49","-5980.88","-5221.81","-4691.03","-2748.82","-4631.28","-5815.63","-3850.46","-3583.58"
"1739198375","-6181.75","-6065.07","-5558.88","-5425.96","-5063.56","-3884.14","-7400.36","-6701.35","-5740.23","-5211.53","-4810.39","-2643.47","-4583.30","-5748.27","-3836.45","-3489.26"
"1739198376","-6075.60","-6095.27","-5540.55","-5573.93","-5071.46","-3908.48","-7495.48","-6584.97","-5808.03","-5096.64","-4820.23","-2677.59","-4619.06","-5723.54","-3801.88","-3530.23"
"1739198377","-6151.05","-6284.27","-5570.35","-5652.01","-5253.70","-3849.12","-7656.37","-6442.37","-6061.05","-4972.52","-4648.12","-2818.26","-4669.43","-5768.69","-3797.11","-3683.42"
"1739198378","-6262.51","-6279.65","-5687.92","-5605.82","-5387.07","-3754.20","-7667.09","-6612.24","-6047.79","-5016.92","-4574.95","-2840.01","-4647.37","-5739.93","-3793.84","-3762.99"
"1739198379","-6251.73","-6051.26","-5705.06","-5483.73","-5321.70","-3700.85","-7542.57","-6737.41","-5781.65","-5172.04","-4618.76","-2817.06","-4628.15","-5689.56","-3836.01","-3709.50"
"1739198380","-6124.97","-5997.42","-5568.12","-5449.06","-5121.98","-3798.45","-7457.44","-6701.80","-5901.01","-5186.95","-4741.25","-2839.42","-4625.47","-5840.96","-3965.35","-3691.91"
"1739198381","-6079.82","-6134.81","-5513.28","-5558.73","-5030.04","-3907.83","-7463.99","-6697.48","-6153.58","-5105.44","-4847.35","-2854.76","-4643.80","-5986.99","-3954.17","-3727.67"
"1739198382","-6233.85","-6133.81","-5543.43","-5645.16","-5118.85","-3921.29","-7482.97","-6710.89","-6092.79","-5007.68","-4788.49","-2855.66","-4658.85","-5939.30","-3835.86","-3741.68"
"1739198383","-6305.58","-6015.15","-5559.77","-5586.59","-5307.05","-3830.49","-7459.52","-6687.49","-5783.89","-5002.62","-4599.24","-2852.98","-4648.27","-5667.81","-3782.21","-3638.42"
"1739198384","-6229.58","-6044.01","-5524.75","-5527.04","-5387.37","-3703.34","-7461.71","-6717.44","-5851.84","-5137.03","-4565.27","-2856.85","-4632.03","-5530.71","-3834.81","-3518.02"
"1739198385","-6123.19","-6217.06","-5535.93","-5565.58","-5253.26","-3726.63","-7476.36","-6756.34","-6126.61","-5211.23","-4637.69","-2785.33","-4617.87","-5749.61","-3822.45","-3632.61"
"1739198386","-6108.28","-6259.38","-5667.21","-5610.44","-5078.46","-3834.96","-7465.93","-6707.61","-5987.29","-5186.65","-4738.27","-2750.16","-4618.61","-5958.83","-3797.86","-3760.31"
"1739198387","-6234.45","-6091.00","-5690.36","-5621.41","-5033.91","-3911.26","-7447.20","-6691.22","-5787.01","-5081.30","-4816.06","-2803.06","-4615.78","-5821.29","-3805.61","-3721.42"
"1739198388","-6288.29","-6018.73","-5562.31","-5561.56","-5206.91","-3865.06","-7446.26","-6716.25","-5886.55","-5002.92","-4715.32","-2835.69","-4611.91","-5678.53","-3808.74","-3683.27"
"1739198389","-6241.20","-6098.25","-5515.91","-5429.39","-5370.97","-3728.87","-7470.45","-6766.77","-6120.80","-4993.23","-4590.75","-2847.91","-4641.71","-5645.75","-3877.58","-3676.27"
"1739198390","-6171.46","-6250.44","-5589.87","-5457.10","-5328.95","-3718.14","-7500.50","-6712.82","-6074.16","-5118.85","-4578.83","-2845.97","-4633.37","-5721.90","-3965.80","-3691.76"
"1739198391","-6140.02","-6245.82","-5698.95","-5659.31","-5175.47","-3824.68","-7498.26","-6612.39","-5830.82","-5214.07","-4705.04","-2836.73","-4645.29","-5735.75","-3867.45","-3731.55"
"1739198392","-6215.47","-6046.49","-5659.36","-5757.31","-5051.39","-3912.25","-7478.20","-6689.58","-5951.08","-5183.82","-4812.18","-2823.62","-4689.99","-5709.08","-3792.35","-3697.57"
"1739198393","-6282.33","-6049.13","-5532.50","-5537.42","-5127.79","-3869.98","-7461.61","-6776.01","-6161.63","-5039.57","-4713.39","-2692.49","-4675.69","-5697.46","-3828.41","-3576.13"
"1739198394","-6273.24","-6109.77","-5515.96","-5406.89","-5277.10","-3749.88","-7451.33","-6712.08","-6063.73","-4997.85","-4587.62","-2729.30","-4623.09","-5720.85","-3832.43","-3599.38"
"1739198395","-6195.90","-6077.39","-5598.57","-5537.17","-5317.83","-3679.10","-7453.46","-6662.91","-5885.66","-5029.14","-4589.86","-2844.93","-4629.19","-5818.31","-3808.44","-3710.39"
"1739198396","-6099.79","-6160.29","-5731.14","-5665.27","-5195.59","-3752.56","-7454.60","-6713.12","-5885.81","-5117.80","-4628.90","-2886.35","-4641.12","-5940.94","-3797.86","-3762.10"
"1739198397","-6186.27","-6288.49","-5637.01","-5622.51","-5084.67","-3875.49","-7467.67","-6786.58","-6122.29","-5196.93","-4769.71","-2855.51","-4649.16","-5862.41","-3817.53","-3715.46"
"1739198398","-6288.59","-6164.76","-5534.44","-5609.54","-5120.78","-3899.48","-7458.18","-6729.66","-6124.68","-5125.25","-4832.45","-2854.91","-4649.91","-5708.78","-3813.95","-3571.06"
"1739198399","-6269.22","-6062.98","-5532.80","-5620.42","-5231.05","-3870.43","-7467.42","-6690.03","-5860.78","-5003.21","-4681.65","-2887.55","-4631.88","-5616.25","-3826.47","-3577.32"
"1739198400","-6246.47","-6076.59","-5566.68","-5639.20","-5356.87","-3777.34","-7448.99","-6777.35","-5915.91","-5007.83","-4592.54","-2878.31","-4587.02","-5720.85","-3888.01","-3719.93"
"1739198401","-6217.51","-6107.54","-5698.06","-5533.10","-5295.72","-3713.82","-7476.96","-6816.69","-6139.28","-5118.85","-4615.49","-2760.29","-4599.69","-5748.27","-3936.89","-3744.66"
"1739198402","-6173.10","-6101.88","-5710.27","-5508.66","-5146.86","-3754.94","-7496.92","-6742.03","-6187.71","-5205.72","-4653.04","-2665.22","-4620.70","-5735.46","-3890.54","-3726.63"
"1739198403","-6080.67","-6065.96","-5560.02","-5633.23","-5041.46","-3888.21","-7499.36","-6471.43","-5960.32","-5220.47","-4687.76","-2688.17","-4634.56","-5722.05","-3806.05","-3724.40"
"1739198404","-6176.53","-6059.26","-5513.13","-5673.32","-5152.23","-3934.20","-7492.90","-6501.38","-5883.13","-5079.06","-4774.48","-2848.95","-4592.54","-5711.62","-3822.74","-3684.46"
"1739198405","-6287.00","-6170.67","-5573.83","-5634.03","-5330.54","-3796.62","-7481.67","-6876.14","-6136.45","-5016.77","-4714.28","-2885.31","-4651.99","-5708.78","-3848.82","-3580.90"
"1739198406","-6257.89","-6328.37","-5586.00","-5512.83","-5325.38","-3676.41","-7478.30","-7057.49","-6165.65","-5054.18","-4605.35","-2817.66","-4643.65","-5728.30","-3824.38","-3640.95"
"1739198407","-6252.97","-6255.51","-5668.85","-5502.10","-5206.47","-3703.68","-7484.41","-6774.37","-5906.37","-5175.02","-4598.20","-2841.95","-4635.16","-5900.11","-3802.78","-3765.97"
"1739198408","-6158.15","-6082.06","-5682.91","-5643.37","-5067.09","-3833.97","-7487.04","-6538.33","-5874.93","-5246.70","-4637.84","-2872.05","-4650.95","-5956.89","-3800.09","-3759.86"
"1739198409","-6145.39","-6117.22","-5553.66","-5711.02","-5108.57","-3931.22","-7486.34","-6497.65","-6070.88","-5161.91","-4737.08","-2878.46","-4664.81","-5824.86","-3808.59","-3706.37"
"1739198410","-6239.41","-6163.42","-5547.85","-5618.78","-5237.91","-3920.20","-7481.43","-6749.63","-6181.00","-5008.43","-4828.13","-2906.17","-4640.97","-5625.64","-3852.70","-3576.43"
"1739198411","-6296.83","-6129.15","-5577.70","-5513.83","-5312.76","-3778.44","-7486.05","-6837.99","-5976.86","-4995.76","-4693.87","-2803.65","-4584.04","-5596.58","-3835.26","-3619.64"
"1739198412","-6138.98","-6127.80","-5606.26","-5635.47","-5227.48","-3672.24","-7491.56","-6781.97","-5933.79","-5033.31","-4619.36","-2665.67","-4610.27","-5742.61","-3812.16","-3786.39"
"1739198413","-6070.24","-6130.54","-5607.51","-5738.44","-5098.18","-3765.03","-7499.75","-6803.42","-6150.31","-5141.50","-4635.30","-2731.83","-4622.79","-5809.66","-3821.70","-3768.21"
"1739198414","-6164.76","-6156.71","-5589.57","-5640.54","-5104.39","-3896.50","-7505.86","-6847.68","-6217.36","-5226.43","-4646.18","-2864.60","-4622.34","-5767.35","-3872.51","-3676.12"
"1739198415","-6285.76","-6178.02","-5581.83","-5529.52","-5210.04","-3931.37","-7490.37","-6847.68","-5999.06","-5199.31","-4700.42","-2896.93","-4642.31","-5715.94","-3885.03","-3581.20"
"1739198416","-6281.14","-6129.94","-5577.50","-5519.79","-5270.24","-3831.88","-7487.83","-6710.29","-5919.19","-5040.02","-4778.21","-2874.58","-4643.05","-5760.94","-3825.28","-3633.65"
"1739198417","-6127.36","-6114.69","-5573.03","-5657.97","-5224.05","-3708.60","-7475.17","-6514.94","-6110.37","-4980.86","-4677.03","-2751.35","-4653.33","-5779.12","-3817.53","-3750.47"
"1739198418","-6091.00","-6140.02","-5571.84","-5754.08","-5194.25","-3707.56","-7477.40","-6697.03","-6133.17","-5040.02","-4625.47","-2694.73","-4676.13","-5740.97","-3836.60","-3780.57"
"1739198419","-6141.07","-6055.83","-5589.33","-5660.95","-5196.33","-3756.58","-7474.62","-6871.82","-5912.48","-5159.97","-4643.80","-2809.17","-4625.32","-5727.56","-3829.30","-3669.41"
"1739198420","-6232.26","-6063.28","-5598.22","-5516.56","-5224.20","-3881.01","-7487.68","-6861.98","-5977.00","-5215.11","-4652.14","-2904.68","-4535.17","-5770.33","-3822.74","-3539.17"
