Today's Date:	10 February 2025	Date of Test:	10-Feb-25 2:39:51 PM
Filename:	Arbitrary file name 2025-02-10 14-39-51_388	Tester Channel:	3
Tester ID:	Maccor #4
Procedure:	E66_puls_3C_constSoC.000	Description:	pulsing around one SoC with 3C for 30s
SCap:	0.0 g
C Rate:	64.599998 A
Rec	Cycle P	Cycle C	Step	Test Time	Step Time	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	AUX1 [C]	
1	0	1	1	  0d 00:00:0	  0d 00:00:0	0	0	0	3.691	R	0	10-Feb-25 2:39:51 PM	26	
2	0	1	1	  0d 00:00:10	  0d 00:00:10	0	0	0	3.691	R	1	10-Feb-25 2:40:01 PM	26	
3	0	1	1	  0d 00:00:20	  0d 00:00:20	0	0	0	3.691	R	1	10-Feb-25 2:40:11 PM	26	
4	0	1	1	  0d 00:00:30	  0d 00:00:30	0	0	0	3.691	R	1	10-Feb-25 2:40:21 PM	26	
5	0	1	1	  0d 00:00:40	  0d 00:00:40	0	0	0	3.692	R	1	10-Feb-25 2:40:31 PM	26	
6	0	1	1	  0d 00:00:50	  0d 00:00:50	0	0	0	3.691	R	1	10-Feb-25 2:40:41 PM	26	
7	0	1	1	  0d 00:01:0	  0d 00:01:0	0	0	0	3.69	R	1	10-Feb-25 2:40:51 PM	26	
8	0	1	1	  0d 00:01:10	  0d 00:01:10	0	0	0	3.692	R	1	10-Feb-25 2:41:01 PM	26	
9	0	1	1	  0d 00:01:20	  0d 00:01:20	0	0	0	3.692	R	1	10-Feb-25 2:41:11 PM	26	
10	0	1	1	  0d 00:01:30	  0d 00:01:30	0	0	0	3.69	R	1	10-Feb-25 2:41:21 PM	26	
11	0	1	1	  0d 00:01:40	  0d 00:01:40	0	0	0	3.691	R	1	10-Feb-25 2:41:31 PM	26	
12	0	1	1	  0d 00:01:50	  0d 00:01:50	0	0	0	3.691	R	1	10-Feb-25 2:41:41 PM	26	
13	0	1	1	  0d 00:02:0	  0d 00:02:0	0	0	0	3.691	R	1	10-Feb-25 2:41:51 PM	26	
14	0	1	1	  0d 00:02:10	  0d 00:02:10	0	0	0	3.691	R	1	10-Feb-25 2:42:01 PM	26	
15	0	1	1	  0d 00:02:20	  0d 00:02:20	0	0	0	3.691	R	1	10-Feb-25 2:42:11 PM	26	
16	0	1	1	  0d 00:02:30	  0d 00:02:30	0	0	0	3.691	R	1	10-Feb-25 2:42:21 PM	26	
17	0	1	1	  0d 00:02:40	  0d 00:02:40	0	0	0	3.691	R	1	10-Feb-25 2:42:31 PM	26	
18	0	1	1	  0d 00:02:50	  0d 00:02:50	0	0	0	3.691	R	1	10-Feb-25 2:42:41 PM	26	
19	0	1	1	  0d 00:03:0	  0d 00:03:0	0	0	0	3.691	R	1	10-Feb-25 2:42:51 PM	26	
20	0	1	1	  0d 00:03:10	  0d 00:03:10	0	0	0	3.691	R	1	10-Feb-25 2:43:01 PM	26	
21	0	1	1	  0d 00:03:20	  0d 00:03:20	0	0	0	3.691	R	1	10-Feb-25 2:43:11 PM	26	
22	0	1	1	  0d 00:03:30	  0d 00:03:30	0	0	0	3.691	R	1	10-Feb-25 2:43:21 PM	26	
23	0	1	1	  0d 00:03:40	  0d 00:03:40	0	0	0	3.691	R	1	10-Feb-25 2:43:31 PM	26	
24	0	1	1	  0d 00:03:50	  0d 00:03:50	0	0	0	3.691	R	1	10-Feb-25 2:43:41 PM	26	
25	0	1	1	  0d 00:04:0	  0d 00:04:0	0	0	0	3.691	R	1	10-Feb-25 2:43:51 PM	26	
26	0	1	1	  0d 00:04:10	  0d 00:04:10	0	0	0	3.691	R	1	10-Feb-25 2:44:01 PM	26	
27	0	1	1	  0d 00:04:20	  0d 00:04:20	0	0	0	3.691	R	1	10-Feb-25 2:44:11 PM	26	
28	0	1	1	  0d 00:04:30	  0d 00:04:30	0	0	0	3.691	R	1	10-Feb-25 2:44:21 PM	26	
29	0	1	1	  0d 00:04:40	  0d 00:04:40	0	0	0	3.69	R	1	10-Feb-25 2:44:31 PM	26	
30	0	1	1	  0d 00:04:50	  0d 00:04:50	0	0	0	3.691	R	1	10-Feb-25 2:44:41 PM	26	
31	0	1	1	  0d 00:05:0	  0d 00:05:0	0	0	0	3.692	R	129	10-Feb-25 2:44:51 PM	26	
32	1	1	4	  0d 00:05:0	  0d 00:00:0	0.001	0.005	193.973	3.312	D	0	10-Feb-25 2:44:51 PM	26	
33	1	1	4	  0d 00:05:5	  0d 00:00:5	0.271	0.887	193.798	3.26	D	1	10-Feb-25 2:44:56 PM	26	
34	1	1	4	  0d 00:05:10	  0d 00:00:10	0.54	1.761	193.783	3.238	D	1	10-Feb-25 2:45:01 PM	27	
35	1	1	4	  0d 00:05:15	  0d 00:00:15	0.809	2.63	193.814	3.219	D	1	10-Feb-25 2:45:06 PM	29	
36	1	1	4	  0d 00:05:20	  0d 00:00:20	1.078	3.494	193.811	3.206	D	1	10-Feb-25 2:45:11 PM	30	
37	1	1	4	  0d 00:05:25	  0d 00:00:25	1.347	4.354	193.805	3.191	D	1	10-Feb-25 2:45:16 PM	31	
38	1	1	4	  0d 00:05:30	  0d 00:00:30	1.614	5.203	193.786	3.178	D	129	10-Feb-25 2:45:21 PM	32	
39	1	1	5	  0d 00:05:30	  0d 00:00:0	0.000	0.001	193.758	3.945	C	0	10-Feb-25 2:45:21 PM	32	
40	1	1	5	  0d 00:05:35	  0d 00:00:5	0.269	1.076	193.808	4.022	C	1	10-Feb-25 2:45:26 PM	32	
