"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744753418","-3973.693","-10905.266","-10015.517","-7902.980","-4320.443","-6086.677","-9941.757","-7770.061","-7929.206","-9171.665","-8721.948","-9678.900","-11858.195","-10895.878","-6726.682","-4889.071"
"1744753419","-3996.491","-10876.358","-9974.688","-7887.334","-4273.355","-6066.710","-10004.789","-7849.783","-7951.260","-9172.410","-8686.334","-9551.048","-11823.773","-10819.435","-6829.202","-4827.976"
"1744753420","-4004.985","-10876.954","-9946.078","-7867.664","-4100.204","-6130.189","-10108.054","-7931.143","-8133.203","-9171.814","-8753.985","-9629.428","-11950.284","-10847.151","-6941.706","-4793.406"
"1744753421","-3955.513","-10857.880","-9988.844","-7865.727","-4093.349","-6267.875","-10024.011","-7810.891","-8251.071","-9172.261","-8885.413","-9760.410","-11915.565","-10855.198","-6797.016","-4839.301"
"1744753422","-3735.572","-10813.624","-10040.104","-7879.734","-4142.821","-6167.889","-9885.281","-7718.951","-8130.223","-9170.920","-8765.012","-9633.899","-11811.852","-10863.841","-6726.533","-4840.493"
"1744753423","-3784.001","-10792.613","-10011.494","-7884.204","-4254.580","-6065.965","-9870.082","-7723.272","-7963.479","-9144.545","-8613.467","-9476.244","-11857.152","-10882.616","-6872.118","-4813.373"
"1744753424","-3889.352","-10795.742","-10007.471","-7895.231","-4324.615","-6071.478","-9863.228","-7872.581","-7912.517","-9111.613","-8620.322","-9518.117","-12003.928","-11007.637","-6950.200","-4795.790"
"1744753425","-3930.777","-11046.082","-9995.401","-7876.605","-4203.469","-6069.839","-9972.453","-8011.013","-7991.940","-8985.698","-8764.714","-9714.812","-12005.419","-10992.885","-6816.685","-4809.052"
"1744753426","-3926.754","-11204.481","-9947.568","-7874.370","-4110.634","-6055.534","-10024.905","-7905.662","-8199.215","-9043.366","-8743.107","-9710.938","-11824.369","-10895.878","-6747.991","-4911.572"
"1744753427","-3916.323","-11208.951","-9881.258","-7887.334","-4089.922","-6184.876","-10028.780","-7724.017","-8220.375","-9099.394","-8686.036","-9582.788","-11847.317","-10933.876","-6898.493","-4899.204"
"1744753428","-3935.397","-10922.402","-9935.051","-7876.158","-4238.039","-6234.646","-9877.533","-7725.507","-7986.277","-9101.480","-8723.736","-9543.002","-11831.820","-10940.731","-6896.555","-4810.691"
"1744753429","-3935.993","-10856.390","-9995.550","-7862.300","-4324.466","-6104.708","-9831.041","-7901.937","-7899.106","-9101.182","-8726.269","-9710.193","-11995.584","-10948.628","-6747.395","-4797.578"
"1744753430","-3923.625","-10835.230","-10000.467","-7849.038","-4206.300","-6077.439","-9910.166","-8016.825","-8020.997","-9112.060","-8690.059","-9742.379","-12032.688","-10929.406","-6736.815","-4827.976"
"1744753431","-3925.264","-10827.780","-9984.225","-7833.987","-4108.101","-6083.101","-9955.764","-7938.445","-8190.125","-9132.177","-8714.795","-9620.339","-11872.053","-10765.195","-6892.383","-4826.039"
"1744753432","-3922.135","-10803.193","-9983.778","-7842.332","-4116.744","-6045.103","-9939.075","-7725.507","-8228.570","-9142.309","-8886.456","-9503.663","-11810.511","-10820.329","-6931.275","-4800.856"
"1744753433","-3931.969","-11017.621","-9992.719","-7831.603","-4298.389","-6179.661","-9925.216","-7688.552","-8063.018","-9177.774","-8757.412","-9691.268","-11906.475","-10974.705","-6849.766","-4820.228"
