,A0_C05 Ave. (µV),A2_C07 Ave. (µV),A4_C08 Ave. (µV),A6_C11 Ave. (µV),C0_D01 Ave. (µV),C3_D03 Ave. (µV),C6_D04 Ave. (µV),B0_C13 Ave. (µV),B6_C14 Ave. (µV),D0_D07 Ave. (µV),D1_D08 Ave. (µV),D2_D11 Ave. (µV),D3_D12 Ave. (µV),D4_D13 Ave. (µV),D5_D14 Ave. (µV),D6_D16 Ave. (µV)
1745578531.0000,-1527.0710,-4834.8310,-4405.0810,-2770.5730,-1429.7660,-2114.1770,-3644.5260,-3577.4710,-2955.4960,-3249.3470,-3804.8620,-3659.1290,-4772.2460,-4497.7660,-3038.6450,-1658.7970
1745578532.0000,-1728.0880,-4600.1370,-4419.6840,-2909.7500,-1375.5260,-2248.5850,-3731.5490,-3509.3720,-2930.9090,-3304.3320,-3787.8750,-3617.1080,-4851.6690,-4505.2170,-3118.6640,-1499.3550
1745578533.0000,-1794.3980,-4581.6600,-4415.8100,-2981.8710,-1287.9070,-2290.6060,-3721.8630,-3292.8590,-2829.1340,-3400.8920,-3864.4670,-3435.0160,-4831.4030,-4541.8740,-3281.0870,-1447.0520
1745578534.0000,-1772.0460,-4570.0370,-4412.5320,-2959.3710,-1259.5950,-2104.4910,-3728.7180,-3295.8390,-2858.0430,-3418.4750,-3802.0310,-3475.3980,-4733.6520,-4476.6070,-3142.0590,-1517.3850
1745578535.0000,-1625.8660,-4707.1280,-4416.1080,-2956.8370,-1405.1800,-2118.7960,-3756.2850,-3500.8790,-2943.1280,-3421.1580,-3807.3960,-3600.5680,-4746.3180,-4532.4860,-3063.8280,-1483.7090
1745578536.0000,-1519.7690,-4898.9060,-4427.2840,-2974.1230,-1458.8240,-2295.9710,-3661.8110,-3548.1150,-2946.5560,-3432.6310,-3984.5710,-3591.6270,-4699.3790,-4550.8150,-3204.1970,-1459.1220
1745578537.0000,-1634.2100,-4797.2800,-4434.4370,-2881.2890,-1371.2050,-2186.4470,-3553.4800,-3356.3380,-2922.4160,-3455.2810,-3936.2910,-3500.2830,-4748.1060,-4476.0110,-3277.3610,-1443.3260
1745578538.0000,-1775.9200,-4648.2680,-4434.1390,-2775.7880,-1257.2110,-2058.8930,-3650.7840,-3255.6060,-2940.7440,-3460.4970,-3787.4280,-3440.9760,-4897.7140,-4478.8420,-3148.4660,-1574.1590
1745578539.0000,-1830.7570,-4590.1540,-4439.3540,-2812.2960,-1233.3690,-2169.9070,-3706.3660,-3285.8550,-2963.9900,-3465.2650,-3852.3970,-3450.5130,-4840.4930,-4517.5850,-3047.2870,-1648.2170
1745578540.0000,-1685.6190,-4567.8020,-4440.3970,-2938.9560,-1411.8850,-2284.0500,-3723.9490,-3337.1150,-2828.6870,-3415.0480,-3933.1610,-3629.1780,-4700.2730,-4498.5120,-3219.8430,-1497.8650
1745578541.0000,-1560.1520,-4674.9410,-4405.5280,-2962.6490,-1463.4430,-2144.7240,-3724.2470,-3436.0590,-2725.4220,-3246.8140,-3807.9920,-3612.9360,-4768.3720,-4492.1040,-3207.3260,-1465.5290
1745578542.0000,-1537.8000,-4931.6880,-4363.9540,-2887.3980,-1286.5660,-2143.3830,-3765.6720,-3540.2180,-2921.2240,-3298.2230,-3844.2020,-3433.3770,-4952.8480,-4669.7260,-3077.5370,-1519.1730
1745578543.0000,-1685.4700,-4809.9460,-4303.7530,-2760.5890,-1217.4250,-2285.5400,-3693.8490,-3363.0430,-2948.3440,-3395.6770,-3830.0450,-3478.6760,-4805.6240,-4611.1640,-3167.6890,-1464.1880
1745578544.0000,-1793.2060,-4654.5270,-4246.5330,-2759.0990,-1249.6110,-2260.6550,-3597.5870,-3271.6990,-2908.7070,-3396.2730,-3784.2990,-3589.3920,-4720.3900,-4463.7920,-3282.1300,-1477.0030
1745578545.0000,-1802.5930,-4571.5270,-4338.9200,-2907.0680,-1461.0590,-2092.1230,-3633.6480,-3273.1890,-2908.4090,-3412.5150,-3858.0600,-3595.0540,-4759.7290,-4528.0160,-3178.2690,-1463.5920
1745578546.0000,-1651.6450,-4561.6920,-4374.6830,-2987.2360,-1431.5550,-2185.2550,-3687.8880,-3298.0740,-2961.6060,-3435.3140,-4001.7070,-3523.6780,-4908.7410,-4564.3750,-3048.9270,-1566.1120
1745578547.0000,-1522.4520,-4542.3210,-4370.6600,-2991.2590,-1284.3310,-2270.0430,-3706.2170,-3404.0210,-2962.9470,-3450.6620,-3819.1680,-3437.9960,-4778.8020,-4494.3390,-3195.2560,-1672.5060
1745578548.0000,-1520.2160,-4716.6650,-4361.2720,-2936.2740,-1253.6350,-2199.1130,-3716.3500,-3512.9490,-2936.8700,-3460.1990,-3821.9990,-3500.2830,-4705.0420,-4542.0230,-3246.6650,-1531.9880
1745578549.0000,-1637.9360,-4915.1480,-4367.0830,-2806.3360,-1374.0360,-2072.4530,-3637.6710,-3356.0400,-2951.4730,-3398.3590,-3862.8280,-3631.1150,-4785.0610,-4529.8040,-3073.2150,-1443.6240
1745578550.0000,-1761.1680,-4846.7520,-4384.9650,-2737.1940,-1454.8000,-2237.2600,-3580.3020,-3231.0190,-2904.6830,-3236.2340,-3787.4280,-3536.6420,-4918.7240,-4492.4020,-3084.5400,-1506.8050
1745578551.0000,-1749.2470,-4663.4670,-4396.7370,-2841.2040,-1314.4310,-2293.5870,-3679.8420,-3283.9180,-2703.0710,-3286.8980,-3778.3380,-3448.7250,-4879.5340,-4489.4220,-3238.6180,-1542.5680
1745578552.0000,-1611.5610,-4595.6670,-4366.7850,-2903.7890,-1203.1200,-2172.4400,-3730.6550,-3423.5420,-2695.9180,-3380.3280,-3885.3290,-3472.7160,-4697.5910,-4490.7630,-3231.6150,-1473.5760
1745578553.0000,-1488.6260,-4576.5940,-4127.7710,-2942.6810,-1224.1300,-2101.8090,-3726.9290,-3523.9760,-2910.7930,-3413.7070,-3998.4290,-3526.6580,-4747.0630,-4528.6120,-3053.6950,-1454.5020
1745578554.0000,-1507.4010,-4570.3350,-4141.6290,-2949.5360,-1316.3690,-2257.6750,-3738.5520,-3354.1020,-2938.0620,-3417.5810,-3847.1820,-3585.3680,-4698.3360,-4474.6700,-3146.3800,-1478.4930
1745578555.0000,-1726.4490,-4542.7680,-4312.9920,-2816.7670,-1430.0640,-2205.9680,-3717.8400,-3242.0460,-2893.0600,-3419.2200,-3802.6270,-3553.6290,-4728.8840,-4501.4920,-3261.8640,-1557.7670
1745578556.0000,-1772.1950,-4714.7270,-4343.0920,-2731.5320,-1396.3880,-2053.6780,-3602.9520,-3289.2820,-2927.3330,-3450.3640,-3846.1390,-3452.4500,-4898.4590,-4500.4490,-3110.7660,-1529.3060
1745578557.0000,-1759.3800,-4906.0580,-4329.5320,-2810.6570,-1248.8660,-2111.1970,-3554.5230,-3327.4290,-2945.6620,-3451.4070,-3799.2000,-3432.9300,-4807.7110,-4454.8510,-3040.4330,-1449.5850
1745578558.0000,-1552.9990,-4847.7950,-4330.2770,-2933.1450,-1233.5180,-2295.9710,-3643.7810,-3390.9080,-2914.9650,-3414.8990,-3789.3650,-3528.1480,-4708.0220,-4507.8990,-3147.1250,-1459.1220
1745578559.0000,-1461.2080,-4653.7820,-4365.5930,-2938.6580,-1379.2510,-2232.3430,-3694.5940,-3511.4590,-2914.3690,-3247.8570,-3829.1510,-3623.0680,-4818.1410,-4488.8260,-3231.6150,-1477.0030
1745578560.0000,-1494.7350,-4581.2130,-4372.7460,-2908.4090,-1437.2170,-2186.0000,-3709.1970,-3332.0490,-2929.4190,-3287.6430,-3959.3880,-3506.5410,-4898.3100,-4463.4940,-3044.3070,-1541.6740
1745578561.0000,-1713.9320,-4562.5870,-4372.8950,-2733.4690,-1261.9790,-2109.7060,-3705.3230,-3207.1770,-2934.0390,-3378.5400,-3867.8940,-3450.6620,-4742.7420,-4465.8780,-3141.6120,-1643.8960
1745578562.0000,-1761.4660,-4535.0190,-4373.7890,-2695.0240,-1193.5830,-2201.3490,-3700.5540,-3257.5430,-2911.6870,-3387.9280,-3770.1430,-3633.6480,-4707.5750,-4465.4310,-3270.6560,-1524.3890
