"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744201934","-1462.400","-4290.938","-3874.600","-2782.941","-1161.844","-1899.898","-3577.322","-3169.775","-2812.743","-3247.857","-3292.561","-2717.078","-4236.698","-3772.676","-2895.296","-1299.381"
"1744201935","-1461.605","-4503.528","-3767.610","-2768.238","-1252.890","-1848.141","-3581.146","-3046.095","-2825.409","-3267.974","-3289.282","-2678.037","-4224.181","-3840.327","-2864.599","-1340.806"
"1744201936","-1469.553","-4650.652","-3894.418","-2783.388","-1140.237","-1850.128","-3576.279","-2856.851","-2872.944","-3260.970","-3295.541","-2616.942","-4210.919","-3919.452","-2910.793","-1295.805"
"1744201937","-1365.244","-4657.954","-4019.588","-2801.716","-1048.297","-1785.457","-3574.342","-2882.630","-2831.966","-3115.833","-3279.150","-2710.223","-4211.366","-3884.435","-3038.496","-1320.988"
"1744201938","-1205.603","-4470.944","-4055.897","-2698.402","-1037.518","-1904.666","-3585.021","-2928.674","-2838.075","-3088.266","-3269.464","-2757.907","-4264.265","-3907.681","-2931.207","-1322.478"
"1744201939","-1233.369","-4338.771","-4059.821","-2548.099","-1025.796","-2022.684","-3584.474","-2877.712","-3082.901","-3214.926","-3301.948","-2701.879","-4225.671","-3921.688","-2856.553","-1309.365"
"1744201940","-1411.041","-4288.256","-4097.521","-2638.797","-1009.504","-1908.342","-3581.246","-2864.301","-3119.111","-3256.500","-3283.620","-2706.945","-4165.173","-3899.932","-2915.859","-1328.588"
"1744201941","-1481.175","-4423.708","-4116.446","-2777.874","-988.990","-1777.560","-3585.070","-2910.942","-2925.545","-3277.957","-3226.846","-2740.622","-4237.145","-3893.673","-2898.574","-1325.309"
"1744201942","-1486.540","-4605.055","-3980.994","-2828.240","-976.920","-1852.661","-3582.835","-3118.217","-2858.639","-3225.505","-3280.491","-2661.049","-4223.585","-3971.606","-2849.996","-1316.816"
"1744201943","-1384.119","-4683.435","-3815.393","-2851.387","-967.383","-1982.749","-3562.371","-3102.124","-2933.443","-3071.427","-3293.902","-2554.357","-4258.454","-3894.717","-2912.879","-1318.008"
"1744201944","-1234.114","-4540.682","-3863.424","-2852.082","-1023.263","-1966.953","-3556.460","-2880.245","-2907.217","-3133.863","-3265.887","-2758.503","-4273.653","-3855.079","-3020.614","-1306.087"
"1744201945","-1228.303","-4380.047","-4014.075","-2733.171","-1165.718","-1803.339","-3561.080","-2820.194","-2880.394","-3232.360","-3253.073","-2729.744","-4267.693","-3939.122","-2914.667","-1309.663"
"1744201946","-1406.769","-4310.310","-4106.164","-2598.365","-1183.848","-1829.565","-3572.007","-2917.796","-2902.150","-3255.755","-3298.819","-2702.326","-4260.242","-3884.882","-2856.702","-1247.972"
