"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744130075","-3774.166","-10533.333","-9546.578","-7705.986","-3801.882","-5621.612","-9745.359","-7564.276","-8168.966","-8749.813","-7616.729","-8280.873","-10716.021","-9968.132","-6347.150","-4456.192"
"1744130076","-3614.277","-10523.200","-9527.206","-7710.308","-3826.022","-5618.930","-9653.121","-7516.295","-7973.015","-8678.585","-7613.003","-8193.254","-10561.347","-10138.005","-6234.199","-4312.992"
"1744130077","-3527.601","-10626.216","-9401.739","-7703.105","-3803.174","-5655.786","-9539.425","-7408.410","-7869.154","-8787.513","-7605.255","-8387.268","-10575.950","-10174.811","-6217.360","-4445.910"
"1744130078","-3633.201","-10721.236","-9318.143","-7724.315","-3666.282","-5612.075","-9551.793","-7454.306","-7949.471","-8889.288","-7643.998","-8431.077","-10643.452","-9926.856","-6254.315","-4573.762"
"1744130079","-3762.096","-10633.022","-9306.520","-7726.699","-3600.568","-5607.158","-9670.407","-7460.564","-8158.982","-8897.632","-7742.047","-8340.925","-10611.564","-9959.638","-6197.691","-4477.054"
"1744130080","-3803.670","-10523.598","-9403.825","-7727.345","-3720.025","-5609.393","-9724.001","-7424.355","-8203.089","-8784.235","-7648.766","-8240.640","-10544.062","-10153.651","-6219.745","-4329.085"
"1744130081","-3791.153","-10486.692","-9518.266","-7707.179","-3800.988","-5614.460","-9711.534","-7421.374","-8050.054","-8705.109","-7542.372","-8303.076","-10535.568","-10185.093","-6220.937","-4325.807"
"1744130082","-3809.233","-10481.477","-9524.922","-7679.462","-3806.353","-5602.141","-9598.732","-7445.365","-7872.432","-8752.942","-7606.000","-8465.797","-10662.675","-9986.609","-6185.919","-4518.181"
"1744130083","-3812.313","-10455.102","-9439.737","-7667.840","-3782.064","-5601.645","-9578.019","-7442.683","-7895.976","-8872.449","-7624.328","-8351.356","-10798.424","-9919.852","-6265.193","-4559.308"
"1744130084","-3674.477","-10486.543","-9353.608","-7720.292","-3772.527","-5580.783","-9670.407","-7431.060","-8106.083","-8920.729","-7589.906","-8215.606","-10614.991","-10138.005","-6334.484","-4483.908"
"1744130085","-3526.111","-10692.577","-9317.894","-7727.543","-3787.180","-5584.955","-9717.147","-7422.715","-8194.149","-8858.889","-7682.890","-8263.886","-10570.288","-10144.264","-6195.456","-4366.487"
"1744130086","-3617.108","-10834.336","-9446.591","-7691.979","-3812.462","-5577.654","-9739.399","-7435.381","-8028.001","-8714.497","-7690.787","-8409.768","-10613.054","-10049.939","-6185.472","-4371.256"
"1744130087","-3743.023","-10701.120","-9541.214","-7681.698","-3727.823","-5548.149","-9683.371","-7434.785","-7866.919","-8651.018","-7546.842","-8401.871","-10578.930","-10061.562","-6221.831","-4494.786"
"1744130088","-3762.841","-10520.518","-9484.093","-7714.033","-3597.041","-5560.318","-9543.896","-7422.119","-7828.325","-8734.763","-7548.332","-8392.185","-10568.947","-10156.929","-6183.982","-4548.877"
"1744130089","-3758.669","-10463.744","-9368.956","-7727.593","-3677.905","-5682.707","-9505.004","-7406.771","-8019.805","-8857.846","-7614.195","-8265.525","-10651.052","-10059.029","-6284.714","-4488.826"
"1744130090","-3769.000","-10445.516","-9332.101","-7696.450","-3758.073","-5742.709","-9631.813","-7434.487","-8160.323","-8906.722","-7673.949","-8333.921","-10693.520","-9889.752","-6315.410","-4367.381"
"1744130091","-3783.554","-10512.471","-9457.171","-7691.979","-3773.868","-5585.402","-9697.080","-7425.547","-8133.054","-8894.503","-7711.500","-8461.177","-10543.764","-10053.515","-6188.452","-4404.932"
"1744130092","-3783.107","-10694.414","-9556.115","-7706.732","-3776.103","-5578.697","-9700.060","-7409.602","-8127.093","-8752.048","-7576.942","-8359.253","-10550.469","-10170.341","-6208.867","-4543.960"
"1744130093","-3788.670","-10837.813","-9617.905","-7702.410","-3784.199","-5603.631","-9696.782","-7435.083","-7988.811","-8672.774","-7536.709","-8225.143","-10696.352","-10104.775","-6203.353","-4540.980"
"1744130094","-3680.736","-10726.899","-9539.127","-7700.771","-3756.434","-5567.074","-9723.604","-7413.924","-7860.065","-8711.666","-7601.976","-8228.421","-10767.877","-9965.897","-6194.711","-4488.081"
"1744130095","-3553.480","-10545.403","-9391.159","-7713.586","-3764.480","-5563.945","-9654.909","-7403.493","-7922.053","-8831.024","-7711.202","-8372.068","-10592.043","-10056.794","-6283.820","-4381.984"
"1744130096","-3625.552","-10459.423","-9290.576","-7723.967","-3782.610","-5717.178","-9571.910","-7384.419","-8111.000","-8888.692","-7654.428","-8413.196","-10529.757","-10175.705","-6285.757","-4411.638"
"1744130097","-3715.307","-10436.624","-9351.224","-7697.940","-3790.259","-5666.912","-9651.780","-7548.183","-8143.336","-8905.083","-7554.293","-8361.340","-10696.054","-10087.937","-6184.280","-4533.380"
"1744130098","-3728.171","-10556.181","-9518.961","-7680.853","-3801.684","-5557.239","-9718.537","-7670.075","-8131.713","-8869.469","-7617.325","-8291.304","-10764.599","-9958.595","-6188.750","-4510.880"
"1744130099","-3728.420","-10758.340","-9626.299","-7685.870","-3773.719","-5586.147","-9724.498","-7499.605","-8139.312","-8720.160","-7764.250","-8421.093","-10541.081","-10145.158","-6266.683","-4404.336"
"1744130100","-3724.694","-10852.814","-9581.000","-7699.430","-3669.560","-5635.917","-9655.505","-7377.267","-8010.566","-8664.727","-7730.126","-8459.687","-10538.399","-10174.811","-6377.995","-4340.112"
"1744130101","-3738.701","-10790.129","-9458.263","-7704.695","-3684.958","-5646.547","-9611.149","-7381.588","-7872.581","-8746.386","-7540.733","-8315.593","-10638.535","-10040.104","-6276.816","-4440.993"
"1744130102","-3758.669","-10570.884","-9351.373","-7696.301","-3748.685","-5571.991","-9685.308","-7439.703","-7908.493","-8857.548","-7527.173","-8211.881","-10720.342","-9958.446","-6171.167","-4546.940"
"1744130103","-3751.218","-10468.811","-9370.595","-7724.166","-3762.990","-5576.611","-9721.816","-7455.498","-8106.083","-8901.805","-7711.351","-8282.363","-10566.413","-10167.211","-6222.576","-4511.178"
"1744130104","-3760.556","-10434.787","-9501.179","-7726.947","-3744.860","-5694.131","-9715.557","-7413.924","-8158.535","-8916.110","-7697.493","-8428.991","-10609.776","-10098.368","-6200.969","-4431.307"
"1744130105","-3771.484","-10543.317","-9613.186","-7753.372","-3776.103","-5782.098","-9618.104","-7416.159","-8144.975","-8851.588","-7538.050","-8405.745","-10612.756","-9957.701","-6245.822","-4351.586"
"1744130106","-3771.384","-10761.619","-9609.163","-7815.559","-3788.571","-5648.037","-9555.916","-7584.989","-8076.131","-8720.309","-7598.549","-8288.771","-10655.075","-10161.251","-6300.360","-4488.528"
"1744130107","-3777.295","-10865.778","-9558.201","-7815.659","-3783.554","-5591.959","-9670.407","-7674.992","-7927.418","-8719.563","-7591.546","-8322.895","-10653.734","-10206.699","-6202.161","-4576.445"
"1744130108","-3792.644","-10780.543","-9431.690","-7789.731","-3770.590","-5618.334","-9707.212","-7545.501","-7908.046","-8813.143","-7646.680","-8439.720","-10595.620","-10051.280","-6175.190","-4552.454"
"1744130109","-3799.399","-10578.136","-9315.412","-7783.671","-3785.292","-5623.301","-9709.597","-7378.310","-8127.987","-8901.507","-7693.619","-8437.037","-10559.261","-9941.310","-6251.782","-4436.523"
"1744130110","-3784.448","-10486.245","-9320.229","-7756.948","-3799.200","-5600.750","-9721.965","-7423.908","-8210.987","-8920.580","-7619.858","-8243.471","-10690.689","-10188.669","-6385.744","-4329.383"
"1744130111","-3713.369","-10484.755","-9451.956","-7778.704","-3813.058","-5628.169","-9654.909","-7483.065","-8138.269","-8808.225","-7594.228","-8233.786","-10839.403","-10150.671","-6242.543","-4459.321"
"1744130112","-3595.054","-10649.364","-9601.712","-7765.492","-3815.889","-5583.167","-9656.052","-7453.114","-7919.073","-8692.592","-7702.857","-8392.036","-10612.011","-9896.308","-6135.851","-4588.217"
"1744130113","-3680.587","-10827.184","-9632.111","-7794.946","-3701.448","-5562.305","-9720.773","-7438.660","-7855.892","-8671.880","-7676.482","-8474.886","-10592.937","-9975.731","-6214.976","-4527.271"
"1744130114","-3778.338","-10738.273","-9520.154","-7778.108","-3670.851","-5701.880","-9716.749","-7452.071","-8037.835","-8784.682","-7593.185","-8386.523","-10634.661","-10236.055","-6260.723","-4398.823"
"1744130115","-3793.240","-10548.830","-9412.318","-7789.135","-3760.904","-5692.989","-9592.623","-7451.177","-8229.017","-8887.351","-7594.228","-8219.630","-10593.534","-10131.896","-6228.834","-4322.082"
"1744130116","-3789.961","-10497.421","-9355.396","-7775.873","-3806.651","-5612.075","-9516.776","-7457.435","-8175.522","-8918.494","-7656.962","-8302.629","-10550.916","-9913.445","-6195.903","-4523.546"
"1744130117","-3824.035","-10471.046","-9352.366","-7785.261","-3808.240","-5607.208","-9591.083","-7482.171","-7966.012","-8863.509","-7728.040","-8426.756","-10676.980","-10125.786","-6299.019","-4559.904"
"1744130118","-3837.496","-10501.444","-9470.433","-7813.573","-3804.564","-5633.235","-9701.103","-7458.031","-7894.188","-8717.626","-7619.262","-8411.556","-10783.076","-10216.534","-6309.003","-4529.357"
"1744130119","-3803.819","-10686.666","-9609.610","-7813.871","-3821.403","-5620.420","-9728.819","-7469.952","-8016.378","-8722.991","-7565.618","-8275.956","-10576.546","-9990.484","-6218.702","-4460.216"
"1744130120","-3640.950","-10835.727","-9670.854","-7812.977","-3829.400","-5608.698","-9734.929","-7479.787","-8185.208","-8845.031","-7645.786","-8223.057","-10554.790","-9919.703","-6210.506","-4376.471"
"1744130121","-3631.264","-10733.455","-9554.923","-7837.564","-3730.208","-5611.181","-9705.871","-7481.724","-8227.080","-8907.616","-7628.351","-8276.850","-10626.316","-10066.330","-6248.504","-4393.011"
"1744130122","-3787.577","-10565.718","-9409.388","-7832.646","-3679.196","-5605.519","-9583.036","-7485.151","-8062.422","-8879.006","-7564.873","-8413.047","-10602.027","-10194.629","-6226.748","-4543.215"
"1744130123","-3861.189","-10515.898","-9350.330","-7859.021","-3773.868","-5611.926","-9627.044","-7503.778","-7908.046","-8769.184","-7612.109","-8405.298","-10569.096","-10109.842","-6227.940","-4540.086"
"1744130124","-3863.424","-10510.385","-9350.926","-7868.409","-3796.965","-5606.711","-9727.031","-7494.092","-7960.796","-8695.275","-7741.004","-8265.376","-10618.865","-9956.360","-6235.540","-4382.581"
"1744130125","-3814.399","-10500.252","-9418.230","-7882.615","-3828.506","-5629.560","-9748.936","-7445.961","-8142.143","-8793.622","-7706.285","-8243.322","-10729.581","-10034.293","-6228.238","-4366.785"
"1744130126","-3661.364","-10491.610","-9578.913","-7867.068","-3836.006","-5707.592","-9684.712","-7473.528","-8236.766","-8889.139","-7557.869","-8294.284","-10634.661","-10171.235","-6218.255","-4501.641"
"1744130127","-3597.438","-10505.170","-9593.070","-7791.072","-3850.311","-5846.471","-9601.265","-7516.891","-8104.891","-8939.505","-7563.978","-8412.600","-10572.076","-10190.755","-6248.802","-4592.091"
"1744130128","-3744.960","-10725.260","-9462.337","-7714.927","-3740.191","-5669.296","-9563.267","-7495.880","-7932.931","-8864.403","-7651.746","-8452.684","-10613.203","-9997.785","-6244.481","-4498.959"
"1744130129","-3869.385","-10881.573","-9340.644","-7676.184","-3636.330","-5495.846","-9628.087","-7281.303","-7959.902","-8726.269","-7612.109","-8295.923","-10601.729","-9959.787","-6234.348","-4325.956"
"1744130130","-3887.415","-10721.982","-9320.080","-7718.305","-3745.556","-5610.386","-9713.869","-7263.571","-8051.842","-8724.183","-7596.314","-8237.511","-10620.356","-10190.010","-6227.046","-4415.363"
"1744130131","-3850.013","-10595.620","-9344.220","-7767.677","-3835.261","-5663.931","-9734.482","-7481.724","-8094.460","-8846.223","-7621.050","-8323.342","-10585.636","-10159.761","-6222.129","-4556.477"
"1744130132","-3722.459","-10576.844","-9429.306","-7801.652","-3841.519","-5613.416","-9634.942","-7525.831","-7975.698","-8903.295","-7609.427","-8373.111","-10567.158","-9954.721","-6297.380","-4530.847"
"1744130133","-3613.730","-10581.116","-9573.896","-7841.587","-3850.460","-5645.255","-9566.844","-7512.867","-7929.206","-8839.369","-7638.037","-8253.753","-10611.415","-9979.010","-6334.186","-4428.625"
"1744130134","-3708.899","-10579.526","-9593.815","-7885.993","-3823.638","-5617.738","-9627.640","-7497.221","-7964.373","-8729.547","-7609.725","-8213.669","-10785.758","-10152.906","-6266.534","-4359.037"
"1744130135","-3852.993","-10569.096","-9502.023","-7850.826","-3695.637","-5606.562","-9701.401","-7525.533","-8174.926","-8668.154","-7601.082","-8312.315","-10739.714","-10118.783","-6235.540","-4482.865"
"1744130136","-3919.005","-10547.638","-9391.010","-7710.258","-3639.956","-5657.474","-9748.737","-7463.396","-8229.911","-8746.535","-7703.006","-8436.739","-10583.401","-9934.604","-6245.226","-4599.243"
"1744130137","-3871.173","-10532.737","-9365.380","-7622.093","-3758.818","-5642.623","-9711.236","-7294.714","-8037.388","-8878.857","-7653.832","-8315.593","-10593.086","-10054.857","-6268.919","-4481.971"
"1744130138","-3709.098","-10550.122","-9362.201","-7704.298","-3824.631","-5608.598","-9610.057","-7373.244","-7953.197","-8938.462","-7595.122","-8209.348","-10651.052","-10203.123","-6232.858","-4343.688"
"1744130139","-3620.982","-10551.363","-9380.728","-7807.761","-3822.446","-5683.601","-9555.668","-7543.713","-7979.721","-8864.105","-7615.685","-8317.530","-10563.880","-10013.282","-6233.305","-4406.422"
"1744130140","-3642.440","-10538.697","-9386.837","-7825.196","-3816.336","-5648.136","-9592.474","-7572.770","-7990.897","-8755.922","-7620.454","-8421.242","-10559.261","-9888.113","-6249.249","-4531.741"
"1744130141","-3807.942","-10532.439","-9372.036","-7797.678","-3834.963","-5612.473","-9694.199","-7494.241","-7976.741","-8699.745","-7607.490","-8413.494","-10594.130","-10046.363","-6237.775","-4563.034"
"1744130142","-3911.257","-10524.541","-9397.566","-7763.058","-3746.003","-5629.808","-9737.015","-7288.009","-7945.448","-8697.808","-7614.791","-8277.744","-10606.349","-10203.570","-6249.547","-4453.957"
"1744130143","-3895.760","-10522.604","-9399.801","-7701.814","-3633.201","-5645.901","-9640.157","-7295.161","-7931.739","-8834.153","-7618.517","-8214.861","-10590.106","-10034.591","-6234.795","-4334.599"
"1744130144","-3731.449","-10519.624","-9439.389","-7621.547","-3698.965","-5623.102","-9547.074","-7508.397","-7935.613","-8921.474","-7600.337","-8324.236","-10580.570","-9943.694","-6225.705","-4400.313"
"1744130145","-3622.770","-10529.757","-9450.614","-7657.260","-3812.313","-5629.957","-9569.675","-7552.952","-8029.044","-8839.220","-7694.364","-8433.163","-10605.901","-10117.441","-6222.129","-4560.500"
"1744130146","-3613.035","-10542.671","-9425.183","-7765.094","-3825.923","-5602.141","-9694.000","-7509.887","-8181.036","-8729.398","-7754.862","-8421.540","-10585.487","-10165.572","-6207.526","-4536.510"
"1744130147","-3741.086","-10506.958","-9400.845","-7814.169","-3827.810","-5621.910","-9726.137","-7364.154","-8191.615","-8675.456","-7653.683","-8286.685","-10630.339","-10108.203","-6210.953","-4421.771"
"1744130148","-3850.758","-10507.256","-9370.893","-7828.623","-3808.141","-5633.235","-9714.663","-7287.860","-8011.311","-8781.701","-7519.871","-8223.206","-10683.239","-9945.333","-6202.906","-4351.586"
"1744130149","-3890.395","-10523.002","-9357.631","-7802.844","-3658.334","-5604.029","-9604.692","-7474.869","-7939.339","-8887.202","-7559.210","-8365.214","-10579.824","-9996.295","-6221.086","-4518.777"
"1744130150","-3779.680","-10510.385","-9380.728","-7669.032","-3651.977","-5573.332","-9526.610","-7559.210","-7958.561","-8899.570","-7711.500","-8382.797","-10567.307","-10201.186","-6323.010","-4571.229"
"1744130151","-3644.377","-10522.157","-9387.583","-7570.386","-3746.897","-5578.399","-9563.863","-7474.124","-7960.796","-8808.225","-7563.829","-8223.802","-10597.110","-10139.644","-6269.962","-4417.300"
"1744130152","-3598.432","-10523.994","-9397.169","-7575.552","-3794.630","-5604.327","-9690.722","-7313.341","-7964.969","-8710.772","-7558.018","-8237.809","-10669.827","-9920.150","-6214.082","-4325.360"
"1744130153","-3710.985","-10509.491","-9377.599","-7697.642","-3802.329","-5590.916","-9717.941","-7299.185","-7968.843","-8707.643","-7641.613","-8402.169","-10577.142","-9908.676","-6221.831","-4376.769"
"1744130154","-3855.129","-10482.172","-9391.010","-7784.466","-3801.882","-5570.153","-9733.935","-7435.679","-8057.356","-8812.398","-7675.886","-8432.269","-10524.541","-10079.592","-6238.818","-4514.754"
"1744130155","-3886.968","-10478.050","-9441.227","-7790.923","-3810.376","-5602.539","-9708.554","-7562.935","-8069.128","-8898.675","-7647.276","-8338.392","-10664.016","-10163.933","-6191.730","-4538.894"
"1744130156","-3783.405","-10479.242","-9416.342","-7775.873","-3713.965","-5590.767","-9595.007","-7482.618","-7944.405","-8906.871","-7575.601","-8222.759","-10764.152","-10085.255","-6206.781","-4490.912"
"1744130157","-3619.691","-10485.251","-9402.235","-7711.351","-3624.360","-5616.745","-9508.233","-7283.986","-7904.917","-8802.265","-7557.124","-8310.378","-10585.636","-9972.304","-6209.910","-4336.983"
"1744130158","-3574.491","-10485.500","-9407.997","-7626.563","-3715.903","-5746.186","-9600.669","-7312.596","-8037.686","-8682.460","-7715.523","-8433.461","-10610.819","-10013.580","-6198.287","-4382.133"
"1744130159","-3679.395","-10476.112","-9419.322","-7616.580","-3767.163","-5698.204","-9673.536","-7477.999","-8200.407","-8691.251","-7767.379","-8362.234","-10557.771","-10159.016","-6267.428","-4532.039"
"1744130160","-3826.817","-10466.079","-9391.904","-7709.166","-3772.875","-5556.444","-9697.974","-7552.952","-8156.002","-8808.821","-7600.337","-8262.247","-10564.327","-10133.237","-6320.328","-4565.865"
"1744130161","-3862.977","-10457.635","-9379.238","-7780.343","-3772.974","-5608.201","-9686.500","-7494.390","-7940.978","-8886.456","-7565.022","-8339.882","-10687.709","-10069.013","-6206.185","-4440.993"
