"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744817118","-1619.458","-4453.510","-4162.043","-2618.283","-1103.282","-1973.659","-3597.736","-3073.364","-2891.570","-3307.313","-3560.334","-3045.946","-4681.796","-4173.964","-2974.272","-1408.458"
"1744817119","-1470.000","-4406.273","-4225.224","-2600.402","-1135.916","-2015.829","-3616.065","-3123.879","-2855.957","-3317.893","-3543.794","-3116.727","-4751.980","-4159.212","-3003.478","-1402.199"
"1744817120","-1382.679","-4382.282","-4229.248","-2766.699","-1278.967","-1994.967","-3611.743","-3126.711","-2861.619","-3325.343","-3550.798","-3126.860","-4606.396","-4151.762","-2966.970","-1387.447"
"1744817121","-1383.871","-4377.067","-4156.679","-2869.517","-1304.448","-1952.946","-3608.018","-3042.668","-2889.633","-3348.738","-3558.248","-3045.052","-4604.012","-4172.325","-2957.433","-1482.964"
"1744817122","-1418.591","-4492.998","-4000.068","-2909.899","-1242.012","-2065.003","-3573.298","-3047.884","-2876.818","-3298.670","-3588.200","-3087.521","-4742.891","-4156.977","-3100.485","-1586.378"
"1744817123","-1617.819","-4711.598","-3939.867","-2783.984","-1114.160","-2141.446","-3596.991","-3050.566","-2895.296","-3148.615","-3695.041","-3074.855","-4585.087","-4156.530","-3056.675","-1455.247"
"1744817124","-1673.847","-4575.700","-4093.945","-2671.331","-1106.262","-1970.381","-3628.135","-3007.650","-2913.773","-3117.770","-3572.106","-3058.165","-4542.917","-4160.255","-2944.916","-1392.514"
"1744817125","-1574.904","-4431.605","-4209.131","-2630.800","-1151.413","-1978.427","-3636.926","-3141.612","-2907.962","-3236.234","-3549.457","-3128.052","-4567.355","-4154.295","-2982.318","-1440.793"
"1744817126","-1368.672","-4408.211","-4232.377","-2675.056","-1320.094","-2025.515","-3524.423","-3327.131","-2914.071","-3289.282","-3588.796","-3144.741","-4517.138","-4153.550","-3004.968","-1454.055"
"1744817127","-1359.135","-4389.435","-4183.203","-2806.187","-1326.203","-1988.113","-3505.945","-3271.997","-2857.298","-3292.710","-3592.223","-3092.885","-4665.852","-4167.706","-3107.935","-1409.054"
"1744817128","-1420.081","-4366.338","-3967.732","-2873.242","-1130.402","-2011.508","-3595.054","-3038.347","-2628.565","-3302.544","-3560.632","-3086.179","-4741.400","-4218.817","-3080.368","-1400.858"
"1744817129","-1567.006","-4361.123","-3884.435","-2797.544","-1106.560","-2164.990","-3623.962","-3027.767","-2711.266","-3316.998","-3545.880","-3093.779","-4579.872","-4172.474","-2943.426","-1418.293"
"1744817130","-1630.634","-4354.417","-3950.596","-2675.653","-1131.296","-2155.006","-3601.462","-3081.709","-2920.479","-3329.664","-3531.724","-3065.020","-4569.441","-4176.646","-3002.882","-1402.944"
"1744817131","-1453.906","-4638.731","-4159.212","-2623.647","-1154.095","-1966.804","-3630.519","-3113.151","-2936.721","-3267.676","-3548.115","-3099.144","-4599.690","-4210.323","-2976.656","-1405.030"
"1744817132","-1347.214","-4739.016","-4194.528","-2698.600","-1272.708","-1991.391","-3634.840","-3037.900","-2847.612","-3107.935","-3539.771","-3063.679","-4554.391","-4174.411","-2958.179","-1403.093"
"1744817133","-1332.611","-4599.243","-4199.445","-2815.127","-1334.846","-2033.263","-3532.022","-3004.670","-2857.447","-3132.522","-3586.113","-3050.566","-4621.446","-4180.372","-3072.321","-1389.682"
"1744817134","-1510.233","-4410.148","-4219.115","-2885.759","-1191.348","-1987.964","-3467.202","-3025.979","-2872.199","-3238.171","-3722.161","-3073.066","-4691.631","-4181.117","-3057.867","-1400.113"
"1744817135","-1620.203","-4398.525","-4111.081","-2785.325","-1091.212","-1969.039","-3544.688","-3082.156","-2888.143","-3283.173","-3596.246","-3152.937","-4636.794","-4206.151","-2935.678","-1500.696"
"1744817136","-1571.029","-4385.710","-3929.585","-2639.294","-1132.935","-2164.692","-3591.925","-3223.419","-2891.123","-3295.541","-3537.685","-3116.727","-4588.366","-4203.469","-2986.640","-1430.362"
