"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744049625","-1794.100","-6062.388","-5656.481","-4334.003","-1880.229","-2857.447","-5554.110","-4234.910","-4291.534","-4992.932","-4326.254","-4137.903","-6059.408","-5643.219","-3773.272","-2369.881"
"1744049626","-1785.358","-6247.461","-5633.831","-4364.153","-1868.705","-2888.640","-5566.180","-4238.486","-4458.725","-4987.419","-4403.293","-4236.400","-6045.401","-5676.448","-3691.912","-2321.601"
"1744049627","-1917.630","-6363.541","-5658.269","-4365.146","-1761.764","-2873.391","-5542.636","-4421.324","-4587.173","-4996.955","-4556.179","-4267.693","-5917.549","-5751.997","-3602.356","-2249.479"
"1744049628","-1935.512","-6387.681","-5649.328","-4324.466","-1670.271","-2839.118","-5543.977","-4536.659","-4556.775","-5011.410","-4532.188","-4140.735","-5872.995","-5843.937","-3725.886","-2235.770"
"1744049629","-1922.747","-6418.725","-5631.149","-4179.975","-1785.159","-2900.163","-5565.783","-4338.026","-4484.057","-5034.655","-4372.597","-4094.243","-6000.251","-5709.976","-3789.961","-2354.532"
"1744049630","-1924.783","-6374.121","-5629.659","-4127.622","-1885.593","-2894.253","-5532.503","-4205.257","-4512.221","-5027.205","-4379.153","-4140.437","-6058.067","-5677.044","-3642.291","-2347.231"
"1744049631","-1940.727","-6117.225","-5640.586","-4245.242","-1898.905","-2879.004","-5511.343","-4358.888","-4544.854","-5047.619","-4540.533","-4197.061","-5935.133","-5735.159","-3674.775","-2149.791"
"1744049632","-1969.039","-5992.055","-5657.077","-4349.798","-1866.519","-2885.610","-5529.076","-4518.032","-4519.224","-5013.049","-4537.702","-4157.126","-5877.912","-5777.180","-3801.882","-2121.031"
"1744049633","-1957.864","-6107.241","-5670.488","-4368.871","-1754.165","-2896.786","-5530.268","-4540.533","-4517.138","-4877.299","-4406.422","-4112.422","-6009.489","-5880.594","-3783.554","-2268.851"
"1744049634","-1942.118","-6304.582","-5692.442","-4385.809","-1685.619","-2914.270","-5551.875","-4337.281","-4527.122","-4813.522","-4377.961","-4136.860","-6061.941","-5723.387","-3607.124","-2350.658"
"1744049635","-1948.029","-6350.428","-5716.980","-4357.249","-1762.509","-2859.831","-5537.122","-4204.661","-4540.384","-4955.083","-4525.781","-4303.008","-5975.813","-5689.114","-3623.515","-2308.339"
"1744049636","-1977.533","-6336.868","-5724.132","-4322.380","-1861.155","-2758.056","-5529.672","-4332.960","-4529.208","-4994.422","-4500.747","-4246.235","-5859.435","-5775.690","-3805.906","-2224.743"
"1744049637","-1970.530","-6348.292","-5715.787","-4208.585","-1901.487","-2802.710","-5531.808","-4522.055","-4532.933","-5007.982","-4335.642","-4046.261","-5946.159","-5708.039","-3721.267","-2230.555"
"1744049638","-1962.334","-6389.022","-5698.651","-4229.844","-1911.372","-2939.701","-5535.781","-4501.641","-4528.314","-5017.072","-4412.085","-4109.293","-6073.713","-5700.141","-3582.388","-2364.516"
"1744049639","-1954.734","-6391.406","-5682.409","-4320.343","-1828.074","-2909.402","-5542.040","-4341.900","-4530.847","-5026.162","-4552.901","-4198.253","-5990.267","-5730.987","-3687.739","-2384.484"
"1744049640","-1945.347","-6218.553","-5676.001","-4376.918","-1722.127","-2872.348","-5536.973","-4229.844","-4538.298","-5054.921","-4520.863","-4175.752","-5872.101","-5700.588","-3810.227","-2243.370"
"1744049641","-1952.648","-6061.196","-5677.789","-4352.331","-1690.090","-2903.789","-5546.361","-4294.217","-4537.553","-5006.492","-4376.918","-4123.747","-5841.851","-5765.557","-3749.728","-2143.383"
"1744049642","-2050.797","-6195.605","-5695.323","-4358.192","-1815.160","-2865.990","-5559.027","-4516.095","-4549.026","-4844.218","-4425.496","-4108.250","-5981.624","-5954.951","-3594.756","-2285.391"
"1744049643","-2164.841","-6358.325","-5717.874","-4403.293","-1906.008","-2727.807","-5559.772","-4531.592","-4551.113","-4833.937","-4461.259","-4181.266","-6055.981","-5686.134","-3685.504","-2378.523"
"1744049644","-2097.338","-6386.489","-5707.443","-4402.995","-1905.262","-2804.548","-5539.656","-4303.753","-4531.890","-4980.564","-4469.752","-4202.873","-5948.842","-5610.436","-3793.538","-2300.143"
"1744049645","-2019.107","-6390.909","-5721.549","-4261.434","-1829.068","-2924.800","-5506.277","-4236.698","-4544.258","-5018.562","-4367.530","-4100.204","-5900.115","-5878.061","-3700.256","-2176.613"
"1744049646","-2013.892","-6419.122","-5725.771","-4160.106","-1707.375","-2924.502","-5533.844","-4374.385","-4545.152","-5021.393","-4368.126","-4133.284","-6031.990","-5804.896","-3609.359","-2149.642"
"1744049647","-2027.154","-6299.118","-5697.409","-4244.745","-1703.898","-2884.070","-5551.577","-4529.655","-4473.776","-5040.169","-4516.691","-4125.088","-6065.816","-5688.518","-3636.926","-2264.529"
"1744049648","-2021.939","-6104.261","-5668.402","-4368.871","-1843.274","-2905.279","-5544.424","-4544.556","-4413.575","-5058.348","-4532.486","-4135.817","-5949.885","-5744.994","-3787.726","-2366.006"
"1744049649","-2014.190","-6141.365","-5689.710","-4436.225","-1901.537","-2918.839","-5542.636","-4325.509","-4531.741","-5059.838","-4354.864","-4273.057","-5880.743","-5728.751","-3756.583","-2333.075"
"1744049650","-2012.650","-6322.960","-5710.125","-4452.070","-1907.249","-2932.350","-5546.113","-4252.493","-4570.484","-4904.717","-4439.652","-4226.267","-5918.443","-5701.184","-3601.909","-2210.140"
"1744049651","-2008.229","-6407.499","-5715.638","-4435.033","-1838.654","-2813.488","-5563.051","-4426.539","-4528.463","-4839.748","-4547.238","-4079.640","-6036.907","-5715.191","-3648.549","-2154.112"
