"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744296245","-2092.421","-6277.561","-5784.929","-4130.453","-1768.768","-3139.228","-5509.406","-4677.773","-4549.921","-4877.895","-4806.072","-4723.519","-6388.873","-5899.072","-4107.058","-2380.013"
"1744296246","-2099.971","-6227.294","-5786.717","-4208.187","-1867.910","-3117.522","-5514.622","-4597.157","-4546.344","-4965.216","-4658.997","-4576.892","-6392.598","-5913.824","-4039.854","-2264.827"
"1744296247","-1994.222","-6382.018","-5775.988","-4343.390","-1943.856","-3110.021","-5497.485","-4395.843","-4512.221","-5044.937","-4781.932","-4559.159","-6368.756","-6089.807","-3909.916","-2222.955"
"1744296248","-1846.701","-6534.457","-5785.972","-4389.137","-1968.145","-3088.117","-5500.466","-4359.484","-4533.529","-5046.129","-4880.726","-4700.124","-6391.406","-6055.832","-4001.856","-2334.416"
"1744296249","-1885.096","-6594.658","-5794.267","-4373.094","-1886.288","-3191.431","-5499.224","-4504.174","-4565.120","-5061.477","-4812.032","-4697.889","-6314.814","-5908.757","-4098.564","-2378.225"
"1744296250","-2014.935","-6599.724","-5768.985","-4321.039","-1785.606","-3221.780","-5501.807","-4679.710","-4556.775","-5038.083","-4829.168","-4529.953","-6345.063","-5952.120","-4053.712","-2304.912"
"1744296251","-2023.727","-6472.319","-5780.309","-4215.986","-1825.541","-3082.454","-5506.277","-4582.852","-4546.344","-4865.378","-4797.131","-4574.060","-6396.770","-5945.116","-4037.917","-2223.551"
"1744296252","-1995.862","-6315.609","-5765.855","-4166.265","-1943.111","-3086.229","-5489.787","-4382.282","-4339.516","-4881.620","-4622.340","-4746.169","-6392.151","-5871.803","-3927.499","-2320.856"
"1744296253","-1988.560","-6404.817","-5757.809","-4188.865","-1958.460","-3139.973","-5480.796","-4412.830","-4319.251","-5005.747","-4743.338","-4662.126","-6408.989","-6052.554","-4029.572","-2363.175"
"1744296254","-2011.557","-6558.200","-5756.319","-4289.647","-1947.582","-3095.766","-5474.587","-4575.253","-4493.594","-5028.844","-4942.417","-4673.004","-6423.295","-6100.535","-4101.098","-2334.416"
