"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1743861759","-997.484","-2540.946","-1966.059","-1075.268","-482.798","-547.171","-1645.982","-1610.518","-1119.971","-1482.368","-1623.929","-627.637","-2232.492","-1879.632","-1458.228","-316.799"
"1743861760","-897.646","-2371.967","-1984.437","-1209.180","-484.685","-613.630","-1488.725","-1609.921","-1364.499","-1493.245","-1620.799","-493.973","-2133.995","-1755.655","-1674.294","-256.002"
"1743861761","-784.695","-2326.518","-2154.112","-1067.370","-471.026","-708.699","-1535.118","-1622.736","-1385.361","-1352.429","-1653.582","-435.412","-2241.135","-1939.237","-1490.861","-279.695"
"1743861762","-780.622","-2328.257","-2261.003","-939.171","-470.579","-537.634","-1652.439","-1620.352","-1135.916","-1337.081","-1652.390","-687.987","-2179.444","-1766.086","-1503.825","-284.910"
"1743861763","-773.966","-2317.131","-2086.312","-927.150","-488.162","-492.334","-1658.201","-1608.282","-1083.910","-1481.026","-1620.799","-564.009","-2258.420","-1750.737","-1660.734","-274.330"
"1743861764","-747.889","-2298.504","-2001.077","-1042.634","-473.261","-681.281","-1526.177","-1598.895","-1121.163","-1546.144","-1629.591","-563.562","-2218.187","-1805.723","-1637.042","-269.711"
"1743861765","-855.227","-2311.270","-1977.583","-1179.079","-466.009","-673.036","-1473.725","-1586.825","-1190.156","-1514.554","-1651.794","-559.092","-2167.225","-1781.583","-1474.023","-263.602"
"1743861766","-1011.491","-2300.739","-1975.894","-1146.644","-486.970","-502.467","-1530.796","-1581.013","-1361.966","-1371.056","-1669.973","-460.297","-2233.088","-1740.307","-1531.243","-285.357"
"1743861767","-926.952","-2459.486","-1950.661","-990.132","-484.486","-623.564","-1645.883","-1599.491","-1266.450","-1334.101","-1616.925","-641.346","-2191.812","-1729.876","-1678.318","-308.901"
"1743861768","-762.641","-2615.601","-2026.558","-902.116","-491.440","-728.965","-1650.602","-1596.808","-1067.668","-1449.138","-1537.651","-613.034","-2216.548","-1789.480","-1505.911","-282.377"
"1743861769","-735.670","-2485.067","-2179.295","-906.736","-499.338","-532.866","-1522.452","-1540.482","-1102.984","-1534.969","-1655.817","-612.140","-2162.009","-1931.190","-1512.766","-273.138"
"1743861770","-733.833","-2323.389","-2213.220","-1063.347","-404.517","-507.335","-1481.573","-1553.446","-1326.948","-1392.961","-1628.548","-470.281","-2181.083","-1721.531","-1665.801","-298.619"
"1743861771","-745.058","-2297.163","-2034.754","-1174.957","-256.896","-538.528","-1539.439","-1570.582","-1397.133","-1303.256","-1581.907","-407.398","-2205.372","-1745.224","-1544.058","-289.381"
"1743861772","-875.890","-2306.849","-1964.867","-1190.007","-293.106","-576.377","-1637.042","-1564.473","-1219.511","-1312.345","-1626.909","-543.147","-2209.544","-1813.322","-1450.926","-260.025"
"1743861773","-964.503","-2268.751","-1943.509","-1113.713","-412.861","-660.817","-1618.763","-1580.119","-1025.051","-1455.247","-1641.959","-645.667","-2210.438","-1714.528","-1598.895","-258.088"
