"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1744302138","-1157.522","-4569.292","-4032.701","-2743.155","-1038.760","-1847.148","-3682.077","-3163.069","-2906.770","-3187.656","-3367.215","-2786.666","-4360.676","-3988.445","-2979.338","-1320.690"
"1744302139","-1270.076","-4639.924","-4054.010","-2732.674","-1049.936","-1908.243","-3558.298","-2979.040","-2947.897","-3066.510","-3344.566","-2733.320","-4355.013","-3972.799","-2925.545","-1339.465"
"1744302140","-1400.113","-4462.600","-4047.751","-2706.051","-1036.525","-1993.477","-3535.151","-2877.116","-2797.842","-3135.204","-3270.805","-2748.370","-4387.498","-3781.915","-3005.862","-1329.184"
"1744302141","-1412.183","-4314.631","-4058.927","-2746.880","-1069.754","-1986.772","-3532.767","-2919.286","-2727.658","-3220.886","-3336.519","-2817.959","-4383.177","-3778.338","-2957.880","-1322.180"
"1744302142","-1417.299","-4348.556","-4063.348","-2792.577","-1148.979","-1855.791","-3497.104","-3151.000","-2869.070","-3252.923","-3343.821","-2760.738","-4382.432","-4000.962","-2916.902","-1317.412"
"1744302143","-1422.465","-4520.118","-4072.189","-2766.848","-1114.011","-1831.949","-3581.643","-3228.784","-3055.632","-3212.392","-3339.350","-2619.922","-4390.776","-3972.650","-2952.218","-1296.699"
"1744302144","-1425.743","-4589.856","-4072.189","-2677.143","-1069.307","-1856.089","-3657.639","-3166.199","-3096.461","-3129.840","-3340.840","-2645.552","-4380.643","-3927.052","-2979.934","-1209.974"
"1744302145","-1239.876","-4661.977","-3828.009","-2555.847","-1053.115","-2005.498","-3669.858","-2889.037","-2771.914","-3117.472","-3337.115","-2738.833","-4351.437","-3915.429","-2955.049","-1300.275"
"1744302146","-1241.565","-4479.587","-3878.176","-2700.090","-1035.482","-1953.691","-3572.255","-3040.582","-2773.851","-3236.085","-3343.076","-2678.782","-4385.412","-3737.956","-3086.179","-1392.215"
"1744302147","-1388.788","-4284.481","-4022.717","-2758.304","-1106.560","-1835.326","-3549.258","-3187.358","-2824.366","-3255.606","-3325.045","-2759.695","-4350.543","-3927.648","-3078.282","-1372.099"
"1744302148","-1413.077","-4326.105","-4035.234","-2743.751","-1136.661","-1869.649","-3616.363","-3173.053","-2989.322","-3258.437","-3317.744","-2796.650","-4346.073","-4014.522","-2939.254","-1284.480"
"1744302149","-1414.865","-4533.380","-4039.258","-2756.715","-1074.821","-1959.652","-3719.330","-2950.132","-3049.225","-3152.788","-3354.698","-2744.794","-4363.656","-3918.707","-2963.096","-1312.643"
"1744302150","-1432.200","-4651.447","-4045.466","-2778.967","-1035.333","-1924.038","-3634.989","-2887.696","-2826.452","-3040.582","-3253.967","-2796.054","-4326.850","-3985.912","-2966.374","-1338.869"
"1744302151","-1462.102","-4659.444","-4061.162","-2773.255","-1047.850","-1822.859","-3549.159","-3089.458","-2756.417","-3175.139","-3307.164","-2699.345","-4320.592","-3899.783","-2947.003","-1306.385"
"1744302152","-1405.925","-4518.777","-4048.496","-2791.435","-1109.093","-1836.717","-3534.704","-3230.125","-2865.940","-3251.582","-3359.020","-2604.127","-4368.871","-3758.371","-2955.198","-1320.839"
"1744302153","-1230.836","-4314.581","-4048.944","-2720.555","-1240.571","-2008.180","-3540.516","-3170.669","-3033.876","-3270.507","-3324.151","-2719.164","-4377.961","-3923.774","-2955.496","-1328.290"
"1744302154","-1208.484","-4364.848","-4031.509","-2556.890","-1219.064","-2038.479","-3512.353","-2989.769","-3003.925","-3214.180","-3307.015","-2805.740","-4336.536","-4004.836","-2957.284","-1337.081"
"1744302155","-1360.774","-4563.332","-4027.883","-2615.452","-1108.348","-1852.214","-3576.775","-2897.829","-2766.699","-3063.679","-3329.068","-2764.910","-4349.947","-3931.969","-2928.376","-1343.787"
"1744302156","-1427.531","-4645.288","-4035.085","-2744.794","-1076.758","-1851.469","-3689.378","-3046.095","-2774.149","-3136.247","-3350.824","-2761.632","-4338.026","-3864.020","-2912.432","-1319.796"
"1744302157","-1424.551","-4636.198","-4062.504","-2789.497","-1063.496","-1892.000","-3613.830","-3225.058","-2898.276","-3246.367","-3356.338","-2729.297","-4391.670","-3771.186","-3053.248","-1256.019"
