,A0_C05 Ave. (µV),A2_C07 Ave. (µV),A4_C08 Ave. (µV),A6_C11 Ave. (µV),C0_D01 Ave. (µV),C3_D03 Ave. (µV),C6_D04 Ave. (µV),B0_C13 Ave. (µV),B6_C14 Ave. (µV),D0_D07 Ave. (µV),D1_D08 Ave. (µV),D2_D11 Ave. (µV),D3_D12 Ave. (µV),D4_D13 Ave. (µV),D5_D14 Ave. (µV),D6_D16 Ave. (µV)
1743764431.000,-1733.700,-5988.181,-5432.963,-4205.704,-1444.717,-2536.078,-5705.257,-3733.039,-4527.867,-4337.728,-3561.378,-3479.719,-5452.037,-5241.036,-3260.672,-2361.536
1743764432.000,-1734.197,-5896.091,-5349.517,-4272.312,-1428.723,-2575.815,-5611.330,-3722.012,-4354.864,-4332.960,-3692.955,-3590.286,-5349.219,-5100.667,-3302.097,-2228.916
1743764433.000,-1740.009,-5880.147,-5325.973,-4400.611,-1432.002,-2531.260,-5500.466,-3816.038,-4202.425,-4324.615,-3823.936,-3578.514,-5381.554,-5209.148,-3248.900,-2223.998
1743764434.000,-1718.005,-5852.183,-5462.170,-4481.375,-1471.043,-2435.048,-5568.266,-3852.099,-4389.733,-4309.118,-3698.617,-3520.399,-5547.851,-5365.014,-3247.857,-2292.097
1743764435.000,-1572.818,-5829.483,-5621.612,-4409.701,-1598.299,-2577.454,-5716.980,-3802.776,-4535.317,-4317.909,-3726.035,-3416.240,-5536.377,-5204.827,-3264.397,-2220.273
1743764436.000,-1512.369,-5883.574,-5658.964,-4260.540,-1625.915,-2632.340,-5710.721,-3779.531,-4447.401,-4435.629,-3743.619,-3528.148,-5513.281,-5174.577,-3261.417,-2228.022
1743764437.000,-1643.449,-6104.708,-5553.663,-4201.233,-1498.908,-2579.540,-5616.099,-3801.733,-4233.271,-4479.736,-3658.533,-3604.591,-5358.607,-5392.581,-3367.662,-2223.402
1743764438.000,-1698.881,-6188.303,-5414.188,-4203.171,-1451.671,-2509.356,-5530.417,-3797.114,-4222.095,-4398.525,-3583.729,-3562.272,-5337.596,-5348.027,-3347.099,-2286.732
1743764439.000,-1695.851,-6002.784,-5346.139,-4301.667,-1430.313,-2462.963,-5563.100,-3784.746,-4414.469,-4355.162,-3726.631,-3485.680,-5484.521,-5123.317,-3237.128,-2388.805
1743764440.000,-1695.007,-5849.004,-5449.057,-4371.107,-1464.784,-2588.481,-5684.644,-3786.683,-4533.231,-4351.437,-3761.947,-3461.540,-5577.058,-5214.065,-3253.371,-2333.671
1743764441.000,-1691.580,-5828.142,-5582.571,-4400.760,-1585.037,-2629.459,-5673.170,-3774.911,-4428.029,-4346.669,-3707.558,-3584.325,-5479.455,-5371.273,-3291.667,-2205.074
1743764442.000,-1702.905,-5825.162,-5644.262,-4368.822,-1626.313,-2574.623,-5550.484,-3751.814,-4229.844,-4329.234,-3771.037,-3564.954,-5498.827,-5235.076,-3252.178,-2266.616
1743764443.000,-1698.881,-5998.313,-5606.562,-4267.693,-1509.339,-2483.726,-5560.815,-3761.351,-4334.897,-4326.254,-3751.665,-3485.233,-5550.683,-5125.403,-3239.810,-2280.772
1743764444.000,-1700.819,-6172.458,-5424.917,-4195.869,-1447.996,-2554.258,-5678.733,-3962.368,-4525.632,-4312.694,-3636.032,-3420.115,-5470.514,-5304.217,-3283.173,-2224.594
1743764445.000,-1714.975,-6169.975,-5320.311,-4298.240,-1452.863,-2614.111,-5717.129,-4088.283,-4513.562,-4300.773,-3605.485,-3581.047,-5337.894,-5360.544,-3258.586,-2228.022
1743764446.000,-1717.955,-6005.764,-5393.326,-4420.131,-1542.121,-2475.381,-5713.552,-3988.892,-4464.090,-4312.545,-3744.662,-3621.280,-5373.508,-5302.727,-3270.954,-2244.413
1743764447.000,-1697.044,-5881.091,-5570.352,-4457.633,-1640.916,-2477.467,-5569.557,-3711.432,-4370.362,-4409.403,-3748.238,-3480.315,-5555.600,-5124.211,-3399.104,-2261.996
1743764448.000,-1687.258,-5838.275,-5640.090,-4427.582,-1540.184,-2640.188,-5516.708,-3587.753,-4229.099,-4517.585,-3714.412,-3411.919,-5528.629,-5202.740,-3282.875,-2356.470
1743764449.000,-1677.424,-5922.168,-5632.788,-4338.175,-1475.364,-2620.816,-5529.523,-3816.783,-4409.403,-4407.763,-3767.312,-3553.480,-5404.651,-5387.366,-3246.367,-2359.450
1743764450.000,-1686.911,-6134.113,-5642.275,-4233.122,-1464.387,-2522.965,-5684.197,-4031.360,-4516.244,-4350.543,-3706.515,-3593.117,-5432.814,-5219.132,-3319.681,-2230.257
1743764451.000,-1693.219,-6232.113,-5549.490,-4263.371,-1457.185,-2470.762,-5668.998,-3948.510,-4485.548,-4355.609,-3596.842,-3499.091,-5534.291,-5069.375,-3289.580,-2232.790
1743764452.000,-1698.136,-6100.535,-5403.558,-4389.882,-1524.886,-2607.703,-5529.523,-3769.100,-4479.885,-4357.696,-3676.713,-3387.481,-5527.884,-5192.906,-3230.572,-2276.748
1743764453.000,-1706.332,-5912.632,-5428.046,-4458.129,-1675.338,-2571.791,-5571.991,-3739.744,-4494.339,-4358.590,-3773.123,-3473.461,-5521.029,-5400.777,-3272.146,-2258.271
1743764454.000,-1708.567,-5854.517,-5558.431,-4436.523,-1697.093,-2422.929,-5720.705,-3816.336,-4279.912,-4348.755,-3724.992,-3652.722,-5433.410,-5217.195,-3279.597,-2252.609
1743764455.000,-1670.619,-5854.467,-5649.924,-4396.935,-1568.397,-2539.356,-5675.057,-3799.349,-4241.019,-4331.619,-3776.699,-3558.695,-5371.273,-5107.224,-3235.787,-2251.118
1743764456.000,-1655.519,-6035.417,-5661.994,-4255.772,-1504.272,-2646.297,-5534.440,-3772.676,-4479.885,-4332.811,-3672.093,-3365.129,-5454.719,-5336.553,-3262.311,-2248.287
1743764457.000,-1680.702,-6191.581,-5580.634,-4215.539,-1494.884,-2622.753,-5529.672,-3783.852,-4524.589,-4330.873,-3597.587,-3528.446,-5541.295,-5386.919,-3264.248,-2247.840
1743764458.000,-1694.461,-6209.215,-5398.492,-4336.834,-1487.136,-2479.653,-5680.422,-3947.020,-4479.587,-4321.933,-3758.371,-3656.447,-5512.536,-5183.816,-3248.453,-2234.876
1743764459.000,-1705.438,-6022.602,-5352.050,-4447.103,-1463.741,-2487.749,-5743.206,-4039.556,-4476.160,-4317.760,-3802.180,-3570.318,-5492.866,-5112.737,-3248.751,-2259.314
