"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1738082755","-6410.18","-6195.31","-5430.58","-5520.58","-6216.02","-3737.66","-1342.59","-1997.65","-5752.44","-5986.09","-4448.29","-2712.01","-4222.69","-5572.14","-3853.14","-3458.86"
"1738082756","-6481.11","-6413.01","-5321.06","-5632.34","-6267.28","-3699.06","-2337.99","-2226.53","-5572.74","-5965.83","-4484.36","-2727.81","-4338.32","-5487.80","-3802.48","-3403.13"
"1738082757","-6389.62","-6105.15","-5284.40","-5565.88","-6061.64","-3524.87","-10819.44","-5925.60","-5517.60","-5972.98","-4542.17","-2646.45","-4450.98","-5421.64","-3727.08","-3345.31"
"1738082758","-6270.71","-5817.71","-5320.01","-5435.20","-5928.28","-3424.73","-14510.15","-12130.44","-5711.62","-5966.72","-4662.57","-2497.43","-4487.34","-5387.66","-3639.16","-3246.67"
"1738082759","-6337.02","-6005.61","-5409.27","-5461.13","-5955.25","-3482.40","-10037.72","-7830.56","-5852.88","-5932.15","-4585.68","-2479.55","-4290.94","-5535.78","-3758.07","-3255.31"
"1738082760","-6455.03","-6351.62","-5495.55","-5586.15","-6079.23","-3582.24","-4435.33","-1441.24","-5820.99","-5947.35","-4428.63","-2586.54","-4214.35","-5564.39","-3867.45","-3393.89"
"1738082761","-6470.38","-6395.28","-5440.56","-5640.39","-6213.19","-3678.20","-1106.56","-3118.81","-5561.71","-5972.09","-4439.65","-2700.39","-4367.83","-5525.65","-3822.45","-3458.86"
"1738082762","-6358.92","-5940.50","-5269.94","-5466.94","-6222.87","-3624.86","-5669.00","-10869.50","-5564.69","-5992.05","-4621.45","-2667.90","-4466.77","-5526.54","-3733.04","-3458.26"
"1738082763","-6264.30","-5801.32","-5249.98","-5390.35","-6097.11","-3527.10","-11785.92","-10244.55","-5875.53","-5964.93","-4703.40","-2558.83","-4382.73","-5561.71","-3688.93","-3362.89"
"1738082764","-6298.12","-6043.46","-5366.65","-5445.18","-5959.12","-3470.93","-14615.21","-6643.24","-6021.86","-5893.71","-4681.05","-2518.89","-4300.18","-5583.17","-3739.89","-3293.45"
"1738082765","-6494.82","-6413.76","-5503.30","-5633.98","-5932.30","-3530.38","-9132.18","-983.18","-5839.47","-5779.27","-4528.76","-2570.45","-4228.06","-5491.38","-3858.21","-3244.58"
