time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_A0,Current_temp_A1,Current_temp_A2,Current_temp_A3,Current_temp_A4,Current_temp_A5,Current_temp_A6,Current_temp_A7/A2,Target_temp_A0,Target_temp_A1,Target_temp_A2,Target_temp_A3,Target_temp_A4,Target_temp_A5,Target_temp_A6,Target_temp_A7/A2,kp_A0,kp_A1,kp_A2,kp_A3,kp_A4,kp_A5,kp_A6,kp_A7/A2,ki_A0,ki_A1,ki_A2,ki_A3,ki_A4,ki_A5,ki_A6,ki_A7/A2,kd_A0,kd_A1,kd_A2,kd_A3,kd_A4,kd_A5,kd_A6,kd_A7/A2,Output_A0,Output_A1,Output_A2,Output_A3,Output_A4,Output_A5,Output_A6,Output_A7/A2,BaSyTec Line.Loop_A0,BaSyTec Line.Loop_A1,BaSyTec Line.Loop_A2,BaSyTec Line.Loop_A3,BaSyTec Line.Loop_A4,BaSyTec Line.Loop_A5,BaSyTec Line.Loop_A6,BaSyTec Line.Loop_A7/A2
20250328 _151304,45744.6340745718,1743174784.0434,00:00:00,25,25.05,25.01,25,24.99,24.99,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.32,0,7.65,7.07,7.48,7.36,7,6.34,.,.,.,.,.,.,.,.
20250328 _151305,45744.6340861921,1743174785.04754,00:00:00,25,25.05,25.01,24.99,24.99,24.99,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.37,0,8.46,7.22,7.46,7.44,7.05,6.38,.,.,.,.,.,.,.,.
20250328 _151306,45744.6340979282,1743174786.06179,00:00:00,24.99,25.05,25,24.99,25,24.99,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.43,0,8.55,7.25,7.38,7.48,6.17,6.39,.,.,.,.,.,.,.,.
20250328 _151307,45744.6341096644,1743174787.07571,00:00:00,24.99,25.05,24.99,25,25,24.99,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.45,0,8.66,6.35,7.33,7.52,7.07,6.44,.,.,.,.,.,.,.,.
20250328 _151308,45744.6341213079,1743174788.08108,00:00:00,24.99,25.04,24.99,25,25,25,24.99,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.46,0,8.68,7.12,7.42,7.49,7.12,6.45,.,.,.,.,.,.,.,.
20250328 _151309,45744.6341329051,1743174789.08353,00:00:00,24.99,25.04,25,25.01,24.99,25.01,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.49,0,8.65,7.05,7.43,6.38,7.09,6.41,.,.,.,.,.,.,.,.
20250328 _151310,45744.6341446875,1743174790.10177,00:00:00,25.01,25.04,25,25,24.99,25.01,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,6.42,0,8.55,7.08,7.49,6.31,7.05,6.48,.,.,.,.,.,.,.,.
20250328 _151311,45744.6341564352,1743174791.11615,00:00:00,25.01,25.04,25,24.99,25,25,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.31,0,8.53,7.22,7.41,7.3,6.99,6.5,.,.,.,.,.,.,.,.
20250328 _151312,45744.6341681134,1743174792.12515,00:00:00,25,25.04,24.99,24.99,25,25,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.4,0,8.69,7.3,8.18,7.34,6.97,6.56,.,.,.,.,.,.,.,.
20250328 _151313,45744.6341797917,1743174793.13471,00:00:00,24.99,25.04,24.99,25,25,25,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.46,0,8.77,7.23,7.39,7.4,7.86,6.59,.,.,.,.,.,.,.,.
20250328 _151314,45744.6341914815,1743174794.14412,00:00:00,24.99,25.04,25,25,25,24.99,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.53,0,8.74,7.19,7.39,7.46,6.21,6.61,.,.,.,.,.,.,.,.
20250328 _151315,45744.6342031481,1743174795.15249,00:00:00,24.99,25.04,25.01,25,24.99,24.99,24.99,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.56,0,7.69,7.95,7.5,7.49,7.12,6.64,.,.,.,.,.,.,.,.
20250328 _151316,45744.6342148843,1743174796.16609,00:00:00,25,25.03,25,25,25,24.99,24.99,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,6.56,0,8.56,7.13,7.47,7.52,7.14,6.73,.,.,.,.,.,.,.,.
20250328 _151317,45744.6342266319,1743174797.18107,00:00:00,25.01,25.04,24.99,25.01,25,25,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.36,0,8.71,7.06,7.37,7.44,7.05,6.61,.,.,.,.,.,.,.,.
20250328 _151318,45744.6342383565,1743174798.19419,00:00:00,25,25.06,24.99,25,25,25.01,25.01,25.01,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.44,0,7.9,7.14,7.36,7.27,6.94,6.5,.,.,.,.,.,.,.,.
20250328 _151319,45744.6342500926,1743174799.20817,00:00:00,24.99,25.05,25,24.99,25,25.01,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.56,0,8.66,7.25,7.45,8.19,6.97,6.53,.,.,.,.,.,.,.,.
20250328 _151320,45744.6342618287,1743174800.22213,00:00:00,24.99,25.05,25.01,24.99,24.99,25,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.52,0,8.61,7.27,7.5,7.32,7.06,6.58,.,.,.,.,.,.,.,.
20250328 _151321,45744.6342735069,1743174801.23118,00:00:00,25.01,25.04,25.01,25,24.99,25,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.38,0,8.53,7.24,7.52,7.42,6.22,6.64,.,.,.,.,.,.,.,.
20250328 _151322,45744.6342852431,1743174802.24569,00:00:00,25.01,25.04,25,25,25,25,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.36,0,8.67,7.2,7.44,7.44,6.25,6.66,.,.,.,.,.,.,.,.
20250328 _151323,45744.6342971528,1743174803.27419,00:00:00,24.99,25.04,24.99,25,25.01,24.99,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.51,0,8.79,7.2,7.33,7.51,7.11,6.73,.,.,.,.,.,.,.,.
20250328 _151324,45744.6343088542,1743174804.28501,00:00:00,24.99,25.04,25,25,25,25,25.01,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.53,0,8.71,6.38,7.36,7.48,6.95,6.76,.,.,.,.,.,.,.,.
20250328 _151325,45744.6343205671,1743174805.29779,00:00:00,25,25.06,25.01,25,25,25.01,25,25.01,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.44,0,8.55,7.14,7.45,6.42,6.97,6.57,.,.,.,.,.,.,.,.
20250328 _151326,45744.6343323843,1743174806.31868,00:00:00,25.01,25.06,25,25.01,24.99,25.01,25,25.01,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.32,0,8.57,7.08,7.51,7.31,7.06,6.49,.,.,.,.,.,.,.,.
20250328 _151327,45744.6343441204,1743174807.33273,00:00:00,25.01,25.06,25,25.01,24.99,25,25,25.01,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.34,0,9.51,7.07,7.52,7.35,6.22,7.38,.,.,.,.,.,.,.,.
20250328 _151328,45744.6343558565,1743174808.34623,00:00:00,24.99,25.05,24.99,25,25.01,25,24.99,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.49,0,8.79,7.95,7.34,7.45,7.18,6.6,.,.,.,.,.,.,.,.
20250328 _151329,45744.6343675579,1743174809.35732,00:00:00,24.99,25.05,25,24.99,25.01,24.99,25,25,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.51,0,8.72,7.31,7.32,7.52,6.27,6.61,.,.,.,.,.,.,.,.
20250328 _151330,45744.634379213,1743174810.3647,00:00:00,25,25.04,25.01,24.99,25,25,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.42,0,8.56,7.29,7.4,7.49,6.17,6.66,.,.,.,.,.,.,.,.
20250328 _151331,45744.6343909491,1743174811.3788,00:00:00,25.01,25.04,25.01,25,24.99,25.01,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.35,0,8.53,7.27,7.5,7.33,7.01,6.68,.,.,.,.,.,.,.,.
20250328 _151332,45744.6344025694,1743174812.38271,00:00:00,25,25.04,25,25,24.99,25.01,25,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.45,0,8.61,6.47,7.51,7.26,7.89,6.7,.,.,.,.,.,.,.,.
20250328 _151333,45744.6344143171,1743174813.39783,00:00:00,24.99,25.04,24.99,25,25,25,24.99,24.99,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.57,0,8.73,7.23,7.43,7.34,7.99,6.71,.,.,.,.,.,.,.,.
20250328 _151334,45744.6344260532,1743174814.41132,00:00:00,25,25.06,25,25,25.01,25,25,25.01,25,25,25,25,25,25,25,25,12,0,12,10.8,10.8,12,11.4,12,3.4,0,3.48,3.096,2.88,3.2,3.116,3.4,10.59,0,10.34,9.42,10.12,11.25,10.43,10.59,7.49,0,8.7,7.23,7.33,7.44,7.11,6.51,.,.,.,.,.,.,.,.
