"","A0_C05 Ave. (µV)","A2_C07 Ave. (µV)","A4_C08 Ave. (µV)","A6_C11 Ave. (µV)","C0_D01 Ave. (µV)","C3_D03 Ave. (µV)","C6_D04 Ave. (µV)","B0_C13 Ave. (µV)","B6_C14 Ave. (µV)","D0_D07 Ave. (µV)","D1_D08 Ave. (µV)","D2_D11 Ave. (µV)","D3_D12 Ave. (µV)","D4_D13 Ave. (µV)","D5_D14 Ave. (µV)","D6_D16 Ave. (µV)"
"1743174790","-6791.254","-5882.084","-6094.972","-5960.464","-5024.771","-4301.369","-7667.740","-6943.196","-5162.656","-5137.920","-5025.864","-2830.923","-4761.368","-5606.860","-4132.390","-3715.158"
"1743174791","-6654.561","-5709.082","-6200.224","-5876.869","-5171.746","-4281.849","-7670.820","-7018.298","-5040.020","-5122.721","-4975.200","-2719.164","-4756.004","-5802.214","-4196.614","-3675.222"
"1743174792","-6632.358","-5707.145","-6081.462","-5778.968","-5197.972","-4245.639","-7737.726","-7137.358","-4865.825","-5155.653","-4760.623","-2811.402","-4775.822","-5902.052","-4038.066","-3684.610"
"1743174793","-6624.460","-5913.079","-5979.339","-5747.179","-5145.073","-4261.434","-7850.726","-6990.433","-5035.549","-5166.978","-4798.323","-2903.640","-4733.801","-5807.579","-4002.154","-3701.001"
"1743174794","-6617.755","-6096.810","-5964.488","-5757.511","-5138.665","-4272.908","-7905.364","-6901.920","-5139.709","-5137.324","-4990.995","-2866.834","-4785.210","-5628.020","-4043.430","-3670.603"
"1743174795","-6792.148","-5925.397","-6030.997","-5813.241","-5170.306","-4259.149","-7750.094","-6920.099","-5105.138","-5127.788","-5052.388","-2845.824","-4775.524","-5604.625","-4062.653","-3658.533"
"1743174796","-6886.423","-5687.475","-6214.827","-5931.407","-5190.969","-4107.207","-7622.987","-7010.251","-5074.292","-5153.120","-4968.196","-2868.026","-4774.630","-5772.412","-4149.377","-3673.434"
"1743174797","-6747.991","-5698.949","-6159.246","-5993.396","-5156.100","-4046.857","-7603.317","-7206.649","-5085.170","-5158.335","-4799.515","-2895.594","-4759.729","-5887.747","-4174.113","-3681.183"
"1743174798","-6614.725","-5948.345","-5997.717","-5862.117","-5015.234","-4186.133","-7633.070","-7124.394","-5106.181","-5140.752","-4773.587","-2887.398","-4759.133","-5826.801","-4027.039","-3675.520"
"1743174799","-6668.717","-6100.386","-5945.861","-5733.371","-4995.316","-4253.089","-7788.539","-6901.324","-5121.082","-5140.454","-4962.683","-2881.289","-4757.196","-5658.418","-3975.481","-3654.808"
"1743174800","-6842.762","-6045.848","-5956.292","-5707.145","-5100.220","-4235.506","-7861.406","-6875.843","-5106.479","-5163.699","-5009.025","-2864.301","-4759.282","-5668.253","-4083.961","-3656.298"
"1743174801","-6832.282","-5783.041","-6105.900","-5783.936","-5193.552","-4225.969","-7874.370","-6932.318","-5126.894","-5144.179","-4914.105","-2865.195","-4849.732","-5820.990","-4186.332","-3651.381"
"1743174802","-6651.729","-5686.283","-6279.945","-5946.457","-5167.574","-4235.357","-7758.141","-7061.213","-5118.102","-5137.771","-4863.590","-2889.335","-4967.749","-5870.610","-4159.361","-3643.483"
"1743174803","-6626.944","-5915.860","-6132.722","-6029.010","-5125.701","-4257.163","-7631.779","-7235.408","-5102.903","-5115.420","-4934.818","-2869.368","-4811.287","-5828.142","-3992.170","-3727.078"
"1743174804","-6791.949","-6092.787","-5974.919","-5901.456","-5146.563","-4247.725","-7649.660","-7054.806","-5137.324","-5150.884","-5017.221","-2893.955","-4582.554","-5699.694","-3975.183","-3851.950"
"1743174805","-6908.029","-6041.378","-5948.246","-5764.812","-5164.593","-4237.443","-7785.261","-6877.780","-5115.271","-5145.967","-4924.834","-2859.682","-4763.305","-5754.828","-4139.841","-3766.716"
"1743174806","-6825.427","-5794.366","-6007.453","-5731.384","-5163.749","-4239.678","-7881.224","-6918.907","-5132.109","-5171.448","-4755.110","-2858.490","-4912.764","-5877.912","-4203.469","-3665.090"
"1743174807","-6635.785","-5694.479","-6219.596","-5711.019","-5165.935","-4243.106","-7887.632","-7060.170","-5146.265","-5258.173","-4896.671","-2873.689","-4764.199","-5817.562","-4115.254","-3659.576"
"1743174808","-6611.645","-5838.871","-6264.448","-5808.622","-5138.665","-4238.933","-7838.011","-7252.991","-5118.847","-5222.261","-5030.930","-2839.267","-4688.501","-5663.335","-3992.021","-3696.680"
"1743174809","-6761.650","-6077.588","-6058.613","-6007.651","-4998.446","-4241.268","-7697.245","-7272.959","-5143.881","-5143.434","-5011.410","-2838.671","-4727.840","-5644.709","-4004.240","-3706.813"
"1743174810","-6881.505","-6089.360","-5957.186","-6022.751","-4982.799","-4238.635","-7607.788","-6993.711","-5250.424","-5109.906","-4850.179","-2824.366","-4758.537","-5828.738","-4093.945","-3674.924"
"1743174811","-6710.490","-5819.897","-5961.657","-5852.481","-5144.974","-4241.665","-7680.853","-6884.634","-5354.136","-5139.410","-4772.544","-2848.804","-4716.814","-5845.129","-4193.783","-3650.337"
"1743174812","-6591.082","-5690.902","-6102.026","-5748.123","-5280.972","-4246.980","-7829.070","-7017.255","-5231.500","-5155.951","-4958.510","-2873.838","-4703.403","-5844.682","-4164.129","-3665.984"
"1743174813","-6668.270","-5836.785","-6267.726","-5799.681","-5215.853","-4252.940","-7871.985","-7191.598","-5208.105","-5128.831","-5046.278","-2851.337","-4886.389","-5780.011","-4017.502","-3657.490"
"1743174814","-6880.363","-6091.496","-6145.040","-6023.645","-5108.118","-4214.346","-7875.562","-7257.760","-5208.701","-5156.249","-4986.972","-2859.235","-4957.616","-5650.818","-4003.495","-3664.196"
"1743174815","-6874.502","-6033.033","-5985.200","-6092.489","-5047.768","-4070.997","-7785.410","-7032.156","-5223.751","-5166.531","-4999.340","-2883.375","-4801.452","-5738.139","-4112.124","-3679.097"
"1743174816","-6705.672","-5818.903","-5978.495","-5930.364","-5117.059","-4063.994","-7679.909","-6927.848","-5120.933","-5130.172","-4930.496","-2865.940","-4724.413","-5870.759","-4198.253","-3668.368"
"1743174817","-6616.513","-5739.331","-5989.870","-5789.995","-5179.544","-4250.506","-7654.528","-6960.332","-5121.529","-5107.373","-4777.163","-2869.219","-4775.077","-5850.494","-4144.311","-3734.231"
"1743174818","-6677.806","-5955.100","-6111.860","-5768.389","-5158.037","-4417.002","-7782.876","-6989.092","-5204.678","-5134.791","-4880.875","-2872.497","-4766.285","-5763.620","-4005.432","-3867.000"
"1743174819","-6862.780","-6128.550","-6302.595","-5792.777","-5136.529","-4331.768","-7880.628","-7142.425","-5210.489","-5247.146","-5019.903","-2858.490","-4739.314","-5659.759","-4003.942","-3826.320"
"1743174820","-6818.771","-5929.470","-6196.499","-5966.127","-5147.159","-4173.219","-7911.325","-7330.328","-5241.781","-5329.400","-4996.955","-2870.858","-4784.316","-5830.079","-4149.377","-3675.371"
"1743174821","-6660.223","-5775.690","-6050.020","-6061.345","-5156.696","-4098.415","-7900.745","-7208.586","-5220.771","-5223.751","-4903.972","-2888.739","-4760.325","-5888.641","-4228.354","-3599.226"
"1743174822","-6622.175","-5748.471","-6006.857","-5982.518","-5182.525","-4183.054","-7767.876","-7009.953","-5068.183","-5110.353","-4794.002","-2885.312","-4753.768","-5858.839","-4169.941","-3651.530"
"1743174823","-6663.203","-5935.580","-6000.996","-5823.523","-5164.295","-4257.262","-7667.243","-6980.896","-5056.709","-5060.285","-4898.459","-2886.206","-4841.685","-5691.051","-4016.012","-3727.376"
"1743174824","-6789.863","-6127.357","-6004.274","-5789.101","-5093.962","-4262.477","-7667.691","-7019.192","-5227.327","-5142.540","-5030.930","-2890.378","-4955.530","-5621.016","-4019.439","-3703.535"
"1743174825","-6896.853","-6029.109","-5977.651","-5834.798","-4994.968","-4245.937","-7809.103","-7046.163","-5272.478","-5147.457","-4944.950","-2892.762","-4808.009","-5797.148","-4137.903","-3663.152"
"1743174826","-6719.828","-5811.155","-6098.449","-5976.260","-5036.145","-4249.662","-7911.623","-7037.073","-5254.149","-5113.780","-4810.095","-2887.696","-4740.208","-5898.178","-4195.124","-3692.508"
"1743174827","-6642.143","-5795.956","-6305.277","-6086.230","-5198.022","-4244.745","-7876.158","-7268.786","-5310.923","-5132.407","-4922.748","-2913.028","-4767.627","-5850.792","-4049.838","-3686.398"
"1743174828","-6667.525","-5863.458","-6177.276","-5987.585","-5281.121","-4274.249","-7725.507","-7387.698","-5301.535","-5125.403","-5048.811","-2928.078","-4765.987","-5780.160","-3991.425","-3678.203"
"1743174829","-6673.187","-6005.615","-6059.706","-5894.154","-5193.651","-4268.885","-7662.326","-7179.081","-5142.093","-5120.635","-5062.073","-2909.899","-4751.533","-5707.592","-4034.936","-3712.475"
"1743174830","-6640.851","-6111.860","-6041.527","-5854.169","-5021.294","-4261.434","-7689.893","-6975.234","-5017.817","-5127.639","-4901.886","-2898.276","-4757.941","-5827.695","-4169.345","-3832.281"
"1743174831","-6645.620","-5946.904","-6051.064","-5855.560","-5011.111","-4281.104","-7858.872","-7030.815","-5193.651","-5204.529","-4791.319","-2893.060","-4817.843","-5903.691","-4173.517","-3882.647"
"1743174832","-6717.443","-5872.548","-6049.722","-5875.975","-5149.990","-4287.660","-7939.786","-7091.314","-5319.417","-5363.524","-4963.726","-2907.217","-4786.253","-5766.898","-4024.804","-3736.913"
"1743174833","-6899.834","-5869.667","-6058.017","-5852.779","-5269.845","-4215.737","-7942.517","-7055.402","-5298.257","-5260.110","-5064.011","-2903.193","-4770.011","-5645.305","-4023.612","-3658.980"
"1743174834","-6826.222","-5863.160","-6047.785","-5862.564","-5173.385","-4111.677","-7845.908","-7009.208","-5171.895","-5091.727","-5006.492","-2885.163","-4786.253","-5709.529","-4113.019","-3617.704"
"1743174835","-6692.807","-5838.970","-6033.083","-5925.397","-5008.379","-4182.061","-7751.087","-7032.305","-5049.855","-4967.749","-4831.851","-2869.517","-4798.174","-5867.630","-4189.312","-3696.382"
"1743174836","-6684.214","-5833.954","-6023.645","-5929.917","-5037.189","-4279.017","-7679.164","-7065.088","-5223.006","-5051.792","-4790.872","-2894.104","-4787.892","-5899.668","-4117.936","-3750.622"
"1743174837","-6700.903","-5846.471","-6029.010","-5906.522","-5191.416","-4284.084","-7685.274","-7060.766","-5371.869","-5225.688","-4982.501","-2894.253","-4786.700","-5763.471","-4005.581","-3712.028"
"1743174838","-6682.476","-6007.751","-6058.017","-5928.278","-5235.473","-4267.891","-7825.692","-7030.219","-5258.173","-5301.088","-5049.855","-2896.488","-4791.021","-5639.344","-4060.119","-3678.352"
"1743174839","-6664.395","-5987.585","-6040.931","-5919.933","-5167.574","-4258.454","-7923.543","-7050.633","-5046.874","-5156.100","-4939.139","-2897.084","-4789.084","-5767.196","-4199.296","-3728.271"
"1743174840","-6659.478","-5904.585","-6034.076","-5915.612","-5049.855","-4282.594","-7910.430","-7095.486","-5097.389","-5024.672","-4825.443","-2754.480","-4779.100","-5915.761","-4176.050","-3727.973"
"1743174841","-6656.746","-5880.197","-6052.852","-5925.497","-5011.757","-4299.780","-7762.611","-7071.197","-5269.945","-5097.091","-4833.043","-2678.633","-4776.716","-5893.111","-4025.698","-3697.872"
